 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,883","13,944,490","3,777","27,974,654",642,"12,007,266","1,316","24,115,977"
外航計,399,"10,319,664",828,"20,798,527",379,"10,072,942",785,"20,301,896"
外航定期計,379,"10,072,942",785,"20,301,896",379,"10,072,942",785,"20,301,896"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),44,"2,810,240",86,"5,541,460",44,"2,810,240",86,"5,541,460"
北米東岸(カリビア海含む),8,"626,528",15,"1,183,459",8,"626,528",15,"1,183,459"
北欧・地中海,5,"480,363",9,"871,322",5,"480,363",9,"871,322"
南米西岸,4,"536,408",8,"1,099,377",4,"536,408",8,"1,099,377"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"180,758",9,"412,344",4,"180,758",9,"412,344"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,136,"3,549,482",276,"7,063,936",136,"3,549,482",276,"7,063,936"
台湾,-,-,-,-,-,-,-,-
韓国,45,"390,587",88,"765,500",45,"390,587",88,"765,500"
中国(香港含む),133,"1,498,576",294,"3,364,498",133,"1,498,576",294,"3,364,498"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,20,"246,722",43,"496,631",-,-,-,-
内航計,"1,484","3,624,826","2,949","7,176,127",263,"1,934,324",531,"3,814,081"
内航定期計,526,"2,619,640","1,061","5,162,770",262,"1,926,934",521,"3,794,311"
北海道,86,"1,008,851",175,"2,050,828",86,"1,008,851",175,"2,050,828"
東北,58,"48,080",123,"99,902",57,"47,331",118,"96,157"
関東,87,"24,005",192,"52,687",-,-,2,998
伊豆諸島,149,"314,299",292,"630,836",1,155,1,155
中部,24,"34,774",44,"50,734",24,"34,774",44,"50,734"
近畿,18,"61,978",35,"97,940",18,"61,978",35,"97,940"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,80,"874,497",155,"1,705,286",52,"520,689",101,"1,022,942"
沖縄,24,"253,156",45,"474,557",24,"253,156",45,"474,557"
内航不定期,958,"1,005,186","1,888","2,013,357",1,"7,390",10,"19,770"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
