 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,883 ","13,944,490 ","3,777 ","27,974,654 ",399 ,"10,319,664 ",828 ,"20,798,527 ","1,484 ","3,624,826 ","2,949 ","7,176,127 "
公共計,911 ,"4,976,845 ","1,821 ","9,919,518 ",154 ,"2,233,863 ",326 ,"4,506,573 ",757 ,"2,742,982 ","1,495 ","5,412,945 "
ドルフィン,6 ,"3,979 ",11 ,"6,969 ",-,-,-,-,6 ,"3,979 ",11 ,"6,969 "
芝浦ふ頭,31 ,"77,268 ",59 ,"144,986 ",-,-,-,-,31 ,"77,268 ",59 ,"144,986 "
芝浦物揚場,25 ,"11,500 ",49 ,"22,540 ",-,-,-,-,25 ,"11,500 ",49 ,"22,540 "
日の出ふ頭,7 ,"5,379 ",13 ,"10,475 ",-,-,-,-,7 ,"5,379 ",13 ,"10,475 "
竹芝ふ頭,153 ,"360,001 ",300 ,"711,360 ",-,-,-,-,153 ,"360,001 ",300 ,"711,360 "
品川岸壁,137 ,"1,476,973 ",282 ,"3,022,424 ",70 ,"707,808 ",145 ,"1,460,070 ",67 ,"769,165 ",137 ,"1,562,354 "
品川コンテナ,74 ,"686,274 ",152 ,"1,390,646 ",68 ,"680,444 ",139 ,"1,377,978 ",6 ,"5,830 ",13 ,"12,668 "
品川外貿,2 ,"27,364 ",6 ,"82,092 ",2 ,"27,364 ",6 ,"82,092 ",-,-,-,-
品川内貿,61 ,"763,335 ",124 ,"1,549,686 ",-,-,-,-,61 ,"763,335 ",124 ,"1,549,686 "
晴海ふ頭,-,-,5 ,"13,669 ",-,-,1 ,"2,098 ",-,-,4 ,"11,571 "
月島ふ頭,2 ,650 ,5 ,"1,625 ",-,-,-,-,2 ,650 ,5 ,"1,625 "
漁業基地,-,-,1 ,986 ,-,-,-,-,-,-,1 ,986 
10号西岸壁,60 ,"638,613 ",118 ,"1,244,798 ",-,-,-,-,60 ,"638,613 ",118 ,"1,244,798 "
10号東岸壁,27 ,"11,831 ",58 ,"25,468 ",-,-,-,-,27 ,"11,831 ",58 ,"25,468 "
東京港フェリーふ頭,28 ,"353,808 ",54 ,"682,344 ",-,-,-,-,28 ,"353,808 ",54 ,"682,344 "
多目的ふ頭,-,-,1 ,"2,556 ",-,-,-,-,-,-,1 ,"2,556 "
辰巳ふ頭,82 ,"30,942 ",152 ,"55,274 ",-,-,-,-,82 ,"30,942 ",152 ,"55,274 "
青海コンテナふ頭（公共）,123 ,"1,445,138 ",247 ,"2,835,062 ",76 ,"1,394,775 ",159 ,"2,747,290 ",47 ,"50,363 ",88 ,"87,772 "
有明ふ頭,6 ,"6,023 ",12 ,"12,033 ",-,-,-,-,6 ,"6,023 ",12 ,"12,033 "
大井食品ふ頭（OL）,7 ,"68,880 ",28 ,"117,591 ",3 ,"68,240 ",5 ,"113,953 ",4 ,640 ,23 ,"3,638 "
大井食品ふ頭（OM）,4 ,"35,848 ",10 ,"89,688 ",4 ,"35,848 ",10 ,"89,688 ",-,-,-,-
若洲内貿ふ頭,12 ,"120,408 ",22 ,"220,748 ",-,-,-,-,12 ,"120,408 ",22 ,"220,748 "
15号地木材ふ頭,1 ,"27,192 ",5 ,"63,289 ",1 ,"27,192 ",2 ,"62,695 ",-,-,3 ,594 
若洲建材ふ頭,41 ,"22,398 ",73 ,"41,455 ",-,-,-,-,41 ,"22,398 ",73 ,"41,455 "
大井建材ふ頭,85 ,"49,026 ",168 ,"96,506 ",-,-,-,-,85 ,"49,026 ",168 ,"96,506 "
城南島建設発生土ふ頭,39 ,"23,444 ",76 ,"44,383 ",-,-,-,-,39 ,"23,444 ",76 ,"44,383 "
中央防波堤内側ばら物ふ頭,3 ,"1,493 ",12 ,"34,656 ",-,-,4 ,"30,779 ",3 ,"1,493 ",8 ,"3,877 "
中央防波堤内側建設発生土ふ頭,7 ,"9,499 ",9 ,"12,213 ",-,-,-,-,7 ,"9,499 ",9 ,"12,213 "
中央防波堤内側内貿ふ頭,18 ,"190,881 ",37 ,"391,872 ",-,-,-,-,18 ,"190,881 ",37 ,"391,872 "
官公庁（晴海）,1 ,"2,183 ",3 ,"7,771 ",-,-,-,-,1 ,"2,183 ",3 ,"7,771 "
官公庁（月島）,5 ,991 ,9 ,"1,783 ",-,-,-,-,5 ,991 ,9 ,"1,783 "
官公庁（有明）,1 ,"2,497 ",2 ,"4,994 ",-,-,-,-,1 ,"2,497 ",2 ,"4,994 "
東京港埠頭㈱計,331 ,"8,018,378 ",685 ,"16,135,044 ",221 ,"7,805,897 ",455 ,"15,732,729 ",110 ,"212,481 ",230 ,"402,315 "
青海コンテナふ頭(埠頭㈱),63 ,"1,632,955 ",133 ,"3,339,885 ",54 ,"1,624,501 ",115 ,"3,322,977 ",9 ,"8,454 ",18 ,"16,908 "
お台場ライナーふ頭,29 ,"183,576 ",71 ,"407,582 ",12 ,"115,442 ",23 ,"262,520 ",17 ,"68,134 ",48 ,"145,062 "
大井コンテナふ頭,239 ,"6,201,847 ",481 ,"12,387,577 ",155 ,"6,065,954 ",317 ,"12,147,232 ",84 ,"135,893 ",164 ,"240,345 "
民間計,641 ,"949,267 ","1,271 ","1,920,092 ",24 ,"279,904 ",47 ,"559,225 ",617 ,"669,363 ","1,224 ","1,360,867 "
,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
