 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,882,062 ","13,875,545 ","3,591,864 ","1,041,631 ","2,550,233 ","7,445,502 ","1,846,827 ","5,598,675 ","3,290,198 ","1,215,286 ","2,074,912 ","6,430,043 ","2,337,904 ","4,092,139 "
公共計,"3,147,267 ","6,266,037 ","912,272 ","182,445 ","729,827 ","1,958,173 ","327,459 ","1,630,714 ","2,234,995 ","1,146,372 ","1,088,623 ","4,307,864 ","2,187,959 ","2,119,905 "
ドルフィン,"9,496 ","18,346 ",-,-,-,-,-,-,"9,496 ","9,496 ",-,"18,346 ","18,346 ",-
芝浦ふ頭,"56,521 ","113,190 ",-,-,-,-,-,-,"56,521 ","1,621 ","54,900 ","113,190 ","2,572 ","110,618 "
芝浦物揚場,"7,447 ","15,077 ",-,-,-,-,-,-,"7,447 ","5,303 ","2,144 ","15,077 ","10,082 ","4,995 "
日の出ふ頭,"2,525 ","5,095 ",-,-,-,-,-,-,"2,525 ",-,"2,525 ","5,095 ",-,"5,095 "
竹芝ふ頭,"7,032 ","13,029 ",-,-,-,-,-,-,"7,032 ","4,715 ","2,317 ","13,029 ","8,851 ","4,178 "
品川岸壁,"579,770 ","1,204,829 ","307,950 ","66,263 ","241,687 ","671,625 ","125,461 ","546,164 ","271,820 ","168,206 ","103,614 ","533,204 ","323,072 ","210,132 "
品川コンテナ,"303,547 ","656,898 ","302,167 ","65,739 ","236,428 ","655,518 ","124,044 ","531,474 ","1,380 ",690 ,690 ,"1,380 ",690 ,690 
品川外貿,"5,783 ","16,107 ","5,783 ",524 ,"5,259 ","16,107 ","1,417 ","14,690 ",-,-,-,-,-,-
品川内貿,"270,440 ","531,824 ",-,-,-,-,-,-,"270,440 ","167,516 ","102,924 ","531,824 ","322,382 ","209,442 "
月島ふ頭,"1,636 ","3,009 ",-,-,-,-,-,-,"1,636 ",722 ,914 ,"3,009 ","1,774 ","1,235 "
10号西岸壁,"521,774 ","1,018,743 ",-,-,-,-,-,-,"521,774 ","307,662 ","214,112 ","1,018,743 ","600,887 ","417,856 "
10号東岸壁,"25,318 ","54,804 ",-,-,-,-,-,-,"25,318 ",100 ,"25,218 ","54,804 ",226 ,"54,578 "
東京港フェリーふ頭,"894,595 ","1,699,595 ",-,-,-,-,-,-,"894,595 ","461,475 ","433,120 ","1,699,595 ","882,320 ","817,275 "
辰巳ふ頭,"34,198 ","60,082 ",-,-,-,-,-,-,"34,198 ","13,305 ","20,893 ","60,082 ","24,046 ","36,036 "
青海コンテナふ頭（公共）,"588,686 ","1,232,376 ","573,097 ","116,182 ","456,915 ","1,201,647 ","201,998 ","999,649 ","15,589 ","11,163 ","4,426 ","30,729 ","18,790 ","11,939 "
大井食品ふ頭（OL）,"20,690 ","37,932 ","19,144 ",-,"19,144 ","29,788 ",-,"29,788 ","1,546 ",-,"1,546 ","8,144 ",-,"8,144 "
大井食品ふ頭（OM）,"7,189 ","12,770 ","7,189 ",-,"7,189 ","12,770 ",-,"12,770 ",-,-,-,-,-,-
若洲内貿ふ頭,"53,642 ","99,024 ",-,-,-,-,-,-,"53,642 ","41,674 ","11,968 ","99,024 ","76,778 ","22,246 "
15号地木材ふ頭,"4,892 ","14,480 ","4,892 ",-,"4,892 ","13,448 ",-,"13,448 ",-,-,-,"1,032 ","1,032 ",-
若洲建材ふ頭,"61,194 ","111,783 ",-,-,-,-,-,-,"61,194 ","6,784 ","54,410 ","111,783 ","12,313 ","99,470 "
大井建材ふ頭,"116,867 ","236,788 ",-,-,-,-,-,-,"116,867 ",-,"116,867 ","236,788 ",-,"236,788 "
城南島建設発生土ふ頭,"53,500 ","100,280 ",-,-,-,-,-,-,"53,500 ","53,500 ",-,"100,280 ","100,280 ",-
中央防波堤内側ばら物ふ頭,"4,726 ","40,866 ",-,-,-,"28,895 ",-,"28,895 ","4,726 ","1,626 ","3,100 ","11,971 ","4,291 ","7,680 "
中央防波堤内側建設発生土ふ頭,"20,733 ","26,741 ",-,-,-,-,-,-,"20,733 ","20,733 ",-,"26,741 ","26,741 ",-
中央防波堤内側内貿ふ頭,"74,836 ","147,198 ",-,-,-,-,-,-,"74,836 ","38,287 ","36,549 ","147,198 ","75,558 ","71,640 "
東京港埠頭㈱計,"2,557,577 ","5,264,382 ","2,464,963 ","820,302 ","1,644,661 ","5,070,171 ","1,458,961 ","3,611,210 ","92,614 ","27,036 ","65,578 ","194,211 ","70,529 ","123,682 "
青海コンテナふ頭(埠頭㈱),"480,281 ","1,028,212 ","472,251 ","119,090 ","353,161 ","1,016,607 ","214,146 ","802,461 ","8,030 ","3,410 ","4,620 ","11,605 ","6,985 ","4,620 "
お台場ライナーふ頭,"81,838 ","148,914 ","65,279 ","51,327 ","13,952 ","117,220 ","88,498 ","28,722 ","16,559 ","1,433 ","15,126 ","31,694 ","2,344 ","29,350 "
大井コンテナふ頭,"1,995,458 ","4,087,256 ","1,927,433 ","649,885 ","1,277,548 ","3,936,344 ","1,156,317 ","2,780,027 ","68,025 ","22,193 ","45,832 ","150,912 ","61,200 ","89,712 "
民間計,"1,177,218 ","2,345,126 ","214,629 ","38,884 ","175,745 ","417,158 ","60,407 ","356,751 ","962,589 ","41,878 ","920,711 ","1,927,968 ","79,416 ","1,848,552 "
,,,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
