 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,642,"12,007,266",379,"10,072,942",263,"1,934,324","3,654,642","3,453,484","989,585","2,463,899","201,158","110,050","91,108"
,97.0%,101.5%,96.2%,100.9%,98.1%,104.7%,89.0%,89.8%,99.4%,86.5%,76.9%,71.9%,83.9%
,"1,316","24,115,977",785,"20,301,896",531,"3,814,081","7,574,036","7,172,706","1,759,716","5,412,990","401,330","225,203","176,127"
,98.0%,100.7%,97.4%,100.5%,98.9%,102.2%,92.0%,93.3%,93.9%,93.1%,74.1%,68.7%,82.3%
品川岸壁,134,"1,473,139",70,"707,808",64,"765,331","306,425","306,425","65,911","240,514",-,-,-
,99.3%,100.6%,94.6%,98.7%,104.9%,102.4%,84.2%,84.2%,90.2%,82.6%,-,-,-
,274,"3,013,000",145,"1,460,070",129,"1,552,930","668,600","668,600","124,645","543,955",-,-,-
,100.7%,101.5%,97.3%,101.5%,104.9%,101.6%,94.8%,94.8%,92.6%,95.3%,-,-,-
10号西岸壁,60,"638,613",-,-,60,"638,613","36,475",-,-,-,"36,475","25,711","10,764"
,105.3%,105.4%,-,-,105.3%,105.4%,110.9%,-,-,-,110.9%,115.8%,100.7%
,117,"1,244,599",-,-,117,"1,244,599","68,778",-,-,-,"68,778","48,003","20,775"
,98.3%,100.8%,-,-,98.3%,100.8%,99.1%,-,-,-,99.1%,99.9%,97.2%
青海コンテナふ頭（公共）,100,"1,427,791",76,"1,394,775",24,"33,016","588,616","573,097","116,182","456,915","15,519","11,163","4,356"
,97.1%,122.7%,108.6%,122.7%,72.7%,122.5%,89.6%,89.3%,109.6%,85.3%,104.2%,100.2%,116.1%
,202,"2,799,928",159,"2,747,290",43,"52,638","1,232,306","1,201,647","201,998","999,649","30,659","18,790","11,869"
,94.0%,116.3%,105.3%,116.5%,67.2%,107.1%,90.1%,89.8%,96.4%,88.6%,104.3%,84.3%,167.4%
青海コンテナふ頭(埠頭㈱),57,"1,626,247",54,"1,624,501",3,"1,746","480,281","472,251","119,090","353,161","8,030","3,410","4,620"
,83.8%,77.4%,81.8%,77.3%,150.0%,139.9%,80.6%,80.1%,87.8%,77.8%,119.6%,58.9%,501.1%
,121,"3,326,469",115,"3,322,977",6,"3,492","1,028,212","1,016,607","214,146","802,461","11,605","6,985","4,620"
,88.3%,80.8%,86.5%,80.8%,150.0%,82.6%,88.3%,88.3%,84.3%,89.4%,91.0%,59.0%,501.1%
お台場ライナーふ頭,7,"63,006",-,-,7,"63,006",-,-,-,-,-,-,-
,43.8%,60.8%,-,-,46.7%,88.7%,-,-,-,-,-,-,-
,31,"199,367",2,"65,102",29,"134,265","5,467","5,467","2,857","2,610",-,-,-
,72.1%,92.5%,100.0%,100.0%,70.7%,89.3%,433.5%,433.5%,-,207.0%,-,-,-
大井コンテナふ頭,229,"6,187,122",155,"6,065,954",74,"121,168","1,994,295","1,927,433","649,885","1,277,548","66,862","22,193","44,669"
,98.7%,105.1%,95.1%,104.5%,107.2%,144.8%,88.8%,91.3%,99.5%,87.6%,49.7%,31.8%,69.0%
,462,"12,359,116",317,"12,147,232",145,"211,884","4,084,930","3,936,344","1,156,317","2,780,027","148,586","61,200","87,386"
,102.0%,103.2%,96.1%,102.8%,117.9%,134.0%,91.0%,93.7%,94.0%,93.5%,51.7%,38.2%,68.6%
その他,55,"591,348",24,"279,904",31,"311,444","248,550","174,278","38,517","135,761","74,272","47,573","26,699"
,107.8%,117.1%,120.0%,145.0%,100.0%,99.9%,118.4%,126.9%,136.6%,124.4%,102.4%,108.0%,93.8%
,109,"1,173,498",47,"559,225",62,"614,273","485,743","344,041","59,753","284,288","141,702","90,225","51,477"
,104.8%,115.1%,114.6%,135.3%,98.4%,101.4%,112.6%,119.2%,131.7%,116.9%,99.3%,105.6%,89.9%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
