 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"265,785","110,985","246,151","93,866","75,736","93,295","170,415",571,"19,634","17,119","9,482","15,459","10,152","1,660"
,89.4%,100.2%,90.2%,104.6%,97.2%,105.1%,87.4%,57.0%,80.9%,81.4%,72.1%,81.3%,91.2%,82.4%
,"548,648","223,372","508,842","193,513","134,287","192,216","374,555","1,297","39,806","29,859","19,275","26,721","20,531","3,138"
,92.4%,100.5%,93.4%,105.3%,91.9%,105.5%,94.0%,80.6%,81.3%,77.7%,69.5%,77.1%,96.7%,83.1%
品川岸壁,"21,541","15,737","21,541","13,654","5,016","13,553","16,525",101,-,"2,083",-,"1,997",-,86
,89.0%,122.5%,89.0%,129.2%,91.7%,130.5%,88.2%,54.6%,-,91.6%,-,87.9%,-,-
,"46,480","30,981","46,156","26,551","9,448","26,335","36,708",216,324,"4,430",-,"4,274",324,156
,96.4%,112.8%,95.8%,114.4%,92.4%,115.5%,96.7%,53.6%,-,103.8%,-,100.2%,-,-
10号西岸壁,"3,590",541,-,-,-,-,-,-,"3,590",541,"2,245",-,"1,345",541
,107.4%,160.5%,-,-,-,-,-,-,107.4%,160.5%,107.3%,-,107.7%,160.5%
,"6,887","1,106",-,-,-,-,-,-,"6,887","1,106","4,282",-,"2,605","1,106"
,100.3%,132.0%,-,-,-,-,-,-,100.3%,132.0%,98.2%,-,103.9%,132.0%
青海コンテナふ頭（公共）,"43,603","24,577","41,900","19,372","8,779","19,117","33,121",255,"1,703","5,205","1,200","5,205",503,-
,90.4%,93.0%,90.3%,83.5%,96.8%,83.7%,88.8%,71.0%,92.8%,160.6%,93.2%,163.2%,92.0%,-
,"91,347","51,632","87,808","42,595","16,228","42,080","71,580",515,"3,539","9,037","2,079","8,975","1,460",62
,92.7%,97.2%,92.2%,91.6%,94.5%,91.4%,91.7%,110.0%,108.7%,136.4%,85.9%,137.4%,174.6%,66.7%
青海コンテナふ頭(埠頭㈱),"33,864","16,010","33,465","15,428","9,305","15,406","24,160",22,399,582,189,582,210,-
,81.3%,78.2%,81.1%,88.9%,91.5%,89.9%,77.7%,10.0%,106.1%,18.7%,72.7%,19.1%,181.0%,-
,"71,563","34,719","70,837","33,439","15,573","33,407","55,264",32,726,"1,280",400,"1,280",326,-
,88.0%,87.6%,87.9%,96.6%,81.3%,97.3%,89.9%,11.7%,104.2%,25.4%,68.8%,25.7%,281.0%,-
お台場ライナーふ頭,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,174,140,174,140,-,-,174,140,-,-,-,-,-,-
,165.7%,"14,000.0%",165.7%,"14,000.0%",-,-,165.7%,"14,000.0%",-,-,-,-,-,-
大井コンテナふ頭,"143,538","44,619","136,717","37,211","49,505","37,018","87,212",193,"6,821","7,408","1,876","7,359","4,945",49
,87.8%,103.0%,90.2%,116.2%,96.7%,116.4%,86.9%,81.8%,56.6%,65.6%,32.8%,71.2%,78.0%,5.1%
,"292,461","86,311","277,869","74,767","88,015","74,373","189,854",394,"14,592","11,544","4,828","11,440","9,764",104
,90.0%,99.9%,92.6%,113.4%,91.5%,113.5%,93.1%,91.6%,59.2%,56.5%,38.0%,61.1%,81.9%,6.1%
その他,"19,649","9,501","12,528","8,201","3,131","8,201","9,397",-,"7,121","1,300","3,972",316,"3,149",984
,121.0%,129.2%,131.0%,124.5%,152.1%,124.6%,125.2%,-,106.6%,169.7%,104.8%,188.1%,109.1%,164.5%
,"39,736","18,483","25,998","16,021","5,023","16,021","20,975",-,"13,738","2,462","7,686",752,"6,052","1,710"
,117.4%,124.5%,127.8%,117.8%,147.9%,118.1%,123.8%,-,101.7%,198.7%,100.4%,447.6%,103.4%,159.7%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
