 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
32,鉄道車両,262,601,145,204,145,204,117,397,117,397,-,-,-,-
33,完成自動車,"1,176,029","2,229,619","8,800","15,860","8,717","15,777","1,547","3,468","1,190","3,098","662,473","1,259,580","503,209","950,711"
34,その他輸送用車両,"6,843","16,256",391,448,391,448,"5,289","12,941","5,250","12,631",523,"1,627",640,"1,240"
35,二輪自動車,"3,773","8,286",307,667,307,667,"3,451","7,578","3,451","7,578",7,16,8,25
36,自動車部品,"207,385","394,149","132,946","231,861","132,946","231,861","69,206","151,583","69,197","151,565","2,167","4,191","3,066","6,514"
37,その他輸送機械,"50,464","100,725","4,071","7,001","4,071","7,001","28,292","58,533","28,292","58,533","6,231","12,971","11,870","22,220"
38,産業機械,"280,444","545,379","158,075","277,579","157,842","276,896","103,670","231,316","103,399","230,966","11,934","24,990","6,765","11,494"
39,電気機械,"295,751","622,507","59,924","101,787","59,909","101,770","232,273","513,735","232,248","513,640","2,793","5,518",761,"1,467"
40,測量・光学・医療用機械,"56,916","104,199","20,156","36,144","18,957","34,710","34,469","64,096","23,978","53,605","1,612","2,818",679,"1,141"
41,事務用機器,"16,816","36,337","2,345","4,093","2,345","4,093","12,043","27,961","12,043","27,961","2,316","4,081",112,202
42,その他機械,"6,254","11,913",845,"1,552",845,"1,552","1,541","3,814","1,541","3,814","2,589","4,230","1,279","2,317"
化学工業品,,"1,140,843","2,322,906","199,772","360,893","199,772","360,881","272,498","589,895","272,471","588,266","38,616","82,666","629,957","1,289,452"
43,陶磁器,"9,440","23,866",743,"1,301",743,"1,298","8,697","22,486","8,697","22,486",-,79,-,-
44,セメント,"220,218","447,401",97,113,97,113,"1,140","2,880","1,140","2,880","3,805","6,796","215,176","437,612"
45,ガラス類,"22,064","46,270","6,166","12,875","6,166","12,875","14,508","31,055","14,508","31,055","1,245","2,130",145,210
46,窯業品,"33,255","65,269","10,782","18,791","10,782","18,787","17,261","36,176","17,255","36,170","2,249","4,703","2,963","5,599"
47,重油,"34,536","77,610",-,-,-,-,-,-,-,-,"16,268","36,685","18,268","40,925"
48,揮発油,"1,932","2,001",-,-,-,-,-,-,-,-,57,126,"1,875","1,875"
49,その他の石油,"385,444","785,786","2,174","4,329","2,174","4,329","1,458","3,316","1,458","3,316","1,553","3,076","380,259","775,065"
50,LNG/液化天然ガス,225,495,-,-,-,-,225,495,225,495,-,-,-,-
51,LPG/液化石油ガス,628,"1,267",-,-,-,-,-,-,-,-,628,"1,267",-,-
52,その他石油製品,"1,753","6,821",428,"1,036",428,"1,036","1,073","2,873","1,073","2,873",212,622,40,"2,290"
53,コークス,"3,461","13,537",-,-,-,-,285,"3,146",285,"1,575","1,626","4,261","1,550","6,130"
54,石炭製品,964,"1,409",437,797,437,797,527,592,527,592,-,-,-,20
55,化学薬品,"82,176","164,793","26,831","48,301","26,831","48,301","45,515","98,156","45,515","98,156","3,695","7,235","6,135","11,101"
56,化学肥料,"6,048","13,215",206,232,206,232,"5,337","11,913","5,337","11,913",225,475,280,595
57,その他化学工業品,"338,699","673,166","151,908","273,118","151,908","273,113","176,472","376,807","176,451","376,755","7,053","15,211","3,266","8,030"
軽工業品,,"594,675","1,232,058","48,671","86,270","48,660","86,251","330,579","707,063","330,575","706,481","63,951","129,002","151,474","309,723"
58,紙・パルプ,"214,339","434,021","17,266","31,642","17,255","31,623","58,767","117,950","58,767","117,372","23,247","47,339","115,059","237,090"
59,糸及び紡績半製品,"4,570","8,437",317,611,317,611,"4,243","7,792","4,243","7,792",10,34,-,-
60,その他繊維工業品,"28,704","58,683","4,203","7,555","4,203","7,555","24,426","50,864","24,426","50,864",45,165,30,99
61,砂糖,"10,616","21,885",65,112,65,112,"4,417","8,301","4,417","8,301","1,164","3,009","4,970","10,463"
62,製造食品,"218,054","461,376","22,445","38,870","22,445","38,870","172,494","374,231","172,490","374,227","14,897","31,561","8,218","16,714"
63,飲料,"71,976","156,703","4,061","6,577","4,061","6,577","36,678","90,863","36,678","90,863","20,965","39,941","10,272","19,322"
64,水,"16,112","30,481",288,421,288,421,"12,426","24,297","12,426","24,297","2,133","3,368","1,265","2,395"
65,たばこ,"9,019","17,386",21,21,21,21,"7,458","14,390","7,458","14,390",665,"1,330",875,"1,645"
66,その他食料工業品,"21,285","43,086",5,461,5,461,"9,670","18,375","9,670","18,375",825,"2,255","10,785","21,995"
雑工業品,,"826,134","1,829,563","88,017","162,632","88,017","162,632","702,778","1,596,584","702,757","1,596,501","29,178","57,353","6,161","12,994"
67,がん具,"32,035","82,211","2,139","3,864","2,139","3,864","29,881","78,332","29,881","78,331",15,15,-,-
68,衣服・身廻品・はきもの,"337,933","744,115","12,726","23,223","12,726","23,223","323,490","716,717","323,490","716,716","1,712","3,883",5,292
69,文房具・運動娯楽用品・楽器,"51,965","122,569","10,200","18,724","10,200","18,724","40,604","101,717","40,585","101,642","1,131","2,043",30,85
70,家具装備品,"150,907","359,879","8,398","14,268","8,398","14,268","139,553","339,910","139,553","339,910","2,160","4,105",796,"1,596"
71,その他日用品,"50,551","104,063","7,691","14,930","7,691","14,930","24,297","52,702","24,297","52,702","16,385","31,928","2,178","4,503"
72,ゴム製品,"61,787","122,043","26,075","48,881","26,075","48,881","33,672","69,269","33,672","69,269","1,136","2,373",904,"1,520"
73,木製品,"92,983","194,262","1,121","1,566","1,121","1,566","89,927","188,769","89,927","188,769","1,894","3,846",41,81
74,その他製造工業品,"47,973","100,421","19,667","37,176","19,667","37,176","21,354","49,168","21,352","49,162","4,745","9,160","2,207","4,917"
特殊品,,"946,822","1,799,218","238,514","416,678","188,033","334,918","151,950","318,344","151,858","318,194","363,268","686,871","193,090","377,325"
75,金属くず,"64,653","107,530","57,304","92,991","7,161","11,848","4,626","9,780","4,626","9,780","1,548","2,589","1,175","2,170"
76,再利用資材,"175,872","307,763","149,156","259,299","149,156","259,299","2,460","4,165","2,460","4,165","22,255","40,494","2,001","3,805"
77,動植物性製造飼肥料,"84,118","162,410",887,"1,401",887,"1,401","79,057","154,321","79,057","154,321","3,674","5,723",500,965
78,廃棄物,"1,643","2,898",-,-,-,-,-,-,-,-,315,660,"1,328","2,238"
79,廃土砂,"99,528","172,583",-,-,-,-,-,-,-,-,"99,526","172,581",2,2
80,輸送用容器,"100,371","212,356","16,239","28,775","15,901","28,158","61,496","140,394","61,404","140,245","7,854","15,855","14,782","27,332"
81,取合せ品,"420,637","833,678","14,928","34,212","14,928","34,212","4,311","9,684","4,311","9,683","228,096","448,969","173,302","340,813"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
