 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,28,54,28,54,
,総トン数,,"353,808","682,344","353,808","682,344",
取扱貨物,計,計,"894,595","1,699,595","894,595","1,699,595",
,,出荷,"461,475","882,320","461,475","882,320",
,,入荷,"433,120","817,275","433,120","817,275",
取　扱　台　数,バ　ス,計,9,15,9,15,
,,出荷,3,8,3,8,
,,入荷,6,7,6,7,
,トラック,計,"8,166","15,557","8,166","15,557",
,,出荷,"4,271","8,188","4,271","8,188",
,,入荷,"3,895","7,369","3,895","7,369",
,乗用車,計,"4,458","8,264","4,458","8,264",
,,出荷,"2,774","5,070","2,774","5,070",
,,入荷,"1,684","3,194","1,684","3,194",
乗降人員,計,,"1,783","4,150","1,783","4,150",
,乗船,,"1,018","2,004","1,018","2,004",
,降船,,765,"2,146",765,"2,146",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
