< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,産業機械,その他化学工業品,再利用資材,自動車部品,電気機械
,"989,585",100.0%,"157,842","151,908","149,156","132,946","59,909"
,99.4%,,97.7%,103.6%,98.1%,109.2%,108.2%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,電気機械,再利用資材,その他化学工業品
,"211,306",21.4%,"77,332","39,021","15,315","11,133","10,559"
,115.5%,,127.6%,100.9%,141.2%,405.0%,78.1%
北米東岸(カリビア海含む),,,産業機械,自動車部品,再利用資材,電気機械,その他化学工業品
,"65,113",6.6%,"22,056","12,830","8,670","4,773","3,711"
,126.8%,,115.8%,148.2%,-,295.5%,91.5%
北欧・地中海,,,産業機械,その他化学工業品,ゴム製品,電気機械,自動車部品
,"99,605",10.1%,"22,250","20,226","10,556","7,914","6,554"
,82.6%,,81.0%,106.2%,91.5%,96.7%,67.7%
南米西岸,,,再利用資材,その他化学工業品,窯業品,産業機械,製造食品
,"5,020",0.5%,"2,040","1,633",705,248,164
,324.1%,,2372.1%,375.4%,-,92.9%,182.2%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他化学工業品,製造食品,再利用資材,電気機械,ゴム製品
,"2,496",0.3%,418,359,330,222,180
,95.0%,,115.2%,167.0%,-,853.8%,22.5%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,その他化学工業品,再利用資材,産業機械,自動車部品,電気機械
,"406,758",41.1%,"71,824","64,143","51,967","30,153","22,324"
,115.9%,,129.8%,81.7%,153.0%,92.8%,167.5%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,その他製造工業品,電気機械
,"39,832",4.0%,"9,998","6,822","3,935","2,161","1,937"
,88.3%,,75.1%,96.0%,79.8%,148.8%,56.2%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,電気機械,その他製造工業品
,"159,455",16.1%,"51,192","36,715","18,232","7,394","5,718"
,92.4%,,102.7%,110.6%,75.1%,73.2%,86.7%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
