 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"265,785","110,984","548,648","223,370","85,218","108,754","153,562","218,937","180,567","2,230","395,086","4,433"
,89.4%,100.2%,92.4%,100.5%,93.5%,100.9%,88.3%,100.9%,87.6%,74.0%,94.1%,82.3%
外航計,"246,151","93,866","508,842","193,513","75,736","93,295","134,287","192,216","170,415",571,"374,555","1,297"
,90.2%,104.6%,93.4%,105.3%,97.2%,105.1%,91.9%,105.5%,87.4%,57.0%,94.0%,80.6%
外航定期計,"246,151","93,866","508,842","193,513","75,736","93,295","134,287","192,216","170,415",571,"374,555","1,297"
,90.2%,104.6%,93.4%,105.3%,97.2%,105.1%,91.9%,105.5%,87.4%,57.0%,94.0%,80.6%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"37,940","11,358","71,774","23,962","16,039","11,298","27,343","23,524","21,901",60,"44,431",438
,103.0%,91.4%,100.4%,88.8%,108.2%,92.6%,104.2%,87.9%,99.5%,25.3%,98.2%,175.2%
北米東岸(カリビア海含む),"10,092","3,362","17,505","5,870","5,243","3,358","8,339","5,866","4,849",4,"9,166",4
,91.0%,176.9%,79.1%,177.8%,99.9%,176.6%,87.1%,177.6%,83.0%,-,72.9%,-
北欧・地中海,"15,509","2,838","33,702","5,033","7,401","2,811","13,845","4,976","8,108",27,"19,857",57
,75.6%,114.7%,86.4%,110.7%,81.8%,116.9%,79.5%,112.9%,70.7%,38.6%,92.0%,41.0%
南米西岸,"3,145","3,182","6,428","5,215",379,"3,178",809,"5,211","2,766",4,"5,619",4
,77.5%,684.3%,75.1%,585.3%,285.0%,735.6%,265.2%,611.6%,70.5%,12.1%,68.1%,10.3%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
