区市町村別事業中地区一覧,,,,,,,,,,,,,,,,,,,,,
区市町村,施行者,地 　 区　  名,施行地区,"面積
（ha）","総事業費
（億円）","都市計画
決定告示
年月日","施行認可
告示
年月日","完了予定
年度",整理前公共用地,,,,整理後公共用地,,,,保留地,合算減歩率,公共減歩率,保留地減歩率,備考
,,,,,,,,,㎡,道路,公園,その他,㎡,道路,公園,その他,（㎡）,（％）,（％）,（％）,
千代田/中央,都市機構,大手町,千代田区大手町一丁目、二丁目、中央区八重洲一丁目の各一部,17.4,917,H17.3.11,H18.4.12,R11,"21,233.00","17,532.00","2,624.00","1,077.00","32,907.00","27,438.00","4,392.00","1,077.00","1,435.00",8.6,7.6,1,
千代田,個人,内幸町一丁目街区中,千代田区内幸町一丁目の一部,2.2,3,R3.11.15,R4.6.27,R20,281.57,281.57,―,―,392.74,392.74,―,―,―,0.5,0.5,―,
中央,個人,京橋一丁目東地区,中央区京橋一丁目の一部,0.9,85.8,H28.2.16,H28.4.8,R3,"1,060.47","1,060.47",－,－,"1,060.51","1,060.51",－,－,－,―,―,―,
中央,組合,八重洲一丁目東地区,中央区八重洲一丁目２０５番１から３まで、２０５番６、２０５番７、２０５番９、２０５番１１から１３まで及び２１３番４の一部,0.2,20,,H30.5.22,R6 ,―,―,―,―,―,―,―,―,―,0,0,0,
港,個人,浜松町駅周辺,港区浜松町二丁目、海岸一丁目の各一部,3,25,―,H28.9.12,R8,"1,757.24","1,757.24",－,－,"7,550.23","7,550.23",－,－,－,20.2,20.2,―,
港,都市機構,品川駅北周辺地区,港区芝浦四丁目、港南一丁目、二丁目、高輪二丁目、三丁目の各一部,15.5,721.5,H28.4.19,H28.7.12,R15,"3,833.00","2,137.00","1,696.00",-,"36,399.00","31,765.00","4,634.00",-,"15,117.00",31.5,21.5,10,
港,都市機構,品川駅街区地区,港区港南二丁目、高輪三丁目の各一部,2.9,288.4,H28.4.19,H31.4.19,R19,94,94,-,-,348,348,-,-,"4,790.00",17.2,0.9,16.3,
港,都市機構,品川駅西口,港区高輪三丁目及び高輪四丁目の各一部,11.9,630,R4.11.9,R5.6.1,R32,14122,9207,4915,―,23407,15345,8062,―,"12,506.00",20.8,8.9,11.9,
港,個人,環状第４号線高輪区間,港区高輪三丁目の一部,1.5,51.3,―,R6.2.9,R14,"6,377.25","6,377.25",－,－,"6,377.25","6,377.25",－,－,－,－,－,-,
台東,個人,東上野四丁目地区,台東区東上野四丁目の一部,0.6,0.7,―,R4.8.16,R13,299.88,299.88,－,－,502.57,502.57,－,－,－,3.6,3.6,―,
品川,個人,広町二丁目,品川区広町二丁目及び大井一丁目の各一部,6.1,114.9,R3.11.26,R4.5.19,R15,－,－,－,－,"9,272.00","9,272.00",－,－,"9,701.00",30.9,15.1,15.8,
大田,都市機構,羽田空港跡地,羽田空港一丁目及び羽田空港二丁目の各一部,16.5,136.8,H28.2.12,H28.10.5,R7,-,-,-,-,"52,202.00","32,201.00","20,000.00",-,"39,295.00",55.5,31.7,23.8,
世田谷,個人,砧（共同）,世田谷区砧一丁目、二丁目、四丁目、及び桜丘四丁目、五丁目の各一部,9.9,,―,S23.4.30,―,－,－,－,－,－,－,－,－,－,―,―,―,
世田谷,個人,祖師谷二丁目,世田谷区祖師谷二丁目の一部,7.2,6.9,―,R5.3.13,R20,4379.3,4379.3,―,―,10348.05,6036.62,4311.43,―,―,8.8,8.8,―,
渋谷,個人,渋谷駅街区,渋谷区道玄坂一丁目、二丁目、渋谷一丁目から三丁目、東一丁目の各一部,5.5,750.2,H21.6.22,H22.10.14,R8,"37,877.00","35,177.00",－,"2,699.00","39,501.00","36,143.00",－,"3,359.00",－,9.6,9.6,―,
