番号,,施行者,地区名,施行位置,"面積
（ha）","総事業費
（億円）","都市計画
決定告示
年月日","事業認可
告示年月日",完了予定年度,整理前公共用地,,,,整理後公共用地,,,,"保留地
（㎡）","減歩率
",,
,,,,,,,,,,㎡,道路,公園,その他,㎡,道路,公園,その他,,（％）,公共,保留地
江,10,江戸川区,上篠崎一丁目北部,上篠崎一丁目他,4,80.8,S44.5.8,H28.3.14,R16,"4,697.40","4,697.40",0,0,"13,886.83","5,718.57",490.11,"7,678.15",-,25.8,25.8,0
江,11,江戸川区,南小岩七丁目,南小岩七丁目他,4.9,170,H27.12.21,R3.7.9,R13,"14,662.00","12,794.00",0,"1,867.75","20,816.39","20,354.90",461.49,0,218,18.3,17.7,0.6
八,8,八王子市,上野第二,上野町他,29.7,280.1,S61.1.21,S62.4.15,R9,"38,855.12","33,785.00","3,111.00",1959.12,"81,928.11","72,819.67","9,108.44",0,-,16.7,16.7,0
八,10,八王子市,中野中央,中野山王一丁目他,18.4,183.7,H4.12.24,H5.7.15,R7,"14,655.93","9,339.44",0,"5,316.49","44,974.22","37,243.29","5,980.71","1,750.22",-,17.9,17.9,0
八,11,八王子市,宇津木,尾崎町他,55,340.6,H5.12.2,H6.8.30,R23,"81,724.54","35,421.94",0,"46,302.60","160,761.00","105,275.00","24,605.00","30,881.00","30,184",23.3,16.9,5.5
八,12,八王子市,中野西,中野上町一丁目他,54.6,700.6,H10.2.3,H11.3.30,R11,"70,352.56","33,979.32","4,111.00","32,262.24","151,171.72","118,943.28","24,650.00","7,578.44",-,17,17,0
昭,2,昭島市,中神（第二工区）,中神町他,16.6,138.6,S35.1.12,S39.3.7,R12,"18,625.76","17,001.20","1,624.56",0,"59,529.45","54,529.41","5,000.04",0,"3,666",30.2,27.7,2.5
小,1,小金井市,東小金井駅北口,梶野町一丁目他,11,133.1,H7.4.28,H12.2.1,R8,"11,147.27","11,081.57",0,65.7,"38,024.61","34,282.89","3,741.72",0,-,27.1,27.1,0
日野,6,日野市,豊田南,豊田一丁目他,87.1,440,S60.11.12,S61.8.25,R10,"106,478.42","85,289.66","2,488.81","18,699.95","263,610.50","220,607.97","35,156.85","7,845.68","42,374",26.1,20.5,5.6
日野,7,日野市,万願寺第二,大字日野他,46.4,255.8,S40.6.7,H3.5.21,R5,"63,550.27","40,249.85",383.86,"22,916.56","139,391.00","118,783.00","17,105.00","3,503.00","29,370",26.3,18.9,7.3
日野,8,日野市,東町,日野本町六丁目他,34.5,166.6,H3.8.21,H4.9.18,R6,"40,610.98","31,721.42",524.85,"8,364.71","102,948.73","75,081.81","24,246.64","3,620.28","24,040",28.4,20.5,7.9
日野,9,日野市,西平山,西平山一丁目他,91.4,408,H2.12.6,H4.12.9,R10,"88,444.15","66,210.53","1,215.31","21,018.31","287,269.32","249,289.76","29,140.65","8,838.91","28,300",27.5,24.1,3.4
武村,1,武蔵村山市,武蔵村山都市核,本町一丁目他,30.9,168.3,H12.5.11,H13.1.22,R12,"32,617.78","26,392.50","1,812.92","4,412.36","78,276.45","63,826.43","12,000.00","2,450.02","13,000",21.2,16.5,4.7
稲,2,稲城市,稲城榎戸,大字矢野口字榎戸他,25.3,229,S63.11.18,H1.12.4,R10,"35,937.64","12,919.31",0,"23,018.33","87,727.35","70,055.02","7,596.15","10,076.18","5,000",26.2,23.9,2.3
稲,3,稲城市,稲城矢野口駅周辺,大字矢野口字中島他,16.8,278.3,H3.9.9,H5.1.27,R8,"32,639.36","19,305.31",720.75,"12,613.30","63,791.94","51,098.74","5,050.50","7,642.70",-,23.1,23.1,0
稲,4,稲城市,稲城南多摩駅周辺,大字大丸字８号他,12.2,164.1,H3.9.9,H5.1.27,R10,"20,020.65","12,000.24",0,"8,020.41","45,607.68","34,484.18","3,797.18","7,326.32",-,25.2,25.2,0
稲,5,稲城市,稲城稲城長沼駅周辺,大字大丸字１号他,10.6,176.4,H3.9.9,H5.8.5,R12,"14,103.39","5,618.25",112.83,"8,372.31","36,839.00","27,437.00","3,600.00","5,802.00",-,24.7,24.7,0
羽,5,羽村市,羽村駅西口,羽東一丁目他,42.4,436,H10.3.20,H15.4.16,R18,"69,119.09","69,119.09",0,0,"145,286.48","125,296.36","16,567.12","3,423.00","1,000",21.8,21.5,0.3
あ,5,あきる野市,武蔵引田駅北口,引田大字阿岐野他,19.5,71.1,H27.3.20,H28.3.7,R7,"14,033.41","14,033.41",0,0,"53,016.62","47,015.83","6,000.79",0,"13,000",28.8,21.6,7.2
瑞,2,瑞穂町,瑞穂町箱根ケ崎駅西,箱根ケ崎字宿西他,27.4,199,H6.8.29,H8.3.6,R13,"24,933.58","24,923.58",0,10,"77,028.10","68,817.49","8,210.61",0,"8,267",24.3,21,3.3
町,5,町田市,鶴川駅南,能ヶ谷一丁目,2.6,71.4,R1.8.30,R2.3.26,R13,"3,757.00","1,847.72",0,"1,909","12,391.34","10,814.87","1,245.24",331.23,-,31.8,31.8,0
