区市町村別完了地区一覧,,,,,,,,,,,,,,,,,,,,,,,
区市町村,施行者,地 　 区　  名,施行地区　,"面積
（ha）","総事業費
（億円）","都市計画
決定告示
年月日","施行
認可告示
年月日","換地処分
公告年月日",終了または解散認可年月日,整理前公共用地,,,,整理後公共用地,,,,保留地,合算減歩率,公共減歩率,保留地減歩率,国土調査法第19条第5項承認,備考
墨田,組合,押上・業平橋駅周辺,墨田区押上一丁目、向島一丁目の各一部,6.4,99.3,H17.3.3,H17.12.16,H24.10.1,H25.3.14,"2,163.31",989.85,-,"1,173.46","16,600.12","14,669.88",834.51,"1,095.73","3,496.14",28.9,5.6,23.2,,
江東,個人,豊洲二丁目,江東区豊洲二丁目、五丁目の各一部,23.6,103.7,―,H15.11.17,H19.7.6,H19.9.28,,,,,,,,,,23.1,11.1,12,,
目黒,個人,目黒四丁目,目黒区目黒四丁目の一部,0.2,1.7,―,H11.10.15,H13.3.8,H13.3.26,,,,,,,,,,―,―,―,,
大田,組合,石川町,大田区石川町及び雪谷町の各一部（大田区石川町二丁目の一部）,3.6,0.1,―,S33.3.11,S41.3.12,S41.12.24,,,,,,,,,,23.4,15,8.4,,
世田谷,個人,北烏山七丁目,世田谷区北烏山七丁目の一部,0.7,2,S44.5.8,H11.1.29,H13.2.9,H13.6.29,,,,,,,,,,39.7,35.4,4.3,,
世田谷,個人,成城四丁目,世田谷区成城四丁目の一部,3.8,4.5,S44.5.8,H12.12.8,H14.11.28,H15.2.24,,,,,,,,,,40,40,―,○,
世田谷,個人,千歳台六丁目,世田谷区千歳台六丁目の一部,1.3,2.2,S44.5.8,H16.12.15,H18.5.23,H18.8.22,,,,,,,,,,21.2,15.7,5.5,○,
世田谷,個人,太子堂円泉ヶ丘,世田谷区太子堂三丁目の一部,0.2,0.3,―,H19.5.31,H22.2.2,H22.3.10,669,669,-,-,687,687,-,-,-,1.3,1.3,―,,
世田谷,個人,補助第154号線第Ⅵ期,世田谷区世田谷四丁目の一部,0,1.3,―,H22.12.9,H24.4.19,H24.5.31,28.17,28.17,-,-,28.17,28.17,-,-,-,―,―,―,,
世田谷,個人,北烏山三丁目,世田谷区北烏山三丁目の一部,0.8,0.9,S44.5.8,H22.12.14,H24.1.23,H24.3.27,782.85,782.85,-,-,"1,682.76","1,432.76",250,-,255,15.4,12,3.4,○,
世田谷,個人,補助第154号線第Ⅱ期,世田谷区世田谷四丁目の一部,0.1,1.1,―,H23.3.17,H25.3.8,H25.3.28,138,138,-,-,375.62,375.62,-,-,-,33.4,33.4,―,,
世田谷,個人,千歳台二丁目北,世田谷区千歳台二丁目の一部,0.6,1.1,S44.5.8,H26.8.4,H29.1.12,H29.3.30,69.4,69.4,-,-,"1,008.33",836.33,172,-,272,21.5,16.7,4.8,○,
世田谷,個人,祖師谷六丁目,世田谷区祖師谷六丁目の一部,0.3,1.1,S44.5.8,H30.11.28,R2.2.20,R2.3.12,94.66,94.66,-,-,762.73,671.01,91.72,-,275.05,31.8,22.6,9.3,,
世田谷,組合,東松原,世田谷区松原町四丁目の一部（世田谷区松原六丁目）,3.6,0.4,―,S33.3.18,S37.3.13,S37.10.16,,,,,,,,,,23.4,15,8.4,,
世田谷,組合,世田谷五丁目,世田谷区世田谷五丁目、砧町の各一部（世田谷区桜丘五丁目、千歳台一丁目、砧二丁目の各一部）,27.8,2.8,―,S34.1.6,S42.8.1,S43.6.20,,,,,,,,,,19,18,1,,
世田谷,組合,希望丘,世田谷区船橋町、廻沢町、八幡山の各一部,85.2,60.5,―,S40.10.5,H2.5.30,H2.11.19,,,,,,,,,,21.5,19.7,1.9,,
世田谷,組合,砧,砧町の一部（世田谷区砧四丁目、六丁目の各一部）,13.1,10.5,―,S43.5.9,S54.11.27,S55.12.25,,,,,,,,,,16.6,11.6,5,,
世田谷,組合,田直,世田谷区大蔵五丁目の一部,2,9.3,S44.5.8,S56.3.31,H2.5.14,H2.11.30,920.15,920.15,-,-,"6,590.56","5,075.23","1,515.33",-,584.32,32.9,29.8,3.1,,
世田谷,組合,鎌田前耕地,世田谷区鎌田三丁目、岡本二丁目の各一部,14.9,42.6,S44.5.8,S57.9.10,H13.10.29,H14.2.22,,,,,,,,,,19,17.5,1.5,○,
世田谷,組合,打越,世田谷区大蔵五丁目、六丁目の各一部,2.2,12.1,S44.5.8,S58.3.10,H6.2.7,H6.11.22,,,,,,,,,,24.8,20.8,4,,
世田谷,組合,宇奈根西部,世田谷区宇奈根二丁目、喜多見一丁目の各一部,10.4,34.8,S44.5.8,S60.9.10,H13.3.9,H13.11.16,,,,,,,,,,27.6,26.4,1.2,○,
世田谷,組合,喜多見南部,世田谷区喜多見一丁目の一部,6.9,27.1,S44.5.8,S61.4.11,H8.9.18,H9.3.24,,,,,,,,,,20.8,19.1,1.8,,
世田谷,組合,宇奈根東部,世田谷区宇奈根一丁目の一部,4.4,21.9,S44.5.8,S63.9.26,H15.7.7,H15.10.22,,,,,,,,,,27.1,23.7,3.4,○,
世田谷,組合,大道北,世田谷区上祖師谷六丁目の一部,5.8,28.6,S44.5.8,H4.3.25,H15.6.12,H16.2.2,,,,,,,,,,26.3,24.9,1.7,○,
世田谷,組合,世田谷区砧五丁目,世田谷区砧五丁目の一部,1.7,6.9,―,H8.12.11,H12.2.4,H12.7.19,187.08,187.08,-,-,"3,521.30","2,520.76","1,000.54",-,441.14,23,20.3,2.7,○,
世田谷,組合,喜多見宮之原,世田谷区喜多見四丁目の一部,1.6,7.5,S44.5.8,H9.12.26,H14.2.25,H14.7.2,,,,,,,,,,32,26.3,5.7,○,
世田谷,組合,千歳台二丁目,世田谷区千歳台二丁目の一部,2,4.7,S44.5.8,H12.12.8,H15.9.1,H16.3.30,,,,,,,,,,24.7,21.2,3.5,○,
世田谷,組合,喜多見東,世田谷区喜多見三丁目の一部,5.4,27.8,S44.5.8,H14.3.12,H24.3.28,H25.2.7,"6,222.72","2,359.85",-,"3,862.87","15,149.04","13,529.93","1,619.11",-,"3,062.87",25.3,18.8,6.5,,
渋谷,個人,円山町,渋谷区円山町の一部,0.3,0.6,―,H12.3.30,H14.8.5,H14.10.17,,,,,,,,,,1.1,1.1,―,,
渋谷,個人,よよぎ一丁目五十三番街,渋谷区代々木一丁目の一部,0.6,1.4,―,H16.1.21,H19.5.14,H19.6.29,,,,,,,,,,0.5,0.5,―,,
渋谷,個人,渋谷二丁目21地区,渋谷区渋谷二丁目の一部,1,2.6,―,H20.5.27,H24.2.16,H24.7.18,547.17,547.17,-,-,570.77,570.77,-,-,-,0.2,0.2,―,,
渋谷,組合,渋谷駅南街区,渋谷区渋谷三丁目の一部,1,36.5,―,H26.5.27,H30.3.15,H30.10.1,"1,859.00","1,859.00",-,-,"2,911.91","2,911.91",-,-,847.5,23.1,12.8,10.4,,
渋谷,個人,渋谷区道玄坂二丁目４,渋谷区道玄坂二丁目の一部,0.6,51.8,―,H30.5.1,R5.6.12,R5.9.29,119.77,119.77,-,-,203.12,203.12,-,-,-,1.4,1.4,―,,
中野,個人,弥生町三丁目,中野区弥生町三丁目の一部,0.6,0.9,―,H28.4.21,H30.11.7,H30.12.13,"2,573.00",-,-,"2,573.00","3,070.00","1,740.00","1,330.00",-,-,16.7,16.7,―,,
杉並,個人,和泉四丁目,杉並区和泉四丁目の一部,1.7,3.7,S44.5.8,S51.5.11,S54.7.3,S55.4.22,,,,,,,,,,21.4,21.1,0.4,,
杉並,個人,高井戸東一丁目北,杉並区高井戸東一丁目の一部,3.6,不詳,―,H17.12.1,H20.9.29,H20.12.19,,,,,,,,,,10.8,10.8,―,○,
杉並,個人,高井戸東一丁目南,杉並区高井戸東一丁目の一部,4.9,不詳,S44.5.8,H17.12.1,H20.9.29,H20.12.19,521.36,521.36,-,-,"24,507.69","8,149.73","16,357.96",-,-,50,50,―,○,
北,個人,豊島五・六丁目,北区豊島五丁目、六丁目の各一部,2.3,1.1,―,H17.10.27,H19.2.28,H19.3.30,,,,,,,,,,2.2,2.2,―,,
板橋,組合,上赤塚,板橋区上赤塚町、成増町、下赤塚町の各一部,25,1.6,―,S33.8.26,S43.12.5,S46.4.17,,,,,,,,,,22.2,15.1,7,,
板橋,組合,徳丸石川（第一工区）,板橋区徳丸本町、徳丸町、下赤塚町の各一部,9.5,6.4,―,S38.7.23,S53.1.31,H1.9.27,,,,,,,,,,27.8,19.6,8.2,,
板橋,組合,西徳,板橋区志村西台町、西台一丁目、西台三丁目、徳丸本町の各一部,39.4,29.7,―,S38.11.16,S59.8.31,S61.2.19,,,,,,,,,,23,18.9,4.2,,
板橋,組合,徳丸が丘,板橋区徳丸町、徳丸本町の各一部,43.9,49,―,S40.11.30,H2.11.14,H3.10.5,"49,112.25","42,997.31",-,"6,114.94","139,639.94","103,121.67","36,170.02",348.25,"13,885.53",26.8,23.2,3.6,,
板橋,組合,大門,板橋区下赤塚町、上赤塚町の各一部（赤塚五丁目、七丁目、八丁目及び下赤塚町の各一部）,29.7,30.9,―,S40.12.7,H10.1.12,H13.11.6,,,,,,,,,,27.6,26.7,0.9,,
板橋,組合,徳丸石川（第二工区）,板橋区徳丸本町、四葉町、徳丸町、下赤塚町の各一部,19,36.1,―,S43.7.6,S63.10.31,H1.9.27,,,,,,,,,,25.9,20,5.9,,
板橋,組合,三園二丁目,板橋区三園二丁目の一部,0.4,1.8,S40.6.7,H10.4.30,H12.2.8,H12.12.21,,,,,,,,,,32.6,5.3,27.3,,
板橋,組合,赤塚三丁目,板橋区赤塚三丁目の一部,1,2.5,―,H18.3.31,H20.8.5,H21.3.2,,,,,,,,,,33.1,24.4,8.8,○,
板橋,都市機構,板橋,東京都板橋区,332.4,79.7,S40.6.7,S41.12.28,S47.3.31,,,,,,,,,,,29.5,22.6,6.9,,
練馬,個人,三原台三丁目,練馬区三原台三丁目の一部,1.7,3.3,S44.5.8,H4.4.23,H7.5.8,H8.3.18,,,,,,,,,,24.8,24.6,0.2,,
練馬,個人,西大泉一丁目,練馬区西大泉一丁目の一部,1.4,2.5,S44.5.8,H8.7.24,H10.4.30,H10.8.3,,,,,,,,,,19.3,19.3,―,,
練馬,個人,石神井台六丁目,練馬区石神井台六丁目の一部,0.7,1.7,S44.5.8,H16.4.1,H17.6.27,H17.9.13,,,,,,,,,,26.1,21.5,4.5,,
練馬,個人,早宮四丁目南,練馬区早宮四丁目の一部,0.4,2.6,―,H18.4.3,H21.10.19,H22.3.30,0,0,0,-,996.31,778.51,217.8,-,-,27.5,27.5,―,○,
練馬,個人,田柄二丁目,練馬区田柄二丁目の一部,0.4,0.8,S44.5.8,H26.5.15,H28.4.19,H28.10.28,184.58,-,-,184.58,959.8,941.18,-,18.62,110.01,22.5,19.7,2.8,,
練馬,個人,田柄二丁目北,練馬区田柄二丁目の一部,0.6,2.1,―,H26.5.15,H28.5.16,H28.10.28,,,,,,,,,,33.4,26.2,7.2,,
練馬,個人,土支田一丁目,練馬区土支田一丁目の一部,2.2,5.6,S44.5.8,H26.5.15,H28.10.19,H29.2.8,589.67,589.67,-,-,"4,784.38","3,480.32","1,304.06",-,"1,564.00",27.3,19.8,7.4,,
練馬,個人,大泉学園町二丁目,練馬区大泉学園町二丁目の一部,0.6,3.3,S44.5.8,H27.4.21,H28.11.18,H29.3.24,93.35,-,-,93.35,"1,248.32",865.39,381.62,1.31,968.34,33.9,18.4,15.5,,
練馬,個人,三原台二丁目東,練馬区三原台二丁目の一部,1.2,2.8,S44.5.8,H28.4.26,H.29.11.28,H.30.3.15,8.71,-,-,8.71,"2,764.09","2,041.06",723.03,-,444.03,26.6,22.9,3.7,,
練馬,個人,大泉学園町四丁目,練馬区大泉学園町四丁目の一部,1,3.3,S44.5.8,H29.12.27,R1.8.22,R1.12.11,-,-,-,-,"2,428.69","1,828.68",600.01,"2,428.69",888.64,33.7,24.6,9,,
練馬,組合,大泉町二丁目,練馬区大泉二丁目の一部,2.2,14.7,S44.5.8,S59.8.23,H1.12.6,H2.8.24,,,,,,,,,,35.9,35,0.9,,
練馬,組合,高松谷原,練馬区高松四丁目、五丁目、谷原一丁目の各一部,10.4,35.5,S44.5.8,S61.11.5,H7.2.23,H7.3.14,,,,,,,,,,23.3,22.1,1.2,,
練馬,組合,土支田三丁目,練馬区土支田三丁目の一部,1.8,4.2,S44.5.8,H1.12.13,H6.6.13,H7.2.16,,,,,,,,,,24.9,24.2,0.7,,
練馬,組合,西大泉六丁目,練馬区西大泉六丁目の一部,3.6,7.8,S44.5.8,H2.10.2,H6.11.11,H7.3.31,,,,,,,,,,27.7,27.2,0.5,,
練馬,組合,中里,練馬区大泉町一丁目の一部,4.3,11.3,S44.5.8,H5.12.6,H10.2.13,H10.3.31,,,,,,,,,,25.8,25,0.8,,
練馬,組合,西大泉四丁目,練馬区西大泉四丁目の一部,4.8,8.3,S44.5.8,H8.10.7,H13.6.13,H13.12.10,,,,,,,,,,26.8,24.6,2.2,,
練馬,組合,三原台二丁目,練馬区三原台二丁目の一部,3.1,5.9,S44.5.8,H10.1.16,H14.11.20,H15.11.7,-,-,-,-,"6,528.01","4,647.99","1,880.02",-,"1,221.03",24.9,21,3.9,○,
練馬,組合,西大泉四丁目西,練馬区西大泉四丁目の一部,1.6,3.5,S44.5.8,H11.3.30,H13.9.13,H14.1.15,,,,,,,,,,21.3,18.2,3.1,,
練馬,組合,大泉町一丁目,練馬区大泉一丁目の一部,2,5.1,S44.5.8,H12.3.30,H17.2.17,H17.7.20,,,,,,,,,,31.3,26.3,5,,
練馬,組合,早宮四丁目,練馬区早宮四丁目の一部,1.9,4.9,S44.5.8,H18.4.3,H21.10.19,H22.3.30,849.6,849.6,-,-,"4,584.99","3,459.80","1,125.19",-,"1,019.90",26.6,20.9,5.7,○,
練馬,組合,中里中央,練馬区大泉町一丁目の一部,3.9,11.7,S44.5.8,H20.4.3,H24.8.9,H25.1.30,"2,400.80","2,400.80",-,-,"12,576.92","9,450.80","3,126.12",-,"1,821.38",32.7,27.8,4.9,○,
足立,個人,小台一丁目,足立区小台一丁目の一部,2.4,7,―,H14.3.29,H20.7.31,H20.9.25,340,340,-,-,"2,542.00","1,997.00",-,545,-,9.2,9.2,―,○,
足立,個人,千住大橋駅前街区,足立区千住橋戸町の一部,0.3,1.8,―,H24.11.20,H26.5.19,H26.7.15,301,301,-,-,301,301,-,-,373,12.6,―,12.6,,
足立,組合,綾瀬(第一工区）,足立区普賢寺町、伊藤谷本町、葛飾区上千葉町の各一部（足立区綾瀬二丁目の全部及び足立区綾瀬一丁目、葛飾区小菅四丁目の各一部）,37.4,4.4,―,S34.4.4,S43.3.31,S45.5.6,,,,,,,,,,25.3,19.4,5.8,,S35.3.19工区分け
足立,組合,北三谷,足立区北三谷町、蒲原町の各一部（足立区東綾瀬三丁目の全部及び東綾瀬一丁目、二丁目、東和一丁目、三丁目の各一部）,61.1,6.4,―,S34.11.26,S44.7.5,S47.11.10,,,,,,,,,,29.9,26.6,3.2,,
足立,組合,西新井町（第一工区）,足立区西新井一丁目、二丁目、四丁目から六丁目の各一部,28.4,2.1,―,S35.3.1,S45.3.18,H2.9.28,,,,,,,,,,27.8,19.9,7.9,,
足立,組合,綾瀬(第二工区）,足立区普賢町、伊藤谷本町、五兵衛町、伊藤谷東町、北三谷町の各一部（足立区綾瀬三丁目、五丁目の全部及び綾瀬四丁目、六丁目、七丁目、東綾瀬一丁目、二丁目の各一部）,69.6,9.8,―,S35.3.19,S44.9.4,S45.5.6,,,,,,,,,,33.3,28.1,5.1,,
足立,組合,花畑町,足立区花畑町、保木間町の各一部（足立区花畑二丁目から五丁目、保木間五丁目の各一部）,71.7,65.9,―,S36.12.12,H10.9.16,H13.3.7,,,,,,,,,,29,22.5,6.5,,
足立,組合,西新井町（第二工区）,足立区西新井町、栗原町、伊興町諏訪木の各一部（足立区西新井三丁目の全部及び西新井二丁目、四丁目から七丁目、谷在家一丁目の各一部）,65.8,20.7,―,S36.12.12,H1.10.30,H2.9.28,,,,,,,,,,31.5,28,3.6,,
足立,組合,保木間,足立区保木間町の一部（足立区保木間一丁目、二丁目の各一部）,31,4.9,―,S36.12.12,S45.2.28,S48.9.28,,,,,,,,,,32.2,29.2,3,,
足立,組合,江北西部,足立区上沼田町、北堀之内町、北鹿浜町の各一部（足立区鹿浜三丁目、四丁目、堀ノ内二丁目の全部及び鹿浜一丁目、二丁目、五丁目、六丁目、加賀一丁目、堀ノ内一丁目の各一部）,148.6,43.6,―,S37.1.6,S63.8.4,H1.2.13,,,,,,,,,,32.6,26.8,5.8,,
足立,組合,江北椿,足立区上沼田町、北堀之内町、北鹿浜町の各一部（足立区椿一丁目、二丁目）,14.7,2.6,―,S38.9.9,S43.7.31,S43.11.14,,,,,,,,,,30.1,25.7,4.4,,
足立,組合,谷在家町,足立区谷在家町、上沼田町、高野町、北宮城町、西新井町、北鹿浜町、北堀之内町の各一部（足立区西新井六丁目、七丁目、西新井本町二丁目、谷在家一丁目、二丁目、鹿浜七丁目、江北五丁目から七丁目の各一部）,58,19.3,―,S39.2.11,S60.8.26,S61.11.5,,,,,,,,,,31.5,29.9,1.6,,
足立,組合,東加平,足立区加平町、五兵衛町、内匠町、花畑町、辰沼町の各一部（足立区加平二丁目、三丁目の全部及び加平一丁目、綾瀬七丁目、谷中二丁目、四丁目の各一部）,47.3,12.7,―,S39.2.11,S46.10.22,S47.8.26,,,,,,,,,,28.9,24.2,4.7,,
足立,組合,栗原・六月町(第一工区）,足立区栗原町、六月町、島根町の各一部（足立区栗原二丁目、六月三丁目の全部及び栗原一丁目、竹の塚一丁目の各一部）,34.4,5,―,S39.9.26,S56.9.30,H7.10.23,,,,,,,,,,27.7,25.2,2.4,,
足立,組合,東栗原,足立区六町、東栗原、西加平町、竹塚町、小右衛門町、東島根町、六月町の各一部（足立区一ツ家一丁目から四丁目、西加平二丁目の各一部）,61.1,21.3,―,S41.5.12,S58.1.26,S58.8.19,,,,,,,,,,23.3,20.9,2.4,,
足立,組合,淵江,足立区保木間町、花畑町の各一部（足立区保木間三丁目の全部及び花畑一丁目、三丁目、四丁目、保木間一丁目、二丁目、四丁目、五丁目、東保木間一丁目、二丁目、南花畑五丁目の各一部）,118,65,―,S42.2.16,H13.5.15,H14.11.1,"86,740.94","55,441.94",-,"31,299.00","314,136.88","245,889.50","60,719.80","7,527.58","41,314.68",24.6,20.8,3.8,,
足立,組合,花畑鷲宿,足立区花畑町の一部（足立区花畑六丁目、七丁目の各一部）,6.3,1.3,―,S42.4.1,S46.12.1,S47.5.1,,,,,,,,,,26.5,23.3,3.1,,
足立,組合,江北北部,足立区加賀皿沼町、谷在家町、北堀之内町、上沼田町、北鹿浜町、入谷町、舎人町の各一部（足立区加賀二丁目、皿沼一丁目、二丁目、鹿浜八丁目、谷在家三丁目の全部及び加賀一丁目、鹿浜五丁目から七丁目、谷在家一丁目、二丁目、皿沼三丁目、入谷七丁目、入谷町、舎人町、西伊興町一丁目の各一部）,152.1,132.8,―,S42.4.18,H12.4.10,H13.12.27,"116,562.75","87,311.75",204,"29,047.00","449,389.39","359,744.06","79,175.14","10,470.19","37,734.80",26.9,24.1,2.6,,
足立,組合,花畑東部,足立区花畑町、保木間町の各一部（足立区保木間町、花畑町、花畑一丁目、南花畑一丁目、三丁目、五丁目の各一部）,97.1,70.6,―,S42.11.25,H22.8.20,H27.3.13,"94,488.19","47,330.09",-,"47,158.10","262,516.27","206,954.21","44,363.02","11,199.04","31,514.25",22.8,19.2,3.6,,
足立,組合,下谷中,足立区下谷中町、上谷中町、北山谷町、●●寺町の各一部（足立区谷中一丁目、二丁目、綾瀬六丁目、七丁目の各一部）,19,7.9,―,S43.5.4,S51.7.2,S52.6.4,,,,,,,,,,30.6,26.2,4.3,,
足立,組合,中川,足立区佐野二丁目、辰沼一丁目の全部及び辰沼二丁目、六木一丁目、谷中五丁目、大谷田五丁目の各一部,48.6,24.3,―,S43.5.11,S58.10.8,S60.7.1,,,,,,,,,,22,17.1,4.9,,
足立,組合,大谷田上,足立区大谷田町、佐野町、上谷中町、先●町、神明町の各一部（足立区大谷田二丁目、四丁目、五丁目、谷中五丁目、佐野一丁目の各一部）,35.2,38.6,―,S43.6.20,H6.5.26,H8.1.18,,,,,,,,,,28.9,24.1,4.8,,
足立,組合,大谷田谷中,足立区谷中三丁目の全部及び谷中二丁目、四丁目、大谷田三丁目、四丁目、五丁目の各一部,52.8,32,―,S43.6.20,S59.3.30,S60.7.16,,,,,,,,,,26.1,19.6,6.5,,
足立,組合,栗原・六月町(第二工区）,足立区栗原町、西新井町の各一部（足立区栗原三丁目、四丁目の各一部）,24.5,34.3,S44.5.8,S45.7.8,H6.6.1,H7.10.23,,,,,,,,,,20,16.9,3.2,,
足立,組合,六木,足立区六木町、神明町の各一部（足立区六木三丁目）,27.9,25.6,S44.5.8,S47.4.1,S62.7.1,H1.1.25,,,,,,,,,,25.1,18.8,6.3,,
足立,組合,桑袋,足立区花畑八丁目の一部,5.9,33.5,S44.5.8,S61.9.11,H16.2.2,H16.3.18,"3,530.95","2,722.93",-,808.02,"16,747.23","11,218.40","4,720.81",808.02,"4,507.29",32,23.8,8.1,,
足立,都市機構,竹の塚,東京都足立区,100,8.9,S34.3.31,S36.1.26,S42.3.31,,,,,,,,,,,16.9,11.3,5.6,,
葛飾,個人,東新小岩二丁目,葛飾区東新小岩二丁目の一部,2,3.7,S44.5.8,H11.5.12,H12.10.27,H13.3.14,,,,,,,,,,19.1,19.1,―,○,
葛飾,個人,葛飾区新宿六丁目,葛飾区新宿六丁目、南水元一丁目の各一部,23.9,59.1,―,H18.2.8,H19.12.19,H20.2.6,,,,,,,,,,18.4,10,8.4,,
葛飾,組合,上千葉砂原町,葛飾区亀有一丁目、砂原町、上千葉町の各一部,45.8,5.5,―,S34.8.29,S44.6.26,S45.1.23,,,,,,,,,,21.7,15.8,5.9,,
葛飾,組合,奥戸,葛飾区細田町、奥戸新町、奥戸本町、高砂一丁目の各一部,45.1,15.1,―,S37.2.15,S49.9.2,S52.3.31,,,,,,,,,,29.7,2.3,6.4,,
葛飾,組合,鎌倉町,葛飾区鎌倉町の一部,9.9,2,―,S39.9.30,S43.11.14,S44.4.12,,,,,,,,,,26.7,25.2,1.6,,
葛飾,組合,水元第一,葛飾区水元小合町、水元小合新町、水元小合上町、水元猿町の各一部,109,27.5,―,S42.9.12,H5.8.10,H6.3.28,,,,,,,,,,1.3,-0.5,1.9,,
葛飾,組合,上新,葛飾区水元小合上町、水元小合新町の各一部,17.4,13.7,S44.5.8,S49.12.3,S59.6.18,S59.12.12,,,,,,,,,,17,11.1,5.9,,
葛飾,組合,奥戸四丁目,葛飾区奥戸四丁目、東新小岩四丁目の各一部,7.8,10,S44.5.8,S61.1.21,H5.4.12,H5.11.19,,,,,,,,,,6.7,4.7,2.1,,
江戸川,個人,西葛西二丁目,江戸川区西葛西二丁目の一部,1.7,0.5,S40.6.18,H11.10.15,H12.5.26,H14.1.9,,,,,,,,,,0,0,―,,
江戸川,組合,新堀,江戸川区一之江一丁目、春江町一丁目、西瑞江一丁目の各一部,33.1,14.3,―,S42.9.12,S54.11.30,S55.7.28,,,,,,,,,,23.9,19,4.8,,
