,,,,,,,,2024年3月30日更新,
,区立自転車駐車場,,,,,,,,
NO,駅　名,駅別適正収容台数［台］,施設名,所在地,緯度,経度,自転車適正収容台数［台］,原付適正収容台数［台］,計［台］
1,江古田駅,906,江古田駅,練馬区旭丘1-71-5,35.73676221,139.6740287,590,30,620
2,江古田駅,906,江古田駅第二,練馬区栄町33-10,35.73883856,139.6721789,178,0,178
3,江古田駅,906,江古田駅第三,練馬区小竹町1-60-1,35.73806418,139.6733182,32,6,38
4,江古田駅,906,江古田栄町,練馬区栄町3-11,35.73706737,139.6717689,70,0,70
5,桜台駅,620,桜台駅東,練馬区桜台1-14-1,35.73898629,139.6641044,110,20,130
6,桜台駅,620,桜台駅西,練馬区桜台4-1-1,35.73858463,139.6607947,490,0,490
7,練馬駅,3140,練馬駅東,練馬区練馬1-1-13,35.73818015,139.6566665,910,20,930
8,練馬駅,3140,練馬駅西,練馬区練馬1-12-12,35.73770156,139.6523851,1450,60,1510
9,練馬駅,3140,練馬駅北地下,練馬区練馬1-17-1,35.73796543,139.6530133,700,0,700
10,豊島園駅,432,豊島園駅東,練馬区練馬4-14-16,35.74171224,139.6488698,110,0,110
11,豊島園駅,432,豊島園駅西,練馬区練馬4-10-18,35.74181007,139.6477181,322,0,322
12,中村橋駅,2180,中村橋駅東,練馬区中村北3-15-10,35.73700326,139.6394711,870,40,910
13,中村橋駅,2180,中村橋駅西,練馬区貫井1-36-26,35.73661573,139.6358492,1240,30,1270
14,富士見台駅,870,富士見台駅東,練馬区貫井1-48-12,35.73607741,139.6312146,470,20,490
15,富士見台駅,870,富士見台駅西,練馬区貫井3-6-9,35.73583058,139.6282625,360,20,380
16,練馬高野台駅,625,練馬高野台駅南,練馬区高野台1-1-8,35.74017925,139.6173254,620,5,625
17,石神井公園駅,2156,石神井公園駅北,練馬区石神井町2-13-4,35.74472074,139.6092359,450,20,470
18,石神井公園駅,2156,石神井公園駅北第二,練馬区石神井町2-13-26,35.74519376,139.6090797,630,0,630
19,石神井公園駅,2156,石神井南　　　,練馬区石神井町3-20-3,35.74249414,139.6066967,1046,10,1056
20,大泉学園駅,7356,大泉学園駅南第一,練馬区東大泉5-41-23,35.74919773,139.5870272,140,0,140
21,大泉学園駅,7356,大泉学園駅南第二,練馬区東大泉6-52-2,35.74960505,139.5850042,450,0,450
22,大泉学園駅,7356,大泉学園駅西第三,練馬区東大泉6-34-24,35.74810059,139.5843499,380,0,380
23,大泉学園駅,7356,大泉学園駅南バス通り,練馬区東大泉5-29-13,35.74763765,139.5865795,1150,50,1200
24,大泉学園駅,7356,大泉学園駅南口地下,練馬区東大泉5-43-1,35.74935694,139.5854611,620,0,620
25,大泉学園駅,7356,中島橋,練馬区東大泉4-29-15,35.75374092,139.5843038,110,10,120
26,大泉学園駅,7356,大泉学園駅北,練馬区東大泉4-5-4,35.75072552,139.5839992,150,0,150
27,大泉学園駅,7356,大泉学園駅北第二,練馬区東大泉4-3-14,35.75124684,139.5849038,307,28,335
28,大泉学園駅,7356,大泉学園駅北第三,練馬区東大泉4-4-18,35.75024755,139.5846204,1524,0,1524
29,大泉学園駅,7356,大泉学園駅北第四,練馬区東大泉4-3-7,35.75080179,139.5847048,500,0,500
,大泉学園駅,7356,大泉学園駅北第五,練馬区東大泉4-1-11,35.750439,139.58526,195,15,210
30,大泉学園駅,7356,大泉学園駅北口地下,練馬区東大泉1-29-1,35.75032574,139.5856439,1070,0,1070
31,大泉学園駅,7356,東大泉,練馬区東大泉1-28-1,35.74987611,139.5873443,440,0,440
32,大泉学園駅,7356,東大泉第三,練馬区東大泉1-32-2,35.75036126,139.5871388,67,0,67
33,大泉学園駅,7356,学園通り,練馬区東大泉3-49-11,35.75463755,139.5870427,150,0,150
34,大泉バス停,1019,大泉郵便局バス停,練馬区大泉学園町5-7,35.76648793,139.5871998,270,14,284
35,大泉バス停,1019,風致地区バス停,練馬区大泉学園町6-18,35.77113569,139.5864563,120,0,120
36,大泉バス停,1019,風致地区バス停第二,練馬区大泉学園町6-18,35.77111664,139.586219,260,0,260
37,大泉バス停,1019,風致地区バス停第三,練馬区大泉学園町7-7,35.77107819,139.5868082,30,0,30
38,大泉バス停,1019,都民農園バス停,練馬区大泉学園町6-30,35.77398682,139.5843825,325,0,325
39,保谷駅,2490,南大泉,練馬区南大泉3-25-25,35.74646698,139.567995,2420,70,2490
40,上石神井駅,2229,上石神井,練馬区上石神井2-34-15,35.72828488,139.5917727,650,0,650
41,上石神井駅,2229,上石神井駅北第一,練馬区上石神井2-24-15,35.72636063,139.5937868,124,0,124
42,上石神井駅,2229,上石神井駅北第二,練馬区上石神井4-1-6,35.72669816,139.5905377,350,0,350
43,上石神井駅,2229,上石神井駅北第三,練馬区上石神井2-23-3,35.72652125,139.593651,400,25,425
44,上石神井駅,2229,上石神井駅南,練馬区上石神井1-3-15,35.7245753,139.5944697,220,0,220
45,上石神井駅,2229,上石神井駅南第二,練馬区上石神井1-14-5,35.72616864,139.5907296,140,0,140
46,上石神井駅,2229,上石神井駅南第三,練馬区上石神井1-5-19,35.72574873,139.5926775,150,0,150
47,上石神井駅,2229,上石神井立野橋,練馬区上石神井1-11-5,35.72372158,139.5916072,160,10,170
48,武蔵関駅,2152,武蔵関駅北,練馬区関町北4-9-6,35.72910435,139.5752058,430,0,430
49,武蔵関駅,2152,武蔵関駅北第二,練馬区関町北4-16-52,35.72908631,139.5748662,240,0,240
50,武蔵関駅,2152,武蔵関駅西,練馬区関町北4-7-1,35.72780516,139.5746764,575,16,591
51,武蔵関駅,2152,庚申橋,練馬区石神井台7-9-11,35.72888585,139.5785872,123,0,123
52,武蔵関駅,2152,武蔵関駅南,練馬区関町北1-23-14,35.72731545,139.5779266,260,0,260
53,武蔵関駅,2152,武蔵関駅南第二,練馬区関町北1-16-12,35.72597784,139.5779749,230,0,230
54,武蔵関駅,2152,武蔵関駅東,練馬区関町東2-17-1,35.72852221,139.5781472,278,0,278
55,東武練馬駅,170,北町二丁目,練馬区北町2-21-5,35.7674499,139.6620186,170,0,170
56,小竹向原駅,730,小竹向原駅,練馬区小竹町2-16-14,35.74389078,139.678428,730,0,730
58,氷川台駅,2734,氷川台駅第三,練馬区氷川台3-40-1,35.7497264,139.6651532,187,0,187
59,氷川台駅,2734,氷川台駅第四,練馬区氷川台4-53-6,35.75088977,139.6637956,1290,47,1337
60,氷川台駅,2734,氷川台駅第五,練馬区氷川台4-51-9,35.75110957,139.6644692,160,0,160
61,氷川台駅,2734,氷川台駅第六,練馬区氷川台3-34-9,35.74968552,139.6676518,180,0,180
62,氷川台駅,2734,氷川台駅第八,練馬区早宮1-1-8,35.75005359,139.663549,200,0,200
63,氷川台駅,2734,氷川台駅第九,練馬区氷川台3-41-3,35.74923,139.66423,500,0,500
