"年度[西暦]","区分","算定額[千円]","対前年度比較増減額[千円]","増減率[%]"
2016,"基準財政収入額Ａ 特別区税 特別区民税",55668787,,
2016,"基準財政収入額Ａ 特別区税 軽自動車税",58224,,
2016,"基準財政収入額Ａ 特別区税 特別区たばこ税",5119723,,
2016,"基準財政収入額Ａ 利子割交付金",292691,,
2016,"基準財政収入額Ａ 配当割交付金",1599657,,
2016,"基準財政収入額Ａ 株式等譲渡所得割交付金",949323,,
2016,"基準財政収入額Ａ 地方消費税交付金",11374104,,
2016,"基準財政収入額Ａ 自動車取得税交付金",185026,,
2016,"基準財政収入額Ａ 地方特例交付金",39870,,
2016,"基準財政収入額Ａ 地方揮発油譲与税",131440,,
2016,"基準財政収入額Ａ 自動車重量譲与税",300058,,
2016,"基準財政収入額Ａ 交通安全対策特別交付金",46451,,
2016,"基準財政収入額Ａ 特例加減算額",-3499558,,
2016,"基準財政需要額Ｂ 単位費用 経常的経費",48591398,,
2016,"基準財政需要額Ｂ 単位費用 投資的経費",9168291,,
2016,"普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０",0,,
2017,"基準財政収入額Ａ 特別区税 特別区民税",58720406,3051619,5.5
2017,"基準財政収入額Ａ 特別区税 軽自動車税",60180,1956,3.4
2017,"基準財政収入額Ａ 特別区税 特別区たばこ税",5137235,17512,0.3
2017,"基準財政収入額Ａ 利子割交付金",196761,-95930,-32.8
2017,"基準財政収入額Ａ 配当割交付金",737905,-861752,-53.9
2017,"基準財政収入額Ａ 株式等譲渡所得割交付金",507871,-441452,-46.5
2017,"基準財政収入額Ａ 地方消費税交付金",11446437,72333,0.6
2017,"基準財政収入額Ａ 自動車取得税交付金",169991,-15035,-8.1
2017,"基準財政収入額Ａ 地方特例交付金",45889,6019,15.1
2017,"基準財政収入額Ａ 地方揮発油譲与税",125005,-6435,-4.9
2017,"基準財政収入額Ａ 自動車重量譲与税",311080,11022,3.7
2017,"基準財政収入額Ａ 交通安全対策特別交付金",44844,-1607,-3.5
2017,"基準財政収入額Ａ 特例加減算額",-3249552,250006,7.1
2017,"基準財政需要額Ｂ 単位費用 経常的経費",49239355,647957,1.3
2017,"基準財政需要額Ｂ 単位費用 投資的経費",6410102,-2758189,-30.1
2017,"普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０",0,0,
2018,"基準財政収入額Ａ 特別区税 特別区民税",61025121,2304715,3.9
2018,"基準財政収入額Ａ 特別区税 軽自動車税",63466,3286,5.5
2018,"基準財政収入額Ａ 特別区税 特別区たばこ税",4845190,-292045,-5.7
2018,"基準財政収入額Ａ 利子割交付金",170094,-26667,-13.6
2018,"基準財政収入額Ａ 配当割交付金",841384,103479,14
2018,"基準財政収入額Ａ 株式等譲渡所得割交付金",589559,81688,16.1
2018,"基準財政収入額Ａ 地方消費税交付金",10011871,-1434566,12.5
2018,"基準財政収入額Ａ 自動車取得税交付金",223275,53284,31.3
2018,"基準財政収入額Ａ 地方特例交付金",49169,3280,7.1
2018,"基準財政収入額Ａ 地方揮発油譲与税",124749,-256,-0.2
2018,"基準財政収入額Ａ 自動車重量譲与税",296948,-14132,-4.5
2018,"基準財政収入額Ａ 交通安全対策特別交付金",43091,-1753,3.9
2018,"基準財政収入額Ａ 特例加減算額",-4165426,-915874,28.2
2018,"基準財政需要額Ｂ 単位費用 経常的経費",51156135,1916780,3.9
2018,"基準財政需要額Ｂ 単位費用 投資的経費",6845842,435740,6.8
2018,"普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０",0,0,

"平成30年度港区行政資料集　都区財政調整","Ver201803",,,
