区分,公立(%),私立(%),わからない(%)
公立に就学／小学校(N=1107),90.5,4.4,5.1
公立に就学／中学校(N=837),93.9,4.1,2.0
公立に就学／高校(N=525),93.1,5.5,1.3
私立に就学／小学校(N=88),12.5,83.0,4.5
私立に就学／中学校(N=354),21.2,77.1,1.7
私立に就学／高校(N=663),32.6,66.2,1.2
