区分,公立に就学／小学校(N=1107),公立に就学／中学校(N=837),公立に就学／高校(N=525),私立に就学／小学校(N=88),私立に就学／中学校(N=354),私立に就学／高校(N=663)
男女共学(%),99.8,99.5,98.7,88.6,42.1,57.0
男子校(%),0.2,0.4,1.3,1.1,22.0,20.7
女子校(%),0.0,0.0,0.0,10.2,35.9,22.3
