区分,公立(%),私立(%),わからない(%),無回答(%)
公立に就学／今回調査(N=525),93.1,5.5,1.3,
公立に就学／H15年調査(N=881),95.1,4.3,,0.6
公立に就学／今回調査(N=663),32.6,66.2,1.2,
公立に就学／H15年調査(N=1263),26.7,72.5,,0.8
