区分,小学校(%),中学校(%),高等学校(%),高等専門学校(%),専修学校（高等課程）(%),その他(%)
保護者（N=1789),33.3,33.3,32.7,0.3,0.1,0.4
子ども（N=1786),33.5,33.3,32.8,0.3,0.1,0.1
