区分,小学4年(%),小学5年(%),小学6年(%),中学（高校）1年(%),中学（高校）2年(%),中学（高校）3年(%)
公立に就学／小学校(N=1107),34.6,32.5,32.9,,,
公立に就学／中学校(N=837),,,,31.9,31.5,36.6
公立に就学／高校(N=525),,,,37.1,27,35.8
私立に就学／小学校(N=88),26.1,37.5,36.4,,,
私立に就学／中学校(N=354),,,,35.6,29.7,34.7
私立に就学／高校(N=663),,,,33.6,32.7,33.6
