実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,nen,実数_平成24年平均,2012,,394,3.29,1.59,48,575440,565795,539670,407466,70608,61596,4119,22006,9645,450785,75945,463181,82089,75.2,472720,360461,348158,80151,28584,22436,11281,17527,14225,43413,27915,39868,62758,12304,112259,560303,69147
jissu,nen,実数_平成25年平均,2013,,384,3.37,1.64,47.1,578628,570606,549846,408351,74067,67428,2811,17949,8022,473520,76044,465083,72068,78.2,500147,386602,363721,83196,33120,22869,11908,18206,14311,47836,27464,40441,64369,22881,113545,564863,63181
jissu,nen,実数_平成26年平均,2014,,361,3.35,1.62,48.4,585636,576120,553922,414967,79231,59724,4654,17544,9516,446197,74365,465913,90951,75.8,476753,357031,353261,83860,29430,22907,13005,18629,13153,46330,25194,41353,59400,3770,119723,567144,62301
jissu,nen,実数_平成27年平均,2015,,373,3.31,1.64,48.5,574733,567024,542219,404193,77147,60879,3756,21049,7709,451924,75434,459901,86788,77,478111,363280,354241,86581,28009,22241,11957,18319,13403,42397,30224,40164,60946,9039,114831,556590,67390
jissu,sihan,実数_平成26年10～12月,2014,10～12,362,3.35,1.61,48.8,658106,646732,616122,404245,145030,66847,8778,21832,11374,458549,71693,533462,147413,67,484353,359708,357481,91158,31749,21447,12814,19313,14465,40178,22345,43292,60720,2228,124645,637122,66872
jissu,sihan,実数_平成27年1～3月,2015,1～3,373,3.35,1.64,48.3,504213,493281,470391,405129,8533,56729,5675,17216,10931,475149,77526,407017,22433,89.6,484146,386951,364590,85003,26302,30403,11334,20472,14498,50216,27401,37623,61338,22360,97196,506005,66737
jissu,sihan,実数_平成27年4～6月,2015,4～6,369,3.34,1.68,48.3,622160,614116,583300,405985,113883,63432,3090,27726,8044,495882,73141,484466,94377,77.3,525410,387716,374522,84950,26991,23636,12357,19160,12064,43670,45601,38333,67760,13194,137694,601629,64144
jissu,sihan,実数_平成27年7～9月,2015,7～9,373,3.25,1.61,48.8,513047,509501,495202,404169,38622,52410,3285,11015,3546,414348,73445,412381,62638,80,430691,330026,330026,85726,27612,17768,11535,15016,12709,39434,22126,44864,53235,-,100666,508486,61663
jissu,sihan,実数_平成27年10～12月,2015,10～12,376,3.3,1.61,48.5,659511,651195,619982,401489,147548,70945,2974,28238,8316,422318,77625,535741,167704,64.9,472197,348428,347827,90646,31129,17157,12602,18628,14342,36266,25766,39838,61452,601,123770,610241,77015
jissu,tuki,実数_平成27年2月,2015,2,374,3.33,1.67,48.9,509393,503842,458196,399630,3704,54861,5151,40496,5551,458862,67645,417027,48987,82.2,449079,356714,342866,80747,25069,31565,13583,16522,13474,52386,25820,33595,50105,13848,92366,521619,65202
