項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,575,-,623,-,898,-,1071,-,861,-,835,-,1044,-,4094,-,1924,-
0,0,0,0,0,調査世帯数,729,-,39,-,46,-,66,-,77,-,63,-,63,-,76,-,299,-,142,-
0,0,0,0,0,世帯人員,2.94,-,3.21,-,3.74,-,3.84,-,3.5,-,3.74,-,3.07,-,2.68,-,2.31,-,2.21,-
0,0,0,0,0,有業人員,1.29,-,1.54,-,1.35,-,1.55,-,1.56,-,1.93,-,1.87,-,1.65,-,0.76,-,0.53,-
0,0,0,0,0,世帯主平均年齢,59.2,-,31.5,-,37.1,-,42,-,47,-,52.1,-,57,-,61.9,-,74.8,-,80.5,-
2,2,0,0,0,生計支出,354827,-,315018,-,361916,-,347045,-,429553,-,478702,-,415239,-,350356,-,304275,-,285710,-
2,3,0,0,0,消費支出,354827,100,315018,100,361916,100,347045,100,429553,100,478702,100,415239,100,350356,100,304275,100,285710,100
2,4,1,0,0,食料,99895,28.2,69777,22.2,89117,24.6,96577,27.8,105045,24.5,110676,23.1,108652,26.2,112839,32.2,97795,32.1,93283,32.6
2,5,1,1,0,穀類,7261,2,5238,1.7,6224,1.7,6983,2,7594,1.8,8049,1.7,7653,1.8,7480,2.1,7375,2.4,7181,2.5
2,6,1,1,1,米類,1629,0.5,1181,0.4,847,0.2,1165,0.3,1604,0.4,1846,0.4,1595,0.4,1769,0.5,1846,0.6,2033,0.7
2,6,1,1,2,パン,2805,0.8,2169,0.7,3266,0.9,3288,0.9,3557,0.8,2991,0.6,3435,0.8,2755,0.8,2367,0.8,2122,0.7
2,6,1,1,3,麺類,1581,0.4,1347,0.4,1279,0.4,1614,0.5,1513,0.4,2006,0.4,1463,0.4,1772,0.5,1556,0.5,1388,0.5
2,6,1,1,4,他の穀類,1246,0.4,541,0.2,831,0.2,916,0.3,921,0.2,1206,0.3,1160,0.3,1183,0.3,1607,0.5,1639,0.6
2,5,1,2,0,魚介類,10294,2.9,3807,1.2,4507,1.2,5192,1.5,6772,1.6,10918,2.3,10212,2.5,13026,3.7,13315,4.4,13820,4.8
2,6,1,2,1,生鮮魚介,5662,1.6,2137,0.7,2407,0.7,2990,0.9,4052,0.9,6468,1.4,5670,1.4,7254,2.1,7082,2.3,7378,2.6
2,6,1,2,2,塩干魚介,1491,0.4,738,0.2,760,0.2,749,0.2,912,0.2,1643,0.3,1491,0.4,1553,0.4,1974,0.6,2013,0.7
2,6,1,2,3,魚肉練製品,1510,0.4,472,0.1,495,0.1,529,0.2,814,0.2,1140,0.2,1755,0.4,1807,0.5,2159,0.7,2216,0.8
2,6,1,2,4,他の魚介加工品,1632,0.5,459,0.1,845,0.2,924,0.3,993,0.2,1667,0.3,1296,0.3,2412,0.7,2101,0.7,2213,0.8
2,5,1,3,0,肉類,9081,2.6,6581,2.1,7056,1.9,8307,2.4,9177,2.1,11533,2.4,10230,2.5,10681,3,8727,2.9,7969,2.8
2,6,1,3,1,生鮮肉,7661,2.2,5537,1.8,5625,1.6,6938,2,7720,1.8,9767,2,8598,2.1,9011,2.6,7435,2.4,6798,2.4
