項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
2,6,1,9,2,他の調理食品,6540,1.9,4906,1.6,7577,2.6,5974,1.9,6417,1.6,8248,1.7,8288,1.8,6617,2.2,6065,2,6211,2.1
2,5,1,10,0,飲料,4406,1.3,3692,1.2,5024,1.7,4809,1.6,5132,1.3,5119,1.1,4730,1,4713,1.5,3876,1.3,3975,1.3
2,6,1,10,1,茶類,1124,0.3,844,0.3,1151,0.4,829,0.3,966,0.2,1180,0.2,1280,0.3,1240,0.4,1191,0.4,1301,0.4
2,6,1,10,2,コーヒー・ココア,937,0.3,676,0.2,924,0.3,907,0.3,1246,0.3,1129,0.2,1172,0.3,1081,0.4,791,0.3,618,0.2
2,6,1,10,3,他の飲料,2345,0.7,2172,0.7,2950,1,3073,1,2920,0.7,2810,0.6,2278,0.5,2393,0.8,1894,0.6,2056,0.7
2,5,1,11,0,酒類,3006,0.9,1576,0.5,1749,0.6,2293,0.7,4010,1,3593,0.7,3707,0.8,3762,1.2,2881,0.9,2029,0.7
2,5,1,12,0,外食,17266,5.1,18658,6.1,24325,8.2,23703,7.6,21040,5.3,23284,4.8,20609,4.4,18144,5.9,11599,3.8,8688,2.9
2,6,1,12,1,一般外食,16377,4.8,18275,6,22179,7.5,20643,6.7,17554,4.5,22280,4.6,20609,4.4,18144,5.9,11512,3.8,8688,2.9
2,6,1,12,2,学校給食,889,0.3,384,0.1,2146,0.7,3060,1,3485,0.9,1004,0.2,-,-,-,-,87,0,-,-
2,4,2,0,0,住居,30198,8.8,63234,20.7,37947,12.8,18916,6.1,24559,6.2,35934,7.4,17886,3.8,12422,4.1,33375,11,56718,19.2
