実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
jissu,nen,実数_平成24年平均,2012,,223,2.4,0.4,72.4,189350,184094,18541,8026,10515,6197,159357,154753,5256,159378,272919,73837,22975,22449,9678,8945,18346,23660,3284,31061,58685
jissu,nen,実数_平成25年平均,2013,,238,2.42,0.42,73.2,192310,184314,18617,5420,13198,6886,158810,155120,7996,158608,281130,73278,25174,23374,10359,8865,18574,24016,1158,32610,63723
jissu,nen,実数_平成26年平均,2014,,245,2.39,0.43,73.3,183975,179279,18046,3308,14738,8226,153008,146170,4696,152488,269469,74216,20647,23168,10169,8259,17970,24596,716,32668,57060
jissu,nen,実数_平成27年平均,2015,,237,2.39,0.44,74.1,181141,176763,17846,6148,11698,9890,149027,144132,4379,146876,276745,76515,21571,23275,9805,9034,17496,26249,3175,33255,56370
jissu,sihan,実数_平成27年4～6月,2015,4～6,233,2.39,0.43,74.3,226254,222688,14733,3454,11279,9927,198028,192250,3566,177001,278103,75294,21278,23027,10236,9458,14054,26481,8202,36274,53800
jissu,sihan,実数_平成27年7～9月,2015,7～9,243,2.36,0.43,74.4,149266,144698,18616,6112,12504,14774,111308,104778,4568,120146,261364,76657,16896,19253,9892,9210,18455,21951,1867,29888,57297
jissu,sihan,実数_平成27年10～12月,2015,10～12,237,2.37,0.46,73.9,229240,224371,25246,11613,13633,7585,191540,187067,4869,199639,290048,83421,24769,18394,11605,10579,21279,24474,2567,33856,59105
jissu,sihan,実数_平成28年1～3月,2016,1～3,222,2.37,0.49,74.1,129663,124465,14334,6244,8090,6542,103590,96743,5198,110902,246537,72203,20354,26704,8246,7413,14899,18338,739,28042,49601
jissu,sihan,実数_平成28年4～6月,2016,4～6,238,2.45,0.5,74.2,222735,216338,15130,4749,10381,8585,192624,183039,6396,185080,241205,76629,18203,20599,8030,8077,12710,19721,772,29554,46910
jissu,tuki,実数_平成27年8月,2015,8,236,2.36,0.42,74.2,339103,334965,17523,5646,11877,18871,298571,293967,4138,300075,266045,77376,15320,20357,10926,6641,21801,20328,652,30887,61758
jissu,tuki,実数_平成27年9月,2015,9,246,2.35,0.44,74.7,55357,50749,21201,7766,13435,14069,15480,12497,4608,34994,261160,76206,19530,19066,9149,10183,15083,24146,4803,30072,52922
jissu,tuki,実数_平成27年10月,2015,10,247,2.36,0.46,74.2,314566,311684,19641,8658,10983,6540,285503,281267,2882,281975,279576,77806,17559,17229,11086,11306,19626,22223,6377,37134,59230
jissu,tuki,実数_平成27年11月,2015,11,232,2.38,0.45,73.7,37851,34594,19395,5917,13478,7310,7889,5276,3257,20837,280319,74718,19282,17765,11088,11909,24935,28919,618,34857,56228
jissu,tuki,実数_平成27年12月,2015,12,231,2.36,0.47,73.9,335302,326834,36701,20264,16437,8904,281229,274657,8467,296104,310250,97738,37466,20189,12641,8522,19276,22279,706,29577,61856
jissu,tuki,実数_平成28年1月,2016,1,216,2.34,0.46,74.4,40206,35012,12843,7820,5022,7608,14562,9690,5194,31912,250580,68607,20290,26033,10462,8036,14797,15091,788,26770,59707
jissu,tuki,実数_平成28年2月,2016,2,220,2.39,0.51,74,307940,303334,17013,6463,10550,5910,280411,272573,4606,269704,229334,71285,21678,27148,6135,6793,13169,20112,1077,24513,37424
jissu,tuki,実数_平成28年3月,2016,3,231,2.39,0.5,73.8,40843,35050,13146,4450,8697,6108,15796,7967,5793,31091,259697,76717,19094,26930,8140,7410,16732,19810,352,32842,51671
jissu,tuki,実数_平成28年4月,2016,4,242,2.41,0.51,74.2,304961,298449,14140,5322,8818,8555,275754,267354,6512,279603,235200,74860,13805,25077,7321,7460,12360,16959,1939,28310,47108
jissu,tuki,実数_平成28年5月,2016,5,237,2.46,0.51,74.3,47242,41188,19238,5319,13919,5348,16602,8693,6054,17911,250090,80510,16726,18591,7895,8553,12742,23788,76,32794,48415
jissu,tuki,実数_平成28年6月,2016,6,234,2.49,0.48,74,316001,309378,12011,3606,8405,11851,285516,273071,6623,257725,238324,74517,24078,18130,8874,8217,13027,18416,300,27558,45207
jissu,tuki,実数_平成28年7月,2016,7,241,2.45,0.48,73.6,80606,75041,32175,8266,23909,12524,30341,9582,5565,58417,245638,75531,21605,15072,14204,8524,12452,19535,62,25612,53041
jissu,tuki,実数_平成28年8月,2016,8,247,2.39,0.43,73.9,301854,292982,16112,6711,9401,9642,267228,262959,8872,260341,245835,76766,14996,16910,9993,6152,19934,20223,183,25315,55363
meimoku,nen,対前年（同期・同月）名目増加率_平成24年平均,2012,,-,-,-,-,-2.5,-2.6,18.8,10.6,25.9,-5.4,-4.5,-4.2,1.5,-2.1,3.5,2,23.8,12.1,-4,5,4.3,10.9,83.2,-7,-2.2
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,1.6,0.1,0.4,-32.5,25.5,11.1,-0.3,0.2,52.1,-0.5,3,-0.8,9.6,4.1,7,-0.9,1.2,1.5,-64.7,5,8.6
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,-4.3,-2.7,-3.1,-39,11.7,19.5,-3.7,-5.8,-41.3,-3.9,-4.1,1.3,-18,-0.9,-1.8,-6.8,-3.3,2.4,-38.2,0.2,-10.5
meimoku,nen,対前年（同期・同月）名目増加率_平成27年平均,2015,,-,-,-,-,-1.5,-1.4,-1.1,85.9,-20.6,20.2,-2.6,-1.4,-6.8,-3.7,2.7,3.1,4.5,0.5,-3.6,9.4,-2.6,6.7,343.4,1.8,-1.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年4～6月,2015,4～6,-,-,-,-,1.6,2.2,-25.4,22,-33.3,32,3.9,4.2,-26.1,-2.6,8.1,5,1.5,7,-1.5,-0.2,-9.6,17.5,850.4,2.8,9.6
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年7～9月,2015,7～9,-,-,-,-,7.2,7.4,14.6,84.6,-3.4,69.9,1.4,1,-0.6,9.5,-0.7,4.9,-8,0.8,17,42.3,4.8,-15,237.6,-8.2,-6.4
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年10～12月,2015,10～12,-,-,-,-,-7.7,-8.4,51,359,-3.9,-18.6,-12.5,-10.5,41.6,-6.7,3.6,0.9,13.1,-14.9,7,17.1,-0.4,8.3,235.1,4.6,4.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年1～3月,2016,1～3,-,-,-,-,8.2,8,12.1,83,-13.7,-10.1,8.8,4.7,15.2,22.2,-11.1,2.1,-12.8,-17.6,10.1,7.6,-8,-42.9,...,-15,-10.3
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年4～6月,2016,4～6,-,-,-,-,-1.6,-2.9,2.7,37.5,-8,-13.5,-2.7,-4.8,79.4,4.6,-13.3,1.8,-14.5,-10.5,-21.6,-14.6,-9.6,-25.5,-90.6,-18.5,-12.8
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年8月,2015,8,-,-,-,-,1.8,2.3,2.9,49.2,-10.3,95.2,-0.8,-0.6,-26.4,0.3,5.1,6.3,64.8,0,32.2,11.1,18,-21.9,28.1,-17.6,14.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年9月,2015,9,-,-,-,-,40.1,42.3,40.8,118,16.9,57.6,32.6,55.8,19.5,248.1,3.8,2.3,2.3,-0.1,13.6,94.9,-15.3,2.8,898.5,-0.3,-1.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年10月,2015,10,-,-,-,-,-13.2,-13,46.1,278.7,-1.6,-42.6,-14.4,-14.5,-29.5,-10.3,4,1.9,-32,-13.6,25.9,29.2,-17.6,-2.8,215.5,3.3,33.2
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年11月,2015,11,-,-,-,-,13.6,15.1,34.3,219.5,7.1,-10.2,5.7,-1.9,-0.2,-3.6,11.2,0.4,12.4,-11.1,36.5,29.4,22.3,28.8,198.6,23.9,8.1
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年12月,2015,12,-,-,-,-,-4,-5.6,64.8,486.9,-12.6,5.9,-10.9,-6.2,185.9,-3.3,-2.7,0.5,64.9,-19.1,-19,-6.9,-3,-1,923.2,-10.5,-16.1
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年1月,2016,1,-,-,-,-,40.4,43.6,-0.8,150,-48.9,17,195.5,274.6,21.9,298.1,-12.8,0.7,18.7,-18.6,49.4,-6.8,2,-64.2,...,-12.8,-11
