項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,575,623,898,1071,861,835,1044,4094,1924
0,0,0,0,0,0,0,調査世帯数,729,-,39,46,66,77,63,63,76,299,142
0,0,0,0,0,0,0,世帯人員,2.94,-,3.21,3.74,3.84,3.5,3.74,3.07,2.68,2.31,2.21
0,0,0,0,0,0,0,有業人員,1.29,-,1.54,1.35,1.55,1.56,1.93,1.87,1.65,0.76,0.53
0,0,0,0,0,0,0,世帯主平均年齢,59.2,-,31.5,37.1,42,47,52.1,57,61.9,74.8,80.5
2,2,0,0,0,0,0,生計支出,354827,3.7,315018,361916,347045,429553,478702,415239,350356,304275,285710
2,3,0,0,0,102-981,0,消費支出,354827,3.7,315018,361916,347045,429553,478702,415239,350356,304275,285710
2,4,1,0,0,"102-399,　39A,　39B,　39X,　39Y",0,食料,110265,-1.9,73166,94597,102168,109608,118476,121309,122446,112725,108587
2,5,1,1,0,102-160,0,穀類,7538,-13.8,5386,6244,7017,7642,8269,7691,7997,7823,7869
2,6,1,1,1,102,0,米類,1710,-27.8,1181,847,1199,1604,2051,1595,1883,1964,2284
2,7,1,1,1,102,102,米,1710,-27.8,1181,847,1199,1604,2051,1595,1883,1964,2284
2,6,1,1,2,"120,　129",0,パン,2842,-1.9,2301,3286,3288,3604,2997,3473,2755,2414,2158
2,7,1,1,2,"120,　129",120,食パン,815,-1.9,566,795,757,1007,643,673,821,880,809
2,7,1,1,2,"120,　129",129,他のパン,2027,-1.8,1735,2491,2530,2597,2354,2799,1934,1534,1349
2,6,1,1,3,130-139,0,麺類,1694,-12.5,1362,1279,1614,1513,2015,1463,2176,1725,1546
2,7,1,1,3,130-139,130,生うどん・そば,432,2.1,316,318,301,297,671,337,461,493,409
2,7,1,1,3,130-139,131,乾うどん・そば,230,-31.8,52,35,78,71,117,155,534,321,313
2,7,1,1,3,130-139,134,スパゲッティ,118,-21.9,192,125,190,149,175,88,106,79,82
2,7,1,1,3,130-139,133,中華麺,310,-12.4,297,320,370,248,385,249,387,290,300
2,7,1,1,3,130-139,135,カップ麺,332,-8,164,270,417,393,412,361,441,280,256
2,7,1,1,3,130-139,132,即席麺,168,-12,221,136,135,242,118,173,152,166,128
2,7,1,1,3,130-139,139,他の麺類,104,-11.1,121,77,123,112,137,100,94,95,57
2,6,1,1,4,140-160,0,他の穀類,1292,-16.4,541,831,916,921,1206,1160,1183,1720,1881
2,7,1,1,4,140-160,140,小麦粉,61,-7.6,44,18,80,79,36,52,92,60,61
2,7,1,1,4,140-160,150,もち,965,-22.2,263,417,398,536,859,806,853,1468,1649
2,7,1,1,4,140-160,160,他の穀類のその他,266,11.3,234,396,438,306,311,302,238,193,170
2,5,1,2,0,170-217,0,魚介類,11352,-7.3,3847,4553,5258,6833,11929,12172,13806,15045,15774
2,6,1,2,1,170-194,0,生鮮魚介,6064,-8.7,2178,2453,3053,4052,7310,6621,7423,7625,8060
2,7,1,2,1,170-189,0,鮮魚,5540,-8.8,1936,2315,2787,3696,6779,6144,6675,6951,7268
2,7,1,2,1,170-189,170,まぐろ,1098,-12.2,236,368,339,566,1111,875,1421,1596,1970
2,7,1,2,1,170-189,172,あじ,96,-16.5,77,32,32,116,89,50,154,113,118
2,7,1,2,1,170-189,173,いわし,32,-3,-,-,8,13,69,9,33,49,47
2,7,1,2,1,170-189,174,かつお,44,0,18,23,7,16,65,25,49,65,55
2,7,1,2,1,170-189,175,かれい,121,19.8,102,20,57,32,181,51,146,172,180
2,7,1,2,1,170-189,176,さけ,376,-18.6,197,214,339,295,350,369,361,465,410
2,7,1,2,1,170-189,177,さば,79,-18.6,47,28,65,103,96,82,76,86,81
2,7,1,2,1,170-189,178,さんま,24,-14.3,-,28,9,25,25,18,26,30,25
2,7,1,2,1,170-189,180,たい,112,-10.4,39,-,8,98,79,221,130,145,155
2,7,1,2,1,170-189,181,ぶり,432,9.4,287,309,374,310,322,450,602,491,440
2,7,1,2,1,170-189,182,いか,121,-23.9,16,26,33,111,85,71,200,170,175
2,7,1,2,1,170-189,183,たこ,233,-7.5,38,84,133,185,403,101,334,283,262
2,7,1,2,1,170-189,185,えび,422,-32.8,274,131,172,272,595,563,626,464,432
2,7,1,2,1,170-189,186,かに,890,-4.6,-,32,181,417,1427,1728,1032,1105,1029
2,7,1,2,1,170-189,189,他の鮮魚,848,10.4,322,863,632,546,1223,963,748,970,1076
2,7,1,2,1,170-189,187,さしみ盛合わせ,612,-10,284,156,398,592,660,568,737,748,814
2,7,1,2,1,190-194,0,貝類,524,-8.4,242,138,266,356,531,477,748,674,792
2,7,1,2,1,190-194,190,あさり,65,-9.7,56,28,73,52,89,45,93,66,89
2,7,1,2,1,190-194,192,しじみ,40,-2.4,18,4,20,20,16,12,20,74,90
2,7,1,2,1,190-194,191,かき(貝),226,-0.9,62,100,119,128,205,212,309,304,332
2,7,1,2,1,190-194,194,ほたて貝,142,-12.3,69,3,48,73,162,142,299,167,195
2,7,1,2,1,190-194,193,他の貝,50,-28.6,37,3,6,83,59,65,27,62,86
2,6,1,2,2,195-202,0,塩干魚介,1738,-7.4,738,760,749,973,1812,2291,1634,2342,2354
2,7,1,2,2,195-202,195,塩さけ,319,-0.9,79,75,57,43,224,794,178,478,502
2,7,1,2,2,195-202,196,たらこ,227,-11,15,108,64,99,322,407,224,289,261
2,7,1,2,2,195-202,197,しらす干し,145,0.7,103,148,123,83,107,160,143,176,207
2,7,1,2,2,195-202,198,干しあじ,77,-8.3,2,18,16,54,127,27,91,111,115
2,7,1,2,2,195-202,202,他の塩干魚介,970,-9.5,539,411,489,693,1031,904,998,1287,1269
2,6,1,2,3,203-209,0,魚肉練製品,1654,-10.7,472,495,529,814,1140,1755,1846,2501,2419
2,7,1,2,3,203-209,203,揚げかまぼこ,185,-27.7,40,56,72,98,141,172,240,271,212
2,7,1,2,3,203-209,204,ちくわ,93,-14.7,43,41,42,79,91,95,129,115,107
2,7,1,2,3,203-209,205,かまぼこ,908,-6.1,233,278,216,415,591,972,902,1436,1419
2,7,1,2,3,203-209,209,他の魚肉練製品,467,-10.2,156,120,199,223,317,516,575,680,681
2,6,1,2,4,210-217,0,他の魚介加工品,1896,1.3,459,845,927,993,1667,1506,2904,2577,2940
2,7,1,2,4,210-217,210,かつお節・削り節,104,-13.3,41,40,59,67,156,67,150,127,130
2,7,1,2,4,210-217,213,魚介の漬物,900,-1.5,176,243,270,334,549,692,1242,1416,1629
2,7,1,2,4,210-217,215,魚介のつくだ煮,246,29.5,24,49,15,60,126,182,490,383,555
2,7,1,2,4,210-217,216,魚介の缶詰,243,-19.5,117,243,201,185,207,194,373,271,232
2,7,1,2,4,210-217,217,他の魚介加工品のその他,403,16.1,103,271,383,347,630,371,649,381,394
2,5,1,3,0,"220-229,　22X",0,肉類,9573,-4.2,7355,7202,8467,9177,11873,10511,11238,9492,8714
2,6,1,3,1,"220-224,　22X",0,生鮮肉,7883,-0.4,6307,5625,7053,7720,9978,8764,9175,7723,7208
2,7,1,3,1,"220-224,　22X",220,牛肉,2971,2.1,2208,1585,2319,2016,3455,3226,3915,3288,3094
2,7,1,3,1,"220-224,　22X",221,豚肉,2759,-1.9,2418,2172,2945,2839,3734,3390,2811,2488,2384
2,7,1,3,1,"220-224,　22X",222,鶏肉,1740,-3.4,1281,1521,1446,2221,2328,1832,1969,1577,1432
2,7,1,3,1,"220-224,　22X",22X,合いびき肉,196,22.5,299,285,244,244,297,112,202,139,85
2,7,1,3,1,"220-224,　22X",224,他の生鮮肉,216,-8.1,101,62,98,400,163,203,278,231,213
2,6,1,3,2,225-229,0,加工肉,1690,-18.5,1049,1577,1414,1456,1895,1747,2062,1769,1505
2,7,1,3,2,225-229,225,ハム,701,-28.2,296,451,434,441,488,625,834,948,824
2,7,1,3,2,225-229,226,ソーセージ,576,-16.3,515,640,673,610,655,627,607,509,411
2,7,1,3,2,225-229,227,ベーコン,224,1.8,112,160,227,273,339,280,381,159,134
2,7,1,3,2,225-229,229,他の加工肉,190,0.5,125,325,79,132,413,215,240,154,137
2,5,1,4,0,230-238,0,乳卵類,4635,2.3,3662,3759,4702,4686,4911,4841,4626,4779,4814
2,6,1,4,1,230,0,牛乳,1372,-7.3,1070,850,1323,1368,1058,1443,1182,1606,1778
2,6,1,4,2,231-235,0,乳製品,2446,11.7,1991,2163,2662,2450,2763,2592,2524,2388,2303
2,7,1,4,2,231-235,231,粉ミルク,70,-32.7,412,430,83,59,-,-,-,14,19
2,7,1,4,2,231-235,232,ヨーグルト,1375,15.2,901,782,1240,1219,1516,1378,1535,1531,1522
2,7,1,4,2,231-235,233,バター,155,9.9,140,183,171,161,105,198,173,144,140
2,7,1,4,2,231-235,234,チーズ,742,12.1,464,645,1049,830,1006,920,728,616,542
2,7,1,4,2,231-235,235,他の乳製品,105,19.3,74,123,120,181,136,95,88,83,79
2,6,1,4,3,238,0,卵,817,-5.1,601,746,717,868,1091,806,921,784,734
2,5,1,5,0,"240-299,　26B,　26X",0,野菜・海藻,12197,1,6967,7938,9543,9162,12459,13127,13524,14372,15065
2,6,1,5,1,"240-269,　26B,　26X",0,生鮮野菜,8040,7.4,5058,5721,6555,6574,8511,8192,8946,9160,9332
2,7,1,5,1,240-249,0,葉茎菜,2782,12.3,1938,1909,2220,2421,3033,2793,3315,3059,3067
2,7,1,5,1,240-249,240,キャベツ,284,41.3,170,189,221,261,337,273,308,318,310
2,7,1,5,1,240-249,241,ほうれんそう,291,9.8,224,206,205,280,299,290,300,331,354
2,7,1,5,1,240-249,242,はくさい,261,50,215,182,193,255,276,242,277,294,307
2,7,1,5,1,240-249,243,ねぎ,431,5.1,288,231,336,405,432,415,551,481,455
2,7,1,5,1,240-249,244,レタス,278,24.1,179,179,225,230,309,353,279,308,354
2,7,1,5,1,240-249,247,ブロッコリー,302,14,199,243,288,257,335,343,326,319,312
2,7,1,5,1,240-249,245,もやし,78,1.3,78,69,59,79,104,66,87,79,70
2,7,1,5,1,240-249,249,他の葉茎菜,857,-0.6,585,610,693,655,942,811,1186,930,905
2,7,1,5,1,"250-259,　25X",0,根菜,2315,2.5,1406,1610,1835,1703,2363,2106,2628,2768,2868
2,7,1,5,1,"250-259,　25X",250,さつまいも,135,-2.2,100,103,95,92,128,166,68,178,209
2,7,1,5,1,"250-259,　25X",251,じゃがいも,232,5.9,209,185,263,257,285,216,262,214,206
2,7,1,5,1,"250-259,　25X",252,さといも,204,-19,46,65,94,90,146,180,212,316,327
2,7,1,5,1,"250-259,　25X",253,だいこん,254,28.3,127,116,200,163,264,230,279,325,338
2,7,1,5,1,"250-259,　25X",254,にんじん,320,25,306,295,363,274,399,266,330,320,346
2,7,1,5,1,"250-259,　25X",255,ごぼう,140,-17.6,38,71,58,95,108,161,182,187,184
2,7,1,5,1,"250-259,　25X",256,たまねぎ,263,5.2,185,233,287,257,313,233,301,261,248
2,7,1,5,1,"250-259,　25X",258,れんこん,216,0,73,168,129,171,194,213,277,263,282
