項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,729,-,-,101,-,103,-,107,-,103,-,108,-,105,-,102,-
0,0,0,0,0,世帯人員,2.94,-,-,2.63,-,2.78,-,2.94,-,2.75,-,3.13,-,3.1,-,3.27,-
0,0,0,0,0,有業人員,1.29,-,-,1.05,-,1.13,-,1.12,-,1.19,-,1.61,-,1.47,-,1.43,-
0,0,0,0,0,世帯主平均年齢,59.2,-,-,64.1,-,62,-,59.4,-,60.2,-,56.9,-,56.4,-,55.6,-
2,2,0,0,0,生計支出,354827,-,3.7,114437,-,199649,-,253925,-,300586,-,360367,-,451470,-,797695,-
2,3,0,0,0,消費支出,354827,100,3.7,114437,100,199649,100,253925,100,300586,100,360367,100,451470,100,797695,100
2,4,1,0,0,食料,99895,28.2,-1.7,57010,49.8,81486,40.8,87882,34.6,100434,33.4,108767,30.2,120273,26.6,142924,17.9
2,5,1,1,0,穀類,7261,2,-11.1,5748,5,6188,3.1,6505,2.6,7005,2.3,8146,2.3,8005,1.8,9213,1.2
2,6,1,1,1,米類,1629,0.5,-22.3,1458,1.3,1510,0.8,1555,0.6,1443,0.5,2021,0.6,1700,0.4,1722,0.2
2,6,1,1,2,パン,2805,0.8,-1.6,2055,1.8,2180,1.1,2372,0.9,2798,0.9,3031,0.8,3256,0.7,3930,0.5
2,6,1,1,3,麺類,1581,0.4,-9.9,1349,1.2,1230,0.6,1563,0.6,1513,0.5,1779,0.5,1632,0.4,1996,0.3
2,6,1,1,4,他の穀類,1246,0.4,-15.2,887,0.8,1268,0.6,1016,0.4,1251,0.4,1314,0.4,1417,0.3,1565,0.2
2,5,1,2,0,魚介類,10294,2.9,-8.1,6329,5.5,10179,5.1,10345,4.1,10409,3.5,11276,3.1,11408,2.5,12096,1.5
2,6,1,2,1,生鮮魚介,5662,1.6,-9.3,3120,2.7,5637,2.8,5583,2.2,5586,1.9,6418,1.8,6209,1.4,7068,0.9
2,6,1,2,2,塩干魚介,1491,0.4,-9.2,1144,1,1678,0.8,1488,0.6,1255,0.4,1313,0.4,1972,0.4,1583,0.2
2,6,1,2,3,魚肉練製品,1510,0.4,-11.4,1184,1,1424,0.7,1493,0.6,1759,0.6,1500,0.4,1644,0.4,1561,0.2
2,6,1,2,4,他の魚介加工品,1632,0.5,1.2,881,0.8,1440,0.7,1781,0.7,1809,0.6,2045,0.6,1583,0.4,1885,0.2
2,5,1,3,0,肉類,9081,2.6,-2.1,5075,4.4,8769,4.4,8295,3.3,8868,3,9982,2.8,10914,2.4,11643,1.5
2,6,1,3,1,生鮮肉,7661,2.2,-1,4058,3.5,7631,3.8,7014,2.8,7380,2.5,8337,2.3,9329,2.1,9861,1.2
2,6,1,3,2,加工肉,1420,0.4,-7.8,1017,0.9,1138,0.6,1281,0.5,1488,0.5,1645,0.5,1585,0.4,1783,0.2
2,5,1,4,0,乳卵類,4599,1.3,1.8,3133,2.7,4284,2.1,4077,1.6,4456,1.5,4623,1.3,5500,1.2,6106,0.8
2,6,1,4,1,牛乳,1372,0.4,-7.2,844,0.7,1536,0.8,1182,0.5,1269,0.4,1493,0.4,1426,0.3,1854,0.2
2,6,1,4,2,乳製品,2424,0.7,11.2,1678,1.5,2039,1,2144,0.8,2491,0.8,2262,0.6,3186,0.7,3156,0.4
2,6,1,4,3,卵,803,0.2,-6.5,610,0.5,710,0.4,751,0.3,696,0.2,867,0.2,888,0.2,1096,0.1
2,5,1,5,0,野菜・海藻,11754,3.3,3.2,8287,7.2,11277,5.6,10791,4.2,11473,3.8,12761,3.5,13739,3,13938,1.7
2,6,1,5,1,生鮮野菜,8033,2.3,8,5707,5,7939,4,7379,2.9,7729,2.6,8409,2.3,9280,2.1,9773,1.2
2,6,1,5,2,乾物・海藻,1062,0.3,-9.5,761,0.7,889,0.4,956,0.4,1105,0.4,1183,0.3,1336,0.3,1203,0.2
2,6,1,5,3,大豆加工品,1160,0.3,-8.4,857,0.7,1159,0.6,971,0.4,1026,0.3,1393,0.4,1424,0.3,1294,0.2
