実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,nen,実数_平成24年平均,2012,,394,3.29,1.59,48,575440,565795,539670,407466,70608,61596,4119,22006,9645,450785,75945,463181,82089,75.2,472720,360461,348158,80151,28584,22436,11281,17527,14225,43413,27915,39868,62758,12304,112259,560303,69147
jissu,nen,実数_平成25年平均,2013,,384,3.37,1.64,47.1,578628,570606,549846,408351,74067,67428,2811,17949,8022,473520,76044,465083,72068,78.2,500147,386602,363721,83196,33120,22869,11908,18206,14311,47836,27464,40441,64369,22881,113545,564863,63181
jissu,nen,実数_平成26年平均,2014,,361,3.35,1.62,48.4,585636,576120,553922,414967,79231,59724,4654,17544,9516,446197,74365,465913,90951,75.8,476753,357031,353261,83860,29430,22907,13005,18629,13153,46330,25194,41353,59400,3770,119723,567144,62301
jissu,nen,実数_平成27年平均,2015,,373,3.31,1.64,48.5,574733,567024,542219,404193,77147,60879,3756,21049,7709,451924,75434,459901,86788,77,478111,363280,354241,86581,28009,22241,11957,18319,13403,42397,30224,40164,60946,9039,114831,556590,67390
jissu,sihan,実数_平成27年7～9月,2015,7～9,373,3.25,1.61,48.8,513047,509501,495202,404169,38622,52410,3285,11015,3546,414348,73445,412381,62638,80,430691,330026,330026,85726,27612,17768,11535,15016,12709,39434,22126,44864,53235,-,100666,508486,61663
jissu,sihan,実数_平成27年10～12月,2015,10～12,376,3.3,1.61,48.5,659511,651195,619982,401489,147548,70945,2974,28238,8316,422318,77625,535741,167704,64.9,472197,348428,347827,90646,31129,17157,12602,18628,14342,36266,25766,39838,61452,601,123770,610241,77015
jissu,sihan,実数_平成28年1～3月,2016,1～3,367,3.4,1.67,48.1,505638,499130,479677,400820,13122,65735,3931,15522,6508,431265,108375,403909,36517,89,461336,359608,359608,86964,24618,25221,11382,17896,13087,39028,38876,41175,61362,-,101729,488098,95843
jissu,sihan,実数_平成28年4～6月,2016,4～6,368,3.37,1.7,48.3,645760,642965,610620,417928,98760,93933,5255,27090,2795,465002,88820,501806,123747,71.9,505868,361914,360702,87652,25459,19704,11514,19318,13117,38036,40202,39677,66024,1212,143954,614021,79693
jissu,sihan,実数_平成28年7～9月,2016,7～9,365,3.38,1.69,48.5,572862,568023,547678,409506,58597,79576,5096,15249,4839,420288,110800,461305,104345,74.7,462168,350611,344574,87561,26053,16136,12776,14819,13658,39838,30071,43267,60396,6037,111557,540871,100912
jissu,tuki,実数_平成27年9月,2015,9,376,3.25,1.6,48.9,450322,447339,443790,392523,5468,45799,2250,1299,2983,399954,69413,362518,27860,89.4,411989,324185,324185,82508,26542,17442,9454,15725,15479,42576,30554,36117,47788,-,87804,450862,56838
