実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,nen,実数_平成24年平均,2012,,394,3.29,1.59,48,575440,565795,539670,407466,70608,61596,4119,22006,9645,450785,75945,463181,82089,75.2,472720,360461,348158,80151,28584,22436,11281,17527,14225,43413,27915,39868,62758,12304,112259,560303,69147
jissu,nen,実数_平成25年平均,2013,,384,3.37,1.64,47.1,578628,570606,549846,408351,74067,67428,2811,17949,8022,473520,76044,465083,72068,78.2,500147,386602,363721,83196,33120,22869,11908,18206,14311,47836,27464,40441,64369,22881,113545,564863,63181
jissu,nen,実数_平成26年平均,2014,,361,3.35,1.62,48.4,585636,576120,553922,414967,79231,59724,4654,17544,9516,446197,74365,465913,90951,75.8,476753,357031,353261,83860,29430,22907,13005,18629,13153,46330,25194,41353,59400,3770,119723,567144,62301
jissu,nen,実数_平成27年平均,2015,,373,3.31,1.64,48.5,574733,567024,542219,404193,77147,60879,3756,21049,7709,451924,75434,459901,86788,77,478111,363280,354241,86581,28009,22241,11957,18319,13403,42397,30224,40164,60946,9039,114831,556590,67390
jissu,sihan,実数_平成27年7～9月,2015,7～9,373,3.25,1.61,48.8,513047,509501,495202,404169,38622,52410,3285,11015,3546,414348,73445,412381,62638,80,430691,330026,330026,85726,27612,17768,11535,15016,12709,39434,22126,44864,53235,-,100666,508486,61663
jissu,sihan,実数_平成27年10～12月,2015,10～12,376,3.3,1.61,48.5,659511,651195,619982,401489,147548,70945,2974,28238,8316,422318,77625,535741,167704,64.9,472197,348428,347827,90646,31129,17157,12602,18628,14342,36266,25766,39838,61452,601,123770,610241,77015
jissu,sihan,実数_平成28年1～3月,2016,1～3,367,3.4,1.67,48.1,505638,499130,479677,"400,820","13,122","65,735","3,931","15,522","6,508","431,265","108,375","403,909","36,517",89,"461,336","359,608",359608,"86,964","24,618","25,221","11,382","17,896","13,087","39,028","38,876","41,175","61,362",-,"101,729","488,098","95,843"
jissu,sihan,実数_平成28年4～6月,2016,4～6,368,3.37,1.7,48.3,645760,642965,610620,"417,928","98,760","93,933","5,255","27,090","2,795","465,002","88,820","501,806","123,747",71.9,"505,868","361,914",360702,"87,652","25,459","19,704","11,514","19,318","13,117","38,036","40,202","39,677","66,024","1,212","143,954","614,021","79,693"
jissu,sihan,実数_平成28年7～9月,2016,7～9,365,3.38,1.69,48.5,572862,568023,547678,"409,506","58,597","79,576","5,096","15,249","4,839","420,288","110,800","461,305","104,345",74.7,"462,168","350,611",344574,"87,561","26,053","16,136","12,776","14,819","13,658","39,838","30,071","43,267","60,396","6,037","111,557","540,871","100,912"
jissu,tuki,実数_平成27年10月,2015,10,377,3.28,1.6,48.4,518855,517011,465293,"404,272","8,102","52,919","2,707","49,010","1,845","410,548","69,264","426,599","73,533",78.8,"428,339","336,083",336083,"84,723","23,946","16,886","11,992","18,775","12,720","35,765","28,670","35,690","66,915",-,"92,257","511,522","58,806"
