項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,590,646,912,1040,887,825,950,4149,1990
0,0,0,0,0,0,0,調査世帯数,742,-,42,49,65,79,66,62,70,309,149
0,0,0,0,0,0,0,世帯人員,2.95,-,3.16,3.74,3.88,3.56,3.59,3.02,2.63,2.36,2.3
0,0,0,0,0,0,0,有業人員,1.27,-,1.61,1.43,1.59,1.54,1.8,1.72,1.61,0.77,0.6
0,0,0,0,0,0,0,世帯主平均年齢,59.1,-,31.2,37.1,42.1,46.9,52,56.8,61.9,74.6,80.3
2,2,0,0,0,0,0,生計支出,315597,-0.1,331652,303458,316566,363330,391488,379671,313913,274443,246268
2,3,0,0,0,102-981,0,消費支出,312783,-0.7,331652,303458,314367,363330,391488,347982,313913,274443,246268
2,4,1,0,0,"102-399,　39A,　39B,　39X,　39Y",0,食料,86118,-0.9,70325,74062,87978,97120,92725,91749,85933,84585,81402
2,5,1,1,0,102-160,0,穀類,5928,-7.8,4865,5658,6097,6999,6990,6108,5690,5608,5843
2,6,1,1,1,102,0,米類,1540,-8.4,926,1166,1536,1793,2117,1442,1534,1520,1826
2,7,1,1,1,102,102,米,1540,-8.4,926,1166,1536,1793,2117,1442,1534,1520,1826
2,6,1,1,2,"120,　129",0,パン,2658,-6.1,2558,2790,2755,3272,3086,2864,2576,2362,2213
2,7,1,1,2,"120,　129",120,食パン,806,-2.3,608,862,793,1012,741,680,817,813,804
2,7,1,1,2,"120,　129",129,他のパン,1852,-7.6,1950,1928,1963,2260,2346,2184,1759,1549,1409
2,6,1,1,3,130-139,0,麺類,1244,-14.2,1014,1246,1333,1305,1262,1103,1264,1262,1260
2,7,1,1,3,130-139,130,生うどん・そば,284,-8.7,225,210,222,291,307,256,290,315,302
2,7,1,1,3,130-139,131,乾うどん・そば,128,0.8,22,98,43,47,69,103,130,205,285
2,7,1,1,3,130-139,134,スパゲッティ,100,-26.5,84,169,137,165,136,90,115,59,51
2,7,1,1,3,130-139,133,中華麺,258,-25.6,238,252,295,296,334,234,240,236,228
2,7,1,1,3,130-139,135,カップ麺,249,-12.3,202,270,379,252,179,213,303,234,215
2,7,1,1,3,130-139,132,即席麺,132,-10.2,158,131,124,156,79,128,97,145,123
2,7,1,1,3,130-139,139,他の麺類,92,-7.1,85,115,135,99,159,80,87,68,55
2,6,1,1,4,140-160,0,他の穀類,486,3.2,366,457,472,628,524,700,316,464,543
2,7,1,1,4,140-160,140,小麦粉,43,-18.9,47,53,52,53,11,25,50,46,45
2,7,1,1,4,140-160,150,もち,169,-7.1,51,80,146,250,138,158,169,193,244
2,7,1,1,4,140-160,160,他の穀類のその他,274,15.6,268,324,274,326,375,516,97,225,255
2,5,1,2,0,170-217,0,魚介類,6754,-2.8,3083,3420,4258,5582,6278,6886,8097,8405,8661
2,6,1,2,1,170-194,0,生鮮魚介,3901,-4,1809,1991,2504,3403,3933,3868,4580,4772,4734
2,7,1,2,1,170-189,0,鮮魚,3487,-2.2,1730,1891,2301,3168,3545,3376,4017,4216,4186
2,7,1,2,1,170-189,170,まぐろ,626,-1.4,251,188,403,585,608,629,690,796,821
2,7,1,2,1,170-189,172,あじ,100,-20,53,39,26,77,105,127,112,130,138
2,7,1,2,1,170-189,173,いわし,26,44.4,6,-,8,-,18,24,43,42,41
2,7,1,2,1,170-189,174,かつお,71,26.8,-,30,14,65,75,52,108,96,69
2,7,1,2,1,170-189,175,かれい,123,29.5,37,17,54,49,93,97,155,191,240
