日付,種別,区分,販売方法,種類1,種類2,卸売頭数
2021-04-01,牛,生体,,和牛,おす,
2021-04-01,牛,生体,,和牛,めす,47
2021-04-01,牛,生体,,和牛,去勢,196
2021-04-01,牛,生体,,交雑,おす,
2021-04-01,牛,生体,,交雑,めす,32
2021-04-01,牛,生体,,交雑,去勢,45
2021-04-01,牛,生体,,乳牛用,おす,
2021-04-01,牛,生体,,乳牛用,めす,
2021-04-01,牛,生体,,乳牛用,去勢,
2021-04-01,牛,搬入枝肉,,和牛,おす,
2021-04-01,牛,搬入枝肉,,和牛,めす,8
2021-04-01,牛,搬入枝肉,,和牛,去勢,9
2021-04-01,牛,搬入枝肉,,交雑,おす,
2021-04-01,牛,搬入枝肉,,交雑,めす,25
2021-04-01,牛,搬入枝肉,,交雑,去勢,40
2021-04-01,牛,搬入枝肉,,乳牛用,おす,
2021-04-01,牛,搬入枝肉,,乳牛用,めす,16
2021-04-01,牛,搬入枝肉,,乳牛用,去勢,
2021-04-01,豚,生体,せり,極上,,1
2021-04-01,豚,生体,せり,上,,175
2021-04-01,豚,生体,せり,中,,265
2021-04-01,豚,生体,せり,並,,107
2021-04-01,豚,生体,せり,等外,,90
2021-04-01,豚,生体,相対,極上,,
2021-04-01,豚,生体,相対,上,,
2021-04-01,豚,生体,相対,中,,
2021-04-01,豚,生体,相対,並,,
2021-04-01,豚,生体,相対,等外,,
2021-04-01,豚,搬入枝肉,せり,極上,,
2021-04-01,豚,搬入枝肉,せり,上,,
2021-04-01,豚,搬入枝肉,せり,中,,
2021-04-01,豚,搬入枝肉,せり,並,,
2021-04-01,豚,搬入枝肉,せり,等外,,
2021-04-01,豚,搬入枝肉,相対,極上,,
2021-04-01,豚,搬入枝肉,相対,上,,
2021-04-01,豚,搬入枝肉,相対,中,,
2021-04-01,豚,搬入枝肉,相対,並,,
2021-04-01,豚,搬入枝肉,相対,等外,,
2021-04-02,牛,生体,,和牛,おす,
2021-04-02,牛,生体,,和牛,めす,29
2021-04-02,牛,生体,,和牛,去勢,169
2021-04-02,牛,生体,,交雑,おす,
2021-04-02,牛,生体,,交雑,めす,15
2021-04-02,牛,生体,,交雑,去勢,22
2021-04-02,牛,生体,,乳牛用,おす,
2021-04-02,牛,生体,,乳牛用,めす,
2021-04-02,牛,生体,,乳牛用,去勢,4
2021-04-02,牛,搬入枝肉,,和牛,おす,
2021-04-02,牛,搬入枝肉,,和牛,めす,61
2021-04-02,牛,搬入枝肉,,和牛,去勢,16
2021-04-02,牛,搬入枝肉,,交雑,おす,
2021-04-02,牛,搬入枝肉,,交雑,めす,4
2021-04-02,牛,搬入枝肉,,交雑,去勢,1
2021-04-02,牛,搬入枝肉,,乳牛用,おす,
2021-04-02,牛,搬入枝肉,,乳牛用,めす,22
2021-04-02,牛,搬入枝肉,,乳牛用,去勢,
2021-04-02,豚,生体,せり,極上,,3
2021-04-02,豚,生体,せり,上,,218
2021-04-02,豚,生体,せり,中,,366
2021-04-02,豚,生体,せり,並,,261
2021-04-02,豚,生体,せり,等外,,39
2021-04-02,豚,生体,相対,極上,,
2021-04-02,豚,生体,相対,上,,
2021-04-02,豚,生体,相対,中,,
2021-04-02,豚,生体,相対,並,,
2021-04-02,豚,生体,相対,等外,,
2021-04-02,豚,搬入枝肉,せり,極上,,
2021-04-02,豚,搬入枝肉,せり,上,,
2021-04-02,豚,搬入枝肉,せり,中,,
2021-04-02,豚,搬入枝肉,せり,並,,
2021-04-02,豚,搬入枝肉,せり,等外,,
2021-04-02,豚,搬入枝肉,相対,極上,,
2021-04-02,豚,搬入枝肉,相対,上,,4
2021-04-02,豚,搬入枝肉,相対,中,,
2021-04-02,豚,搬入枝肉,相対,並,,
2021-04-02,豚,搬入枝肉,相対,等外,,
2021-04-05,牛,生体,,和牛,おす,
2021-04-05,牛,生体,,和牛,めす,206
2021-04-05,牛,生体,,和牛,去勢,68
2021-04-05,牛,生体,,交雑,おす,
2021-04-05,牛,生体,,交雑,めす,51
2021-04-05,牛,生体,,交雑,去勢,9
2021-04-05,牛,生体,,乳牛用,おす,
2021-04-05,牛,生体,,乳牛用,めす,
2021-04-05,牛,生体,,乳牛用,去勢,
2021-04-05,牛,搬入枝肉,,和牛,おす,
2021-04-05,牛,搬入枝肉,,和牛,めす,17
2021-04-05,牛,搬入枝肉,,和牛,去勢,11
2021-04-05,牛,搬入枝肉,,交雑,おす,
2021-04-05,牛,搬入枝肉,,交雑,めす,36
2021-04-05,牛,搬入枝肉,,交雑,去勢,1
2021-04-05,牛,搬入枝肉,,乳牛用,おす,
2021-04-05,牛,搬入枝肉,,乳牛用,めす,11
2021-04-05,牛,搬入枝肉,,乳牛用,去勢,4
2021-04-05,豚,生体,せり,極上,,4
2021-04-05,豚,生体,せり,上,,162
2021-04-05,豚,生体,せり,中,,251
2021-04-05,豚,生体,せり,並,,213
2021-04-05,豚,生体,せり,等外,,119
2021-04-05,豚,生体,相対,極上,,
2021-04-05,豚,生体,相対,上,,
2021-04-05,豚,生体,相対,中,,
2021-04-05,豚,生体,相対,並,,
2021-04-05,豚,生体,相対,等外,,
2021-04-05,豚,搬入枝肉,せり,極上,,
2021-04-05,豚,搬入枝肉,せり,上,,
2021-04-05,豚,搬入枝肉,せり,中,,
2021-04-05,豚,搬入枝肉,せり,並,,
2021-04-05,豚,搬入枝肉,せり,等外,,
2021-04-05,豚,搬入枝肉,相対,極上,,
2021-04-05,豚,搬入枝肉,相対,上,,
2021-04-05,豚,搬入枝肉,相対,中,,
2021-04-05,豚,搬入枝肉,相対,並,,1
2021-04-05,豚,搬入枝肉,相対,等外,,
2021-04-06,牛,生体,,和牛,おす,
2021-04-06,牛,生体,,和牛,めす,74
2021-04-06,牛,生体,,和牛,去勢,137
2021-04-06,牛,生体,,交雑,おす,
2021-04-06,牛,生体,,交雑,めす,33
2021-04-06,牛,生体,,交雑,去勢,73
2021-04-06,牛,生体,,乳牛用,おす,
2021-04-06,牛,生体,,乳牛用,めす,
2021-04-06,牛,生体,,乳牛用,去勢,
2021-04-06,牛,搬入枝肉,,和牛,おす,2
2021-04-06,牛,搬入枝肉,,和牛,めす,33
2021-04-06,牛,搬入枝肉,,和牛,去勢,9
2021-04-06,牛,搬入枝肉,,交雑,おす,
2021-04-06,牛,搬入枝肉,,交雑,めす,1
2021-04-06,牛,搬入枝肉,,交雑,去勢,3
2021-04-06,牛,搬入枝肉,,乳牛用,おす,
2021-04-06,牛,搬入枝肉,,乳牛用,めす,11
2021-04-06,牛,搬入枝肉,,乳牛用,去勢,3
2021-04-06,豚,生体,せり,極上,,7
2021-04-06,豚,生体,せり,上,,309
2021-04-06,豚,生体,せり,中,,308
2021-04-06,豚,生体,せり,並,,194
2021-04-06,豚,生体,せり,等外,,31
2021-04-06,豚,生体,相対,極上,,
2021-04-06,豚,生体,相対,上,,
2021-04-06,豚,生体,相対,中,,
2021-04-06,豚,生体,相対,並,,
2021-04-06,豚,生体,相対,等外,,
2021-04-06,豚,搬入枝肉,せり,極上,,
2021-04-06,豚,搬入枝肉,せり,上,,
2021-04-06,豚,搬入枝肉,せり,中,,
2021-04-06,豚,搬入枝肉,せり,並,,
2021-04-06,豚,搬入枝肉,せり,等外,,
2021-04-06,豚,搬入枝肉,相対,極上,,
2021-04-06,豚,搬入枝肉,相対,上,,
2021-04-06,豚,搬入枝肉,相対,中,,
2021-04-06,豚,搬入枝肉,相対,並,,
2021-04-06,豚,搬入枝肉,相対,等外,,
2021-04-07,牛,生体,,和牛,おす,
2021-04-07,牛,生体,,和牛,めす,122
2021-04-07,牛,生体,,和牛,去勢,167
2021-04-07,牛,生体,,交雑,おす,
2021-04-07,牛,生体,,交雑,めす,24
2021-04-07,牛,生体,,交雑,去勢,15
2021-04-07,牛,生体,,乳牛用,おす,
2021-04-07,牛,生体,,乳牛用,めす,
2021-04-07,牛,生体,,乳牛用,去勢,9
2021-04-07,牛,搬入枝肉,,和牛,おす,
2021-04-07,牛,搬入枝肉,,和牛,めす,50
2021-04-07,牛,搬入枝肉,,和牛,去勢,29
2021-04-07,牛,搬入枝肉,,交雑,おす,
2021-04-07,牛,搬入枝肉,,交雑,めす,62
2021-04-07,牛,搬入枝肉,,交雑,去勢,67
2021-04-07,牛,搬入枝肉,,乳牛用,おす,
2021-04-07,牛,搬入枝肉,,乳牛用,めす,8
2021-04-07,牛,搬入枝肉,,乳牛用,去勢,5
2021-04-07,豚,生体,せり,極上,,4
2021-04-07,豚,生体,せり,上,,153
2021-04-07,豚,生体,せり,中,,306
2021-04-07,豚,生体,せり,並,,190
2021-04-07,豚,生体,せり,等外,,33
2021-04-07,豚,生体,相対,極上,,
2021-04-07,豚,生体,相対,上,,
2021-04-07,豚,生体,相対,中,,
2021-04-07,豚,生体,相対,並,,
2021-04-07,豚,生体,相対,等外,,
2021-04-07,豚,搬入枝肉,せり,極上,,
2021-04-07,豚,搬入枝肉,せり,上,,
2021-04-07,豚,搬入枝肉,せり,中,,
2021-04-07,豚,搬入枝肉,せり,並,,
2021-04-07,豚,搬入枝肉,せり,等外,,
2021-04-07,豚,搬入枝肉,相対,極上,,
2021-04-07,豚,搬入枝肉,相対,上,,
2021-04-07,豚,搬入枝肉,相対,中,,
2021-04-07,豚,搬入枝肉,相対,並,,
2021-04-07,豚,搬入枝肉,相対,等外,,1
2021-04-08,牛,生体,,和牛,おす,
2021-04-08,牛,生体,,和牛,めす,67
2021-04-08,牛,生体,,和牛,去勢,182
2021-04-08,牛,生体,,交雑,おす,
2021-04-08,牛,生体,,交雑,めす,57
2021-04-08,牛,生体,,交雑,去勢,21
2021-04-08,牛,生体,,乳牛用,おす,
2021-04-08,牛,生体,,乳牛用,めす,
2021-04-08,牛,生体,,乳牛用,去勢,
2021-04-08,牛,搬入枝肉,,和牛,おす,
2021-04-08,牛,搬入枝肉,,和牛,めす,70
2021-04-08,牛,搬入枝肉,,和牛,去勢,9
2021-04-08,牛,搬入枝肉,,交雑,おす,
2021-04-08,牛,搬入枝肉,,交雑,めす,50
2021-04-08,牛,搬入枝肉,,交雑,去勢,41
2021-04-08,牛,搬入枝肉,,乳牛用,おす,
2021-04-08,牛,搬入枝肉,,乳牛用,めす,27
2021-04-08,牛,搬入枝肉,,乳牛用,去勢,
2021-04-08,豚,生体,せり,極上,,6
2021-04-08,豚,生体,せり,上,,218
2021-04-08,豚,生体,せり,中,,230
2021-04-08,豚,生体,せり,並,,121
2021-04-08,豚,生体,せり,等外,,83
2021-04-08,豚,生体,相対,極上,,
2021-04-08,豚,生体,相対,上,,
2021-04-08,豚,生体,相対,中,,
2021-04-08,豚,生体,相対,並,,
2021-04-08,豚,生体,相対,等外,,
2021-04-08,豚,搬入枝肉,せり,極上,,
2021-04-08,豚,搬入枝肉,せり,上,,
2021-04-08,豚,搬入枝肉,せり,中,,
2021-04-08,豚,搬入枝肉,せり,並,,
2021-04-08,豚,搬入枝肉,せり,等外,,
2021-04-08,豚,搬入枝肉,相対,極上,,
2021-04-08,豚,搬入枝肉,相対,上,,
2021-04-08,豚,搬入枝肉,相対,中,,
2021-04-08,豚,搬入枝肉,相対,並,,
2021-04-08,豚,搬入枝肉,相対,等外,,
2021-04-09,牛,生体,,和牛,おす,
2021-04-09,牛,生体,,和牛,めす,77
2021-04-09,牛,生体,,和牛,去勢,201
2021-04-09,牛,生体,,交雑,おす,
2021-04-09,牛,生体,,交雑,めす,19
2021-04-09,牛,生体,,交雑,去勢,44
2021-04-09,牛,生体,,乳牛用,おす,
2021-04-09,牛,生体,,乳牛用,めす,1
2021-04-09,牛,生体,,乳牛用,去勢,
2021-04-09,牛,搬入枝肉,,和牛,おす,
2021-04-09,牛,搬入枝肉,,和牛,めす,67
2021-04-09,牛,搬入枝肉,,和牛,去勢,5
2021-04-09,牛,搬入枝肉,,交雑,おす,
2021-04-09,牛,搬入枝肉,,交雑,めす,3
2021-04-09,牛,搬入枝肉,,交雑,去勢,6
2021-04-09,牛,搬入枝肉,,乳牛用,おす,
2021-04-09,牛,搬入枝肉,,乳牛用,めす,17
2021-04-09,牛,搬入枝肉,,乳牛用,去勢,
2021-04-09,豚,生体,せり,極上,,3
2021-04-09,豚,生体,せり,上,,246
2021-04-09,豚,生体,せり,中,,328
2021-04-09,豚,生体,せり,並,,183
2021-04-09,豚,生体,せり,等外,,56
2021-04-09,豚,生体,相対,極上,,
2021-04-09,豚,生体,相対,上,,
2021-04-09,豚,生体,相対,中,,
2021-04-09,豚,生体,相対,並,,
2021-04-09,豚,生体,相対,等外,,
2021-04-09,豚,搬入枝肉,せり,極上,,
2021-04-09,豚,搬入枝肉,せり,上,,
2021-04-09,豚,搬入枝肉,せり,中,,
2021-04-09,豚,搬入枝肉,せり,並,,
2021-04-09,豚,搬入枝肉,せり,等外,,
2021-04-09,豚,搬入枝肉,相対,極上,,
2021-04-09,豚,搬入枝肉,相対,上,,4
2021-04-09,豚,搬入枝肉,相対,中,,
2021-04-09,豚,搬入枝肉,相対,並,,
2021-04-09,豚,搬入枝肉,相対,等外,,4
2021-04-12,牛,生体,,和牛,おす,
2021-04-12,牛,生体,,和牛,めす,208
2021-04-12,牛,生体,,和牛,去勢,39
2021-04-12,牛,生体,,交雑,おす,
2021-04-12,牛,生体,,交雑,めす,42
2021-04-12,牛,生体,,交雑,去勢,6
2021-04-12,牛,生体,,乳牛用,おす,
2021-04-12,牛,生体,,乳牛用,めす,
2021-04-12,牛,生体,,乳牛用,去勢,
2021-04-12,牛,搬入枝肉,,和牛,おす,
2021-04-12,牛,搬入枝肉,,和牛,めす,32
2021-04-12,牛,搬入枝肉,,和牛,去勢,18
2021-04-12,牛,搬入枝肉,,交雑,おす,
2021-04-12,牛,搬入枝肉,,交雑,めす,40
2021-04-12,牛,搬入枝肉,,交雑,去勢,14
2021-04-12,牛,搬入枝肉,,乳牛用,おす,
2021-04-12,牛,搬入枝肉,,乳牛用,めす,13
2021-04-12,牛,搬入枝肉,,乳牛用,去勢,2
2021-04-12,豚,生体,せり,極上,,2
2021-04-12,豚,生体,せり,上,,180
2021-04-12,豚,生体,せり,中,,228
2021-04-12,豚,生体,せり,並,,239
2021-04-12,豚,生体,せり,等外,,66
2021-04-12,豚,生体,相対,極上,,
2021-04-12,豚,生体,相対,上,,
2021-04-12,豚,生体,相対,中,,
2021-04-12,豚,生体,相対,並,,
2021-04-12,豚,生体,相対,等外,,
2021-04-12,豚,搬入枝肉,せり,極上,,
2021-04-12,豚,搬入枝肉,せり,上,,
2021-04-12,豚,搬入枝肉,せり,中,,
2021-04-12,豚,搬入枝肉,せり,並,,
2021-04-12,豚,搬入枝肉,せり,等外,,
2021-04-12,豚,搬入枝肉,相対,極上,,
2021-04-12,豚,搬入枝肉,相対,上,,
2021-04-12,豚,搬入枝肉,相対,中,,
2021-04-12,豚,搬入枝肉,相対,並,,
2021-04-12,豚,搬入枝肉,相対,等外,,1
2021-04-13,牛,生体,,和牛,おす,
2021-04-13,牛,生体,,和牛,めす,85
2021-04-13,牛,生体,,和牛,去勢,162
2021-04-13,牛,生体,,交雑,おす,
2021-04-13,牛,生体,,交雑,めす,23
2021-04-13,牛,生体,,交雑,去勢,61
2021-04-13,牛,生体,,乳牛用,おす,
2021-04-13,牛,生体,,乳牛用,めす,
2021-04-13,牛,生体,,乳牛用,去勢,
2021-04-13,牛,搬入枝肉,,和牛,おす,
2021-04-13,牛,搬入枝肉,,和牛,めす,53
2021-04-13,牛,搬入枝肉,,和牛,去勢,4
2021-04-13,牛,搬入枝肉,,交雑,おす,
2021-04-13,牛,搬入枝肉,,交雑,めす,2
2021-04-13,牛,搬入枝肉,,交雑,去勢,1
2021-04-13,牛,搬入枝肉,,乳牛用,おす,
2021-04-13,牛,搬入枝肉,,乳牛用,めす,7
2021-04-13,牛,搬入枝肉,,乳牛用,去勢,2
2021-04-13,豚,生体,せり,極上,,3
2021-04-13,豚,生体,せり,上,,282
2021-04-13,豚,生体,せり,中,,364
2021-04-13,豚,生体,せり,並,,201
2021-04-13,豚,生体,せり,等外,,51
2021-04-13,豚,生体,相対,極上,,
2021-04-13,豚,生体,相対,上,,
2021-04-13,豚,生体,相対,中,,
2021-04-13,豚,生体,相対,並,,
2021-04-13,豚,生体,相対,等外,,
2021-04-13,豚,搬入枝肉,せり,極上,,
2021-04-13,豚,搬入枝肉,せり,上,,
2021-04-13,豚,搬入枝肉,せり,中,,
2021-04-13,豚,搬入枝肉,せり,並,,
2021-04-13,豚,搬入枝肉,せり,等外,,
2021-04-13,豚,搬入枝肉,相対,極上,,
2021-04-13,豚,搬入枝肉,相対,上,,
2021-04-13,豚,搬入枝肉,相対,中,,
2021-04-13,豚,搬入枝肉,相対,並,,
2021-04-13,豚,搬入枝肉,相対,等外,,
2021-04-14,牛,生体,,和牛,おす,
2021-04-14,牛,生体,,和牛,めす,93
2021-04-14,牛,生体,,和牛,去勢,181
2021-04-14,牛,生体,,交雑,おす,
2021-04-14,牛,生体,,交雑,めす,52
2021-04-14,牛,生体,,交雑,去勢,14
2021-04-14,牛,生体,,乳牛用,おす,
2021-04-14,牛,生体,,乳牛用,めす,
2021-04-14,牛,生体,,乳牛用,去勢,
2021-04-14,牛,搬入枝肉,,和牛,おす,
2021-04-14,牛,搬入枝肉,,和牛,めす,79
2021-04-14,牛,搬入枝肉,,和牛,去勢,23
2021-04-14,牛,搬入枝肉,,交雑,おす,
2021-04-14,牛,搬入枝肉,,交雑,めす,63
2021-04-14,牛,搬入枝肉,,交雑,去勢,57
2021-04-14,牛,搬入枝肉,,乳牛用,おす,
2021-04-14,牛,搬入枝肉,,乳牛用,めす,10
2021-04-14,牛,搬入枝肉,,乳牛用,去勢,6
2021-04-14,豚,生体,せり,極上,,4
2021-04-14,豚,生体,せり,上,,99
2021-04-14,豚,生体,せり,中,,289
2021-04-14,豚,生体,せり,並,,218
2021-04-14,豚,生体,せり,等外,,54
2021-04-14,豚,生体,相対,極上,,
2021-04-14,豚,生体,相対,上,,
2021-04-14,豚,生体,相対,中,,
2021-04-14,豚,生体,相対,並,,
2021-04-14,豚,生体,相対,等外,,
2021-04-14,豚,搬入枝肉,せり,極上,,
2021-04-14,豚,搬入枝肉,せり,上,,
2021-04-14,豚,搬入枝肉,せり,中,,
2021-04-14,豚,搬入枝肉,せり,並,,
2021-04-14,豚,搬入枝肉,せり,等外,,
2021-04-14,豚,搬入枝肉,相対,極上,,
2021-04-14,豚,搬入枝肉,相対,上,,
2021-04-14,豚,搬入枝肉,相対,中,,
2021-04-14,豚,搬入枝肉,相対,並,,1
2021-04-14,豚,搬入枝肉,相対,等外,,
2021-04-15,牛,生体,,和牛,おす,
2021-04-15,牛,生体,,和牛,めす,68
2021-04-15,牛,生体,,和牛,去勢,192
2021-04-15,牛,生体,,交雑,おす,
2021-04-15,牛,生体,,交雑,めす,38
2021-04-15,牛,生体,,交雑,去勢,36
2021-04-15,牛,生体,,乳牛用,おす,
2021-04-15,牛,生体,,乳牛用,めす,
2021-04-15,牛,生体,,乳牛用,去勢,9
2021-04-15,牛,搬入枝肉,,和牛,おす,
2021-04-15,牛,搬入枝肉,,和牛,めす,53
2021-04-15,牛,搬入枝肉,,和牛,去勢,2
2021-04-15,牛,搬入枝肉,,交雑,おす,
2021-04-15,牛,搬入枝肉,,交雑,めす,48
2021-04-15,牛,搬入枝肉,,交雑,去勢,25
2021-04-15,牛,搬入枝肉,,乳牛用,おす,
2021-04-15,牛,搬入枝肉,,乳牛用,めす,39
2021-04-15,牛,搬入枝肉,,乳牛用,去勢,
2021-04-15,豚,生体,せり,極上,,3
2021-04-15,豚,生体,せり,上,,214
2021-04-15,豚,生体,せり,中,,299
2021-04-15,豚,生体,せり,並,,118
2021-04-15,豚,生体,せり,等外,,114
2021-04-15,豚,生体,相対,極上,,
2021-04-15,豚,生体,相対,上,,
2021-04-15,豚,生体,相対,中,,
2021-04-15,豚,生体,相対,並,,
2021-04-15,豚,生体,相対,等外,,
2021-04-15,豚,搬入枝肉,せり,極上,,
2021-04-15,豚,搬入枝肉,せり,上,,
2021-04-15,豚,搬入枝肉,せり,中,,
2021-04-15,豚,搬入枝肉,せり,並,,
2021-04-15,豚,搬入枝肉,せり,等外,,
2021-04-15,豚,搬入枝肉,相対,極上,,
2021-04-15,豚,搬入枝肉,相対,上,,
2021-04-15,豚,搬入枝肉,相対,中,,
2021-04-15,豚,搬入枝肉,相対,並,,
2021-04-15,豚,搬入枝肉,相対,等外,,4
2021-04-16,牛,生体,,和牛,おす,
2021-04-16,牛,生体,,和牛,めす,57
2021-04-16,牛,生体,,和牛,去勢,181
2021-04-16,牛,生体,,交雑,おす,
2021-04-16,牛,生体,,交雑,めす,40
2021-04-16,牛,生体,,交雑,去勢,41
2021-04-16,牛,生体,,乳牛用,おす,
2021-04-16,牛,生体,,乳牛用,めす,1
2021-04-16,牛,生体,,乳牛用,去勢,3
2021-04-16,牛,搬入枝肉,,和牛,おす,
2021-04-16,牛,搬入枝肉,,和牛,めす,89
2021-04-16,牛,搬入枝肉,,和牛,去勢,5
2021-04-16,牛,搬入枝肉,,交雑,おす,
2021-04-16,牛,搬入枝肉,,交雑,めす,14
2021-04-16,牛,搬入枝肉,,交雑,去勢,3
2021-04-16,牛,搬入枝肉,,乳牛用,おす,
2021-04-16,牛,搬入枝肉,,乳牛用,めす,36
2021-04-16,牛,搬入枝肉,,乳牛用,去勢,4
2021-04-16,豚,生体,せり,極上,,6
2021-04-16,豚,生体,せり,上,,325
2021-04-16,豚,生体,せり,中,,370
2021-04-16,豚,生体,せり,並,,209
2021-04-16,豚,生体,せり,等外,,55
2021-04-16,豚,生体,相対,極上,,
2021-04-16,豚,生体,相対,上,,
2021-04-16,豚,生体,相対,中,,
2021-04-16,豚,生体,相対,並,,
2021-04-16,豚,生体,相対,等外,,
2021-04-16,豚,搬入枝肉,せり,極上,,
2021-04-16,豚,搬入枝肉,せり,上,,
2021-04-16,豚,搬入枝肉,せり,中,,
2021-04-16,豚,搬入枝肉,せり,並,,
2021-04-16,豚,搬入枝肉,せり,等外,,
2021-04-16,豚,搬入枝肉,相対,極上,,
2021-04-16,豚,搬入枝肉,相対,上,,4
2021-04-16,豚,搬入枝肉,相対,中,,
2021-04-16,豚,搬入枝肉,相対,並,,
2021-04-16,豚,搬入枝肉,相対,等外,,3
2021-04-19,牛,生体,,和牛,おす,
2021-04-19,牛,生体,,和牛,めす,211
2021-04-19,牛,生体,,和牛,去勢,56
2021-04-19,牛,生体,,交雑,おす,
2021-04-19,牛,生体,,交雑,めす,64
2021-04-19,牛,生体,,交雑,去勢,23
2021-04-19,牛,生体,,乳牛用,おす,
2021-04-19,牛,生体,,乳牛用,めす,
2021-04-19,牛,生体,,乳牛用,去勢,
2021-04-19,牛,搬入枝肉,,和牛,おす,
2021-04-19,牛,搬入枝肉,,和牛,めす,24
2021-04-19,牛,搬入枝肉,,和牛,去勢,15
2021-04-19,牛,搬入枝肉,,交雑,おす,
2021-04-19,牛,搬入枝肉,,交雑,めす,36
2021-04-19,牛,搬入枝肉,,交雑,去勢,3
2021-04-19,牛,搬入枝肉,,乳牛用,おす,
2021-04-19,牛,搬入枝肉,,乳牛用,めす,6
2021-04-19,牛,搬入枝肉,,乳牛用,去勢,3
2021-04-19,豚,生体,せり,極上,,2
2021-04-19,豚,生体,せり,上,,219
2021-04-19,豚,生体,せり,中,,337
2021-04-19,豚,生体,せり,並,,149
2021-04-19,豚,生体,せり,等外,,98
2021-04-19,豚,生体,相対,極上,,
2021-04-19,豚,生体,相対,上,,
2021-04-19,豚,生体,相対,中,,
2021-04-19,豚,生体,相対,並,,
2021-04-19,豚,生体,相対,等外,,
2021-04-19,豚,搬入枝肉,せり,極上,,
2021-04-19,豚,搬入枝肉,せり,上,,
2021-04-19,豚,搬入枝肉,せり,中,,
