日付,種別,種類,区分,頭数(頭)
2021-04-01,牛,和牛,本日と畜,257.0
2021-04-01,牛,和牛,上場頭数(生体),316.0
2021-04-01,牛,和牛,上場頭数(搬入),18.0
2021-04-01,牛,交雑種,本日と畜,47.0
2021-04-01,牛,交雑種,上場頭数(生体),92.0
2021-04-01,牛,交雑種,上場頭数(搬入),54.0
2021-04-01,牛,乳牛,本日と畜,5.0
2021-04-01,牛,乳牛,上場頭数(生体),0.0
2021-04-01,牛,乳牛,上場頭数(搬入),40.0
2021-04-01,牛,計,本日と畜,309.0
2021-04-01,牛,計,上場頭数(生体),408.0
2021-04-01,牛,計,上場頭数(搬入),112.0
2021-04-01,馬,,本日と畜,0.0
2021-04-01,馬,,上場頭数(生体),0.0
2021-04-01,馬,,上場頭数(搬入),0.0
2021-04-01,豚,,本日と畜,932.0
2021-04-01,豚,,上場頭数(生体),638.0
2021-04-01,豚,,上場頭数(搬入),0.0
2021-04-01,こ牛,,本日と畜,0.0
2021-04-01,こ牛,,上場頭数(生体),0.0
2021-04-01,こ牛,,上場頭数(搬入),0.0
2021-04-02,牛,和牛,本日と畜,353.0
2021-04-02,牛,和牛,上場頭数(生体),257.0
2021-04-02,牛,和牛,上場頭数(搬入),50.0
2021-04-02,牛,交雑種,本日と畜,72.0
2021-04-02,牛,交雑種,上場頭数(生体),47.0
2021-04-02,牛,交雑種,上場頭数(搬入),4.0
2021-04-02,牛,乳牛,本日と畜,0.0
2021-04-02,牛,乳牛,上場頭数(生体),5.0
2021-04-02,牛,乳牛,上場頭数(搬入),36.0
2021-04-02,牛,計,本日と畜,425.0
2021-04-02,牛,計,上場頭数(生体),309.0
2021-04-02,牛,計,上場頭数(搬入),90.0
2021-04-02,馬,,本日と畜,0.0
2021-04-02,馬,,上場頭数(生体),0.0
2021-04-02,馬,,上場頭数(搬入),0.0
2021-04-02,豚,,本日と畜,749.0
2021-04-02,豚,,上場頭数(生体),988.0
2021-04-02,豚,,上場頭数(搬入),4.0
2021-04-02,こ牛,,本日と畜,0.0
2021-04-02,こ牛,,上場頭数(生体),0.0
2021-04-02,こ牛,,上場頭数(搬入),1.0
2021-04-05,牛,和牛,本日と畜,283.0
2021-04-05,牛,和牛,上場頭数(生体),353.0
2021-04-05,牛,和牛,上場頭数(搬入),14.0
2021-04-05,牛,交雑種,本日と畜,146.0
2021-04-05,牛,交雑種,上場頭数(生体),72.0
2021-04-05,牛,交雑種,上場頭数(搬入),48.0
2021-04-05,牛,乳牛,本日と畜,0.0
2021-04-05,牛,乳牛,上場頭数(生体),0.0
2021-04-05,牛,乳牛,上場頭数(搬入),30.0
2021-04-05,牛,計,本日と畜,429.0
2021-04-05,牛,計,上場頭数(生体),425.0
2021-04-05,牛,計,上場頭数(搬入),92.0
2021-04-05,馬,,本日と畜,0.0
2021-04-05,馬,,上場頭数(生体),0.0
