分類,市場,水産市場ID,日付,種別,品名,販売方法,卸売数量(kg)
水産,豊洲,Sui_K1,2021-04-01,大物,まぐろ（生鮮）,せり・入札,26361.0
水産,豊洲,Sui_K1,2021-04-01,大物,まぐろ（冷凍）,せり・入札,48569.0
水産,豊洲,Sui_K1,2021-04-01,大物,きわだ（生鮮）,せり・入札,754.0
水産,豊洲,Sui_K1,2021-04-01,大物,きわだ（冷凍）,せり・入札,23935.0
水産,豊洲,Sui_K1,2021-04-01,大物,めばち（生鮮）,せり・入札,580.0
水産,豊洲,Sui_K1,2021-04-01,大物,めばち（冷凍）,せり・入札,93914.0
水産,豊洲,Sui_K1,2021-04-01,大物,いんど（生鮮）,せり・入札,76.0
水産,豊洲,Sui_K1,2021-04-01,大物,いんど（冷凍）,せり・入札,13252.0
水産,豊洲,Sui_K1,2021-04-01,大物,まかじき（生鮮）,せり・入札,172.0
水産,豊洲,Sui_K1,2021-04-01,大物,めかじき（生鮮）,せり・入札,5273.0
水産,豊洲,Sui_K1,2021-04-01,大物,めかじき（冷凍）,せり・入札,3795.0
水産,豊洲,Sui_K1,2021-04-01,大物,その他（大物冷）,せり・入札,361.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,しばえび,せり・入札,36.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,くるまえび,せり・入札,1338.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,めじ,相対,393.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,まだい,相対,41047.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,きんめだい,相対,10096.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,あまだい,せり・入札,75.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,あまだい,相対,693.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,ぶり・わらさ,相対,80500.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,いなだ・わかし,相対,13555.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,はまち,相対,19516.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,ひらめ,相対,3007.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,かれい,相対,21975.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,あじ,相対,36215.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,さば,相対,29943.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,かつお,相対,33104.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,いわし,相対,25199.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,にしん,相対,1537.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,さんま,相対,2377.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,するめいか,相対,14088.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,やりいか,相対,4534.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,煮だこ,相対,4152.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,たら類,相対,10138.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,さけます類,相対,21542.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,かます,相対,1410.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,めばる,相対,1702.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,さわら・さごち,相対,14846.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,きんき,相対,1423.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,めぬけ,相対,85.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,すずき,相対,5345.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,きす,相対,489.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,いさき,相対,3446.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,こはだ,相対,1473.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,まながつお,せり・入札,46.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,まながつお,相対,326.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,とびうお,相対,756.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,たちうお,相対,6443.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,あんこう,相対,611.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,あゆ,相対,930.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,かき,相対,7630.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,ほたて,相対,4541.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,あかがい,相対,7649.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,うに,せり・入札,2631.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,うに,相対,1971.0
水産,豊洲,Sui_K1,2021-04-01,鮮魚,けがに,相対,1779.0
