"施設名","年度","区立小学校 移動教室 児童[人]","区立小学校 移動教室 引率等[人]","区立小学校 夏季学園 児童[人]","区立小学校 夏季学園 引率等[人]","社会教育団体等[人]"
"箱根ニコニコ高原学園","2013","1040","146","971","150","504"
"箱根ニコニコ高原学園","2014","1050","142","1078","158","380"
"箱根ニコニコ高原学園","2015","1129","143","1032","154","29"
"箱根ニコニコ高原学園","2016","1150","164","1092","157","0"
"箱根ニコニコ高原学園","2017","1166","154","1259","177","290"

"平成30年度港区行政資料集　施設利用状況一覧 校外学園","Ver201803",,,,,
