年度,総数（店）,調査店舗新刊書店（店）,調査店舗古書店・貸本店（店）,調査店舗コンビンその他（店）,指定図書類等の販売・貸付け状況指定図書類があった書店等（店）,指定図書類等の販売・貸付け状況表示図書類等があった書店等（店）,指定図書類等の販売・貸付け状況類似図書類があった書店等（店）,指定図書類等の販売・貸付け状況全くなかった書店等（店）,指定図書類等の区分陳列状況指定・表示図書類適切だった書店等（店）,指定図書類等の区分陳列状況指定・表示図書類不適切だった書店等（店）,指定図書類等の区分陳列状況類似図書類配慮していた書店等（店）,指定図書類等の区分陳列状況類似図書類配慮していなかった書店等（店）
H30,144,72,14,58,43,29,46,54,11,61,34,12
R01,309,117,48,144,73,52,26,182,29,96,18,8
R02,90,69,12,9,38,20,4,45,9,49,1,3
