年度,総数（店）,調査店舗映像ソフト販売店等（店）,調査店舗ゲームソフト店その他（店）,指定ソフト等の販売・貸付け状況指定ソフトがあったＤＶＤ店等（店）,指定ソフト等の販売・貸付け状況表示ソフトがあったＤＶＤ店等（店）,指定ソフト等の販売・貸付け状況類似ソフトがあったＤＶＤ店等（店）,指定ソフト等の販売・貸付け状況全てなかったＤＶＤ店等,指定ソフト等の区分陳列状況指定・表示ソフト適切だったＤＶＤ店等（店）,指定ソフト等の区分陳列状況指定・表示ソフト不適切だったＤＶＤ店等（店）,指定ソフト等の区分陳列状況類似ソフト配慮していたＤＶＤ店等（店）,指定ソフト等の区分陳列状況類似ソフト配慮していなかったＤＶＤ店等（店）
H30,58,34,24,0,44,0,14,24,20,0,0
R01,106,63,43,0,70,0,36,41,29,0,0
R02,47,24,23,0,34,0,13,14,20,0,0
