NO,名称,名称_カナ,住所,方書,緯度,経度,市区町村コード,都道府県名,市区町村名,備考
1,昭島市立東小学校,アキシマシリツアズマショウガッコウ,東京都昭島市東町二丁目２番１８号,,35.703321,139.389875,132071,東京都,昭島市,
2,昭島市立共成小学校,アキシマシリツキョウセイショウガッコウ,東京都昭島市郷地町二丁目６番１号,,35.697501,139.383191,132071,東京都,昭島市,
3,昭島市立富士見丘小学校,アキシマシリツフジミガオカショウガッコウ,東京都昭島市福島町８９０番地,,35.707999,139.383112,132071,東京都,昭島市,
4,昭島市立武蔵野小学校,アキシマシリツムサシノショウガッコウ,東京都昭島市武蔵野二丁目３番１号,,35.719466,139.380126,132071,東京都,昭島市,
5,昭島市立玉川小学校,アキシマシリツタマガワショウガッコウ,東京都昭島市福島町二丁目８番１号,,35.700928,139.378134,132071,東京都,昭島市,
6,昭島市立中神小学校,アキシマシリツナカガミショウガッコウ,東京都昭島市朝日町五丁目８番５号,,35.705833,139.371779,132071,東京都,昭島市,
7,昭島市立つつじが丘小学校,アキシマシリツツツジガオカショウガッコウ,東京都昭島市つつじが丘二丁目１番３０号,,35.716554,139.370653,132071,東京都,昭島市,
8,昭島市立光華小学校,アキシマシリツコウカショウガッコウ,東京都昭島市昭和町四丁目５番１３号,,35.710009,139.36355,132071,東京都,昭島市,
9,昭島市立成隣小学校,アキシマシリツセイリンショウガッコウ,東京都昭島市大神町四丁目４番１号,,35.698514,139.360843,132071,東京都,昭島市,
10,昭島市立田中小学校,アキシマシリツタナカショウガッコウ,東京都昭島市田中町三丁目４番１号,,35.700791,139.352943,132071,東京都,昭島市,
11,昭島市立拝島第一小学校,アキシマシリツハイジマダイイチショウガッコウ,東京都昭島市拝島町一丁目１４番１４号,,35.706691,139.344009,132071,東京都,昭島市,
12,昭島市立拝島第二小学校,アキシマシリツハイジマダイニショウガッコウ,東京都昭島市拝島町３９２７番地２,,35.71988,139.354899,132071,東京都,昭島市,
13,昭島市立拝島第三小学校,アキシマシリツハイジマダイサンショウガッコウ,東京都昭島市松原町三丁目１２番１５号,,35.716422,139.343226,132071,東京都,昭島市,
14,旧昭島市立拝島第四小学校,キュウアキシマシリツハイジマダイヨンショウガッコウ,東京都昭島市拝島町五丁目６番３０号,,35.706086,139.337963,132071,東京都,昭島市,
15,昭島市立昭和中学校,アキシマシリツショウワチュウガッコウ,東京都昭島市東町二丁目６番２２号,,35.704465,139.386683,132071,東京都,昭島市,
16,昭島市立福島中学校,アキシマシリツフクジマチュウガッコウ,東京都昭島市福島町三丁目２０番１号,,35.695212,139.376673,132071,東京都,昭島市,
17,昭島市立瑞雲中学校,アキシマシリツズイウンチュウガッコウ,東京都昭島市つつじが丘二丁目２番６号,,35.715799,139.37066,132071,東京都,昭島市,
18,昭島市立清泉中学校,アキシマシリツセイセンチュウガッコウ,東京都昭島市宮沢町一丁目９番１号,,35.706068,139.364319,132071,東京都,昭島市,
19,昭島市立拝島中学校,アキシマシリツハイジマチュウガッコウ,東京都昭島市緑町二丁目２番１２号,,35.712963,139.350452,132071,東京都,昭島市,
20,昭島市立多摩辺中学校,アキシマシリツタマベチュウガッコウ,東京都昭島市拝島町四丁目６番３０号,,35.703054,139.346525,132071,東京都,昭島市,
21,昭島市立福島会館,アキシマシリツフクジマカイカン,東京都昭島市福島町一丁目１９番１号,,35.696737,139.381077,132071,東京都,昭島市,
22,昭島市立玉川会館,アキシマシリツタマガワカイカン,東京都昭島市玉川町三丁目１０番１５号,,35.703698,139.382091,132071,東京都,昭島市,
23,昭島市立朝日会館,アキシマシリツアサヒカイカン,東京都昭島市朝日町五丁目６番２０号,,35.705036,139.372827,132071,東京都,昭島市,
24,昭島市立堀向会館,アキシマシリツホリムコウカイカン,東京都昭島市美堀町二丁目６番１１号,,35.723029,139.363729,132071,東京都,昭島市,
25,昭島市立大神会館,アキシマシリツオオガミカイカン,東京都昭島市大神町三丁目１０番５号,,35.70071,139.360768,132071,東京都,昭島市,
26,昭島市立昭和会館,アキシマシリツショウワカイカン,東京都昭島市松原町一丁目２番２５号,,35.712924,139.357678,132071,東京都,昭島市,
27,昭島市立緑会館,アキシマシリツミドリカイカン,東京都昭島市緑町四丁目１３番２６号,,35.714192,139.344589,132071,東京都,昭島市,
28,昭島市立拝島会館,アキシマシリツハイジマカイカン,東京都昭島市拝島町二丁目４番１３号,,35.707314,139.342062,132071,東京都,昭島市,
29,昭島市立やまのかみ会館,アキシマシリツヤマノカミカイカン,東京都昭島市拝島町三丁目１０番３号,,35.710947,139.335603,132071,東京都,昭島市,
30,昭島市立武蔵野会館,アキシマシリツムサシノカイカン,東京都昭島市中神町１１７２番地１,,35.71116,139.375767,132071,東京都,昭島市,
31,昭島市立富士見会館,アキシマシリツフジミカイカン,東京都昭島市中神町１２８２番地,,35.712232,139.382697,132071,東京都,昭島市,
32,昭島市民会館・公民館,アキシマシミンカイカン・コウミンカン,東京都昭島市つつじが丘三丁目７番７号,,35.713443,139.366148,132071,東京都,昭島市,
33,昭島市勤労商工市民センター,アキシマシキンロウショウコウシミンセンター,東京都昭島市昭和町三丁目１０番２号,,35.707005,139.36713,132071,東京都,昭島市,
34,昭島市児童センター,アキシマシジドウセンター,東京都昭島市つつじが丘二丁目３番２１号,,35.714253,139.367065,132071,東京都,昭島市,
35,昭島市立松原町コミュニティセンター,アキシマシリツマツバラチョウコミュニティセンター,東京都昭島市松原町一丁目３番１０号,,35.712092,139.357061,132071,東京都,昭島市,
36,環境コミュニケーションセンター,アキシマシカンキョウコミュニケーションセンター,東京都昭島市美堀町三丁目８番１号,,35.431202,139.212788,132071,東京都,昭島市,
37,アキシマエンシス,アキシマエンシス,東京都昭島市つつじが丘三丁目３番１５号,,35.423007,139.222072,132071,東京都,昭島市,
38,昭島市立朝日町高齢者福祉センター,アキシマシリツアサヒチョウコウレイシャフクシセンター,東京都昭島市朝日町四丁目５番９号,,35.706068,139.370788,132071,東京都,昭島市,
39,昭島市立松原町高齢者福祉センター,アキシマシリツマツバラチョウコウレイシャフクシセンター,東京都昭島市松原町一丁目１３番３号,,35.714714,139.354566,132071,東京都,昭島市,
40,昭島市立拝島町高齢者福祉センター,アキシマシリツハイジマチョウコウレイシャフクシセンター,東京都昭島市拝島町三丁目１０番４号,,35.710498,139.335169,132071,東京都,昭島市,
41,昭島市立保健福祉センター,アキシマシリツホケンフクシセンター,東京都昭島市昭和町四丁目７番１号,,35.710855,139.364051,132071,東京都,昭島市,
