"年度","会員数[人]","就業延実人員","配分金[円]"
"2017","1637","27342","627306000"
"2018","1665","27721","657460000"
"2019","1676","25732","550225000"
"2020","1686","22596","495524000"
"2021","1702","24774","547089000"

"令和4年度港区行政資料集　公益社団法人港区シルバー人材センター活動状況","Ver202203",,
