"年度","総搬入量[t]","日平均搬入量[t]","焼却量[t]","日平均焼却量[t]"
"2017","245493","787","241488","690"
"2018","234537","752","230825","671"
"2019","194710","620","193623","568"
"2020","197501","633","195635","562"
"2021","160323","517","157051","482"

"令和4年度港区行政資料集　港清掃工場取扱量","Ver202203",,,
