"年度[西暦]","あっぴぃ港南[人]","あっぴぃ新橋[人]","あっぴぃ麻布[人]","あっぴぃ西麻布[人]","あっぴぃ芝浦[人]","あっぴぃ赤坂[人]","あっぴぃ白金台[人]","あっぴぃ港南四丁目[人]"
"2018","2234","5342","5300","5191","11462","4444","2242",
"2019","2398","5920","5194","4567","11890","5793","2468",
"2020","2076","3744","3225","2055","8587","3036","1984",
"2021","2663","5018","3251","2010","9940","3182","2398",
"2022","2211","4762","4200","2693","11858","2806","1847","1009"

"令和5年度港区行政資料集　乳幼児一時預かり事業実施状況","Ver202303",,,,,,,
