"年度[西暦]","利用者数[人]"
"2018","46625"
"2019","45440"
"2020","33857"
"2021","35871"
"2022","38820"

"令和5年度港区行政資料集　施設利用状況一覧 ふれあいの湯（区立公衆浴場）","Ver202303"
