計画,対象流域,備考
（１）流域別豪雨対策計画,神田川、渋谷川・古川、石神井川、目黒川、呑川、野川、白子川の７流域,東京都豪雨対策基本方針（H19.8）に基づいて、都と区市町村による東京都総合治水対策協議会が策定
（２）総合的な治水対策暫定計画,谷沢川・丸子川流域,「61 答申」に基づいて、都と区市町村による東京都総合治水対策協議会が策定
（３）流域整備計画,新河岸川、中川・綾瀬川、残堀川、境川の４流域,国から「総合治水対策特定河川」の指定を受け、流域別総合治水協議会が策定
（４）流域水害対策計画,鶴見川流域,国又は都道府県が「特定都市河川」を指定し、河川管理者、下水管理者、都及び関係県市が共同で策定
（５）東京都総合治水対策協議会（都・区市町村）における合意による取組,（１）～（４）に該当しない全ての流域,（１）～（４）に該当しない全ての流域に対し、全ての公共施設と0.1ha 以上の新設又は改築等をする民間施設を対象に500m3/ha の流域対策を進めていくこととする
