設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
社福法人,あけの星学園,161-0032,新宿区中落合１－７－１,139.690727,35.717259,JGD2011,03-3954-8690,20
社福法人,品川景徳学園,142-0064,品川区旗の台５－２５－１９,139.700936,35.602892,JGD2011,03-3783-3781,48
社福法人,目黒若葉寮,153-0044,目黒区大橋２－１９－１,139.682533,35.654997,JGD2011,03-3466-0261,46
社福法人,救世軍機恵子寮,145-0064,大田区上池台４－１２－１０,139.699808,35.598467,JGD2011,03-3729-0357,42
社福法人,聖フランシスコ子供寮,146-0085,大田区久が原４－２－１,139.693801,35.582955,JGD2011,03-3753-6768,50
社福法人,東京育成園,154-0011,世田谷区上馬４－１２－３,139.662374,35.63569,JGD2011,03-3421-0041,52
社福法人,福音寮,156-0057,世田谷区上北沢３－１－１９,139.62699,35.666199,JGD2011,03-3302-5600,57
社福法人,広尾フレンズ,150-0012,渋谷区広尾４－２－１２,139.722279,35.655159,JGD2011,03-3400-4009,46
社福法人,若草寮,151-0072,渋谷区幡ヶ谷３－４－９,139.675566,35.679938,JGD2011,03-3377-6445,30
社福法人,愛児の家,165-0032,中野区鷺宮３－２－１３,139.643467,35.723241,JGD2011,03-3330-4493,36
社福法人,聖友学園,166-0001,杉並区阿佐谷北３－２８－１９,139.633382,35.711122,JGD2011,03-3338-1844,52
社福法人,救世軍世光寮,166-0012,杉並区和田２－２１－１,139.659295,35.689964,JGD2011,03-3381-0545,56
社福法人,カリタスの園小百合の寮,167-0021,杉並区井草４－１９－２８,139.613394,35.728098,JGD2011,03-3394-2451,61
社福法人,東京家庭学校,168-0072,杉並区高井戸東２－３－４,139.615888,35.677351,JGD2011,03-3333-8627,52
社福法人,杉並学園,168-0081,杉並区宮前３－１０－８,139.604432,35.695229,JGD2011,03-3332-2567,41
社福法人,星美ホーム,115-0053,北区赤羽台４－２－１４,139.714653,35.784216,JGD2011,03-3906-2711,80
社福法人,まつば園,173-0013,板橋区氷川町２７－２,139.704733,35.753742,JGD2011,03-3962-6869,54
社福法人,西台こども館,174-0045,板橋区西台１－２７－１０,139.671993,35.774924,JGD2011,03-5920-1122,44
社福法人,マハヤナ学園撫子園,174-0063,板橋区前野町５－７－１０,139.685875,35.770022,JGD2011,03-3960-1990,62
社福法人,錦華学院,176-0004,練馬区小竹町１－６０－８,139.673194,35.738601,JGD2011,03-3955-0988,57
都,東京都石神井学園,177-0045,練馬区石神井台３－３５－２３,139.58876,35.741623,JGD2011,03-3996-4191,134
社福法人,クリスマス・ヴィレッジ,123-0845,足立区西新井本町４－１３－１６,139.778561,35.773008,JGD2011,03-3890-5291,78
社福法人,暁星学園,123-0873,足立区扇１－１２－２０,139.774137,35.761268,JGD2011,03-3896-1996,30
社福法人,東京愛育苑向島学園,125-0032,葛飾区水元３－１３－８,139.863901,35.782555,JGD2011,03-3608-7070,40
社福法人,共生会希望の家,125-0062,葛飾区青戸４－１４－１５,139.850242,35.751943,JGD2011,03-5650-2424,43
社福法人,今良学舎,192-0043,八王子市暁町３－２３－１８,139.338661,35.676788,JGD2011,042-686-3862,36
社福法人,武蔵野児童学園,193-0826,八王子市元八王子町２－１３２６,139.282159,35.662732,JGD2011,042-661-5167,52
社福法人,エスオーエスこどもの村,193-0841,八王子市裏高尾町９９１,139.253054,35.639108,JGD2011,042-661-8733,36
社福法人,こどものうち八栄寮,193-0944,八王子市館町２２３２－１,139.305635,35.630301,JGD2011,042-661-5891,52
社福法人,至誠学園,190-0022,立川市錦町６－２６－１５,139.418182,35.684573,JGD2011,042-524-2601,62
社福法人,至誠大地の家,190-0022,立川市錦町６－２６－１７,139.417463,35.684547,JGD2011,042-540-0088,42
赤十字,赤十字子供の家,180-0023,武蔵野市境南町１－２６－２７,139.54676,35.697783,JGD2011,0422-31-8283,40
社福法人,のぞみの家,180-0023,武蔵野市境南町５－６－２１,139.538138,35.697344,JGD2011,0422-31-2224,50
