"年度","利用者数[人]"
"2014","34537"
"2015","38555"
"2016","49706"
"2017","43140"
"2018","46625"

"令和元年度港区行政資料集　施設利用状況一覧 ふれあいの湯（区立公衆浴場）","Ver201903"
