実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,nen,実数_平成23年平均,2011,,402,3.37,1.55,47.5,565071,557355,530796,408004,67011,55781,3525,23035,7716,427916,77977,457212,79715,73.8,463261,355402,337458,79519,26425,20711,10678,16167,13493,40125,29246,39908,61187,17944,107860,536258,71445
jissu,nen,実数_平成24年平均,2012,,394,3.29,1.59,48,575440,565795,539670,407466,70608,61596,4119,22006,9645,450785,75945,463181,82089,75.2,472720,360461,348158,80151,28584,22436,11281,17527,14225,43413,27915,39868,62758,12304,112259,560303,69147
jissu,nen,実数_平成25年平均,2013,,384,3.37,1.64,47.1,578628,570606,549846,408351,74067,67428,2811,17949,8022,473520,76044,465083,72068,78.2,500147,386602,363721,83196,33120,22869,11908,18206,14311,47836,27464,40441,64369,22881,113545,564863,63181
jissu,nen,実数_平成26年平均,2014,,361,3.35,1.62,48.4,585636,576120,553922,414967,79231,59724,4654,17544,9516,446197,74365,465913,90951,75.8,476753,357031,353261,83860,29430,22907,13005,18629,13153,46330,25194,41353,59400,3770,119723,567144,62301
jissu,sihan,実数_平成25年10～12月,2013,10～12,378,3.25,1.6,46.9,662008,653139,629393,417932,141692,69770,2688,21058,8869,462002,77752,537119,162460,66.5,504206,379316,357049,86477,36498,20365,13185,20059,14200,41074,24820,37579,62794,22267,124889,631697,65860
jissu,sihan,実数_平成26年1～3月,2014,1～3,358,3.32,1.62,47.5,520028,509642,494153,433083,7754,53317,1960,13529,10386,443444,75823,416188,42473,84.5,461993,358152,351867,78967,31604,28643,15399,19721,13168,45032,22505,35826,61002,6285,103840,518668,58634
jissu,sihan,実数_平成26年4～6月,2014,4～6,365,3.38,1.65,48.6,636018,625327,599741,"422,720","108,090","68,931","2,703","22,884","10,691","445,367","71,808","494,383","124,815",71.1,"493,152","351,517",351517,"81,262","29,488","22,192","11,577","19,944","11,000","40,436","34,833","43,256","57,529",-,"141,635","601,362","58,680"
jissu,sihan,実数_平成26年7～9月,2014,7～9,360,3.34,1.6,48.7,528391,522778,505672,"399,821","56,051","49,801","5,173","11,932","5,614","437,429","78,134","419,620","49,104",83.9,"467,516","358,744",352179,"84,053","24,879","19,345","12,231","15,536","13,981","59,673","21,095","43,038","58,348","6,565","108,771","511,423","65,017"
jissu,sihan,実数_平成26年10～12月,2014,10～12,362,3.35,1.61,48.8,658106,646732,616122,"404,245","145,030","66,847","8,778","21,832","11,374","458,549","71,693","533,462","147,413",67,"484,353","359,708",357481,"91,158","31,749","21,447","12,814","19,313","14,465","40,178","22,345","43,292","60,720","2,228","124,645","637,122","66,872"
jissu,tuki,実数_平成26年2月,2014,2,350,3.34,1.63,47.5,539310,532553,501079,"441,475","2,178","57,425","1,207","30,268","6,756","428,227","68,098","432,328","67,141",72.6,"430,165","323,183",313979,"74,946","31,267","30,892","12,342","12,672","13,670","38,814","19,411","30,593","49,373","9,204","106,982","545,775","59,694"
