実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
jissu,nen,実数_平成23年平均,2011,,760,3.01,1.3,57,328226,314480,77905,23660,21230,10721,13954,15528,33516,19827,36664,61475,23613,13746
jissu,nen,実数_平成24年平均,2012,,754,2.97,1.29,57.2,328955,321982,78922,25580,23122,11094,14776,15568,35244,19271,36575,61832,25251,6973
jissu,nen,実数_平成25年平均,2013,,753,3.02,1.3,57.3,345213,333423,80264,29540,23605,11264,15276,15676,37703,17517,38107,64471,27018,11790
jissu,nen,実数_平成26年平均,2014,,745,2.98,1.29,58.8,327418,324036,81162,25459,23893,11920,15231,15326,36670,15303,38299,60775,26111,3381
jissu,sihan,実数_平成26年4～6月,2014,4～6,748,2.99,1.3,58.6,322141,317406,78770,24932,23226,11082,16071,13675,33994,21762,39895,54000,23921,4735
jissu,sihan,実数_平成26年7～9月,2014,7～9,750,2.96,1.29,59.3,325438,320746,80809,21229,20015,11164,12768,15388,43602,12665,40261,62846,26610,4692
jissu,sihan,実数_平成26年10～12月,2014,10～12,750,2.98,1.29,59.2,335745,334663,88797,29521,22106,12048,16256,17203,33070,13493,38949,63219,26944,1082
jissu,sihan,実数_平成27年1～3月,2015,1～3,745,3.01,1.31,58.4,346928,335579,80856,24247,32641,10008,15548,15547,41100,16124,36401,63106,24481,11350
jissu,sihan,実数_平成27年4～6月,2015,4～6,738,2.97,1.31,58.9,348964,342285,82395,24396,23968,11055,16305,13661,37609,29975,37370,65550,29714,6679
jissu,tuki,実数_平成26年8月,2014,8,740,2.96,1.28,59.6,312996,311908,83542,18255,21166,9865,11626,15964,35008,8320,43793,64370,28667,1087
jissu,tuki,実数_平成26年9月,2014,9,755,2.96,1.28,59.5,333287,329971,79692,22924,20264,10967,12120,15809,53274,17146,38024,59753,26604,3316
jissu,tuki,実数_平成26年10月,2014,10,754,2.98,1.29,59.2,321996,318758,81995,29943,20855,10947,15175,17776,32436,18807,36927,53897,25828,3238
jissu,tuki,実数_平成26年11月,2014,11,755,2.98,1.3,59.3,305931,305922,82147,23144,20368,10615,16942,17101,30137,10326,35343,59799,24447,9
jissu,tuki,実数_平成26年12月,2014,12,741,2.98,1.29,59.2,379308,379308,102250,35476,25095,14581,16652,16733,36637,11347,44576,75960,30558,-
jissu,tuki,実数_平成27年1月,2015,1,741,3.01,1.32,58.3,348736,346966,79492,24099,31374,8455,16556,14364,46702,14554,35945,75426,28544,1770
jissu,tuki,実数_平成27年2月,2015,2,743,3,1.32,58.6,320176,313155,76845,23548,33790,10134,12353,13655,41131,14588,34064,53047,19799,7021
jissu,tuki,実数_平成27年3月,2015,3,751,3.02,1.3,58.2,371872,346615,86231,25095,32759,11434,17736,18621,35468,19231,39195,60844,25099,25258
jissu,tuki,実数_平成27年4月,2015,4,746,2.99,1.32,58.5,383855,363817,81010,21513,28296,9637,16437,14544,32084,54944,36068,69283,34123,20038
jissu,tuki,実数_平成27年5月,2015,5,736,2.97,1.3,59,346563,346563,85065,20813,23766,12254,17441,12697,46715,22977,38334,66501,29454,-
jissu,tuki,実数_平成27年6月,2015,6,733,2.95,1.31,59.1,316474,316474,81110,30862,19841,11275,15036,13742,34027,12004,37709,60867,25566,-
jissu,tuki,実数_平成27年7月,2015,7,741,2.9,1.26,59.5,303277,303277,83752,22097,17988,11488,14860,15322,29144,12075,38843,57708,25884,-
jissu,tuki,実数_平成27年8月,2015,8,742,2.89,1.26,59.1,309824,309824,84633,27333,19807,11901,10392,13972,31705,9842,44168,56072,20347,-
meimoku,nen,対前年（同期・同月）名目増加率_平成23年平均,2011,,-,-,-,-,-2.8,-5.2,-1.1,-6.4,-5.2,-3.7,-11,2.8,-6.7,2.2,-14.4,-5.7,-7.2,129.3
meimoku,nen,対前年（同期・同月）名目増加率_平成24年平均,2012,,-,-,-,-,0.2,2.4,1.3,8.1,8.9,3.5,5.9,0.3,5.2,-2.8,-0.2,0.6,6.9,-49.3
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,4.9,3.6,1.7,15.5,2.1,1.5,3.4,0.7,7,-9.1,4.2,4.3,7,69.1
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,-5.2,-2.8,1.1,-13.8,1.2,5.8,-0.3,-2.2,-2.7,-12.6,0.5,-5.7,-3.4,-71.3
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年4～6月,2014,4～6,-,-,-,-,-5.5,-5.2,-0.8,-15.8,5,1,0.6,-17.5,-4,1.1,-0.1,-14.7,-17.7,-23.5
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年7～9月,2014,7～9,-,-,-,-,-8.9,-6.3,-1.1,-31.3,-4.9,-10.7,-2.2,1.5,2.4,-25.8,-3.8,-5.2,-7.3,-69.1
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年10～12月,2014,10～12,-,-,-,-,-2.7,0.2,5.7,-9.5,3.7,1.3,-2,6.9,-4.6,-11.2,8.3,-3.6,0.9,-90.3
