項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,742,-,-,99,-,113,-,106,-,107,-,110,-,105,-,102,-
0,0,0,0,0,世帯人員,2.96,-,-,2.65,-,2.86,-,2.94,-,3.09,-,2.96,-,3.1,-,3.11,-
0,0,0,0,0,有業人員,1.28,-,-,1.1,-,1.28,-,1.24,-,1.31,-,1.32,-,1.38,-,1.36,-
0,0,0,0,0,世帯主平均年齢,58.7,-,-,63.4,-,60.8,-,57.5,-,58.1,-,57.8,-,57,-,56,-
2,2,0,0,0,生計支出,315864,-,3.2,105101,-,170389,-,215769,-,260800,-,314513,-,392057,-,750557,-
2,3,0,0,0,消費支出,314946,100,2.9,105101,100,170389,100,215769,100,260800,100,314513,100,392057,100,744132,100
2,4,1,0,0,食料,81289,25.8,-1,49137,46.8,62509,36.7,73526,34.1,77157,29.6,86660,27.6,97289,24.8,122433,16.5
2,5,1,1,0,穀類,6339,2,-3,4666,4.4,5704,3.3,6729,3.1,6510,2.5,6854,2.2,7122,1.8,6768,0.9
2,6,1,1,1,米類,1664,0.5,-8.9,1072,1,1371,0.8,2332,1.1,1801,0.7,1781,0.6,1958,0.5,1326,0.2
2,6,1,1,2,パン,2801,0.9,-2.8,2097,2,2483,1.5,2759,1.3,2936,1.1,2877,0.9,3101,0.8,3349,0.5
2,6,1,1,3,麺類,1405,0.4,6.3,1117,1.1,1400,0.8,1265,0.6,1325,0.5,1589,0.5,1519,0.4,1614,0.2
2,6,1,1,4,他の穀類,469,0.1,-6.8,380,0.4,450,0.3,373,0.2,449,0.2,607,0.2,544,0.1,479,0.1
2,5,1,2,0,魚介類,6634,2.1,0.9,5288,5,5637,3.3,6560,3,6685,2.6,6680,2.1,7456,1.9,8122,1.1
2,6,1,2,1,生鮮魚介,4019,1.3,-2.1,3052,2.9,3651,2.1,3960,1.8,4047,1.6,4099,1.3,4454,1.1,4864,0.7
2,6,1,2,2,塩干魚介,1191,0.4,8.3,1176,1.1,883,0.5,1178,0.5,1140,0.4,1125,0.4,1456,0.4,1376,0.2
2,6,1,2,3,魚肉練製品,604,0.2,1.7,521,0.5,446,0.3,623,0.3,668,0.3,568,0.2,720,0.2,684,0.1
2,6,1,2,4,他の魚介加工品,820,0.3,5.5,540,0.5,658,0.4,800,0.4,830,0.3,888,0.3,825,0.2,1198,0.2
2,5,1,3,0,肉類,7352,2.3,-2.3,5076,4.8,6169,3.6,6951,3.2,6995,2.7,7759,2.5,9556,2.4,8927,1.2
2,6,1,3,1,生鮮肉,6013,1.9,-0.8,4283,4.1,5055,3,5745,2.7,5729,2.2,6130,1.9,7902,2,7224,1
2,6,1,3,2,加工肉,1339,0.4,-8.4,793,0.8,1114,0.7,1207,0.6,1266,0.5,1629,0.5,1654,0.4,1703,0.2
2,5,1,4,0,乳卵類,4128,1.3,3.3,2977,2.8,3895,2.3,3420,1.6,3844,1.5,4312,1.4,4760,1.2,5674,0.8
2,6,1,4,1,牛乳,1375,0.4,5.7,988,0.9,1525,0.9,1120,0.5,1166,0.4,1430,0.5,1546,0.4,1841,0.2
2,6,1,4,2,乳製品,1962,0.6,1.3,1383,1.3,1656,1,1564,0.7,1820,0.7,2062,0.7,2333,0.6,2908,0.4
2,6,1,4,3,卵,792,0.3,4.5,606,0.6,714,0.4,736,0.3,858,0.3,820,0.3,881,0.2,925,0.1
2,5,1,5,0,野菜・海藻,9615,3.1,1.3,7485,7.1,8227,4.8,9357,4.3,9522,3.7,9895,3.1,11148,2.8,11652,1.6
2,6,1,5,1,生鮮野菜,6507,2.1,3.3,5019,4.8,5557,3.3,6203,2.9,6581,2.5,6795,2.2,7479,1.9,7906,1.1
2,6,1,5,2,乾物・海藻,736,0.2,-10.7,432,0.4,647,0.4,751,0.3,660,0.3,676,0.2,982,0.3,1001,0.1
2,6,1,5,3,大豆加工品,1221,0.4,3.7,993,0.9,1017,0.6,1203,0.6,1192,0.5,1250,0.4,1323,0.3,1570,0.2
2,6,1,5,4,他の野菜・海藻加工品,1150,0.4,-3.5,1041,1,1007,0.6,1201,0.6,1089,0.4,1174,0.4,1363,0.3,1175,0.2
2,5,1,6,0,果物,3208,1,3.2,2328,2.2,2465,1.4,3807,1.8,3036,1.2,2957,0.9,3608,0.9,4247,0.6
2,6,1,6,1,生鮮果物,2883,0.9,1.3,2252,2.1,2197,1.3,3384,1.6,2701,1,2682,0.9,3236,0.8,3720,0.5
2,6,1,6,2,果物加工品,325,0.1,24.5,76,0.1,268,0.2,423,0.2,335,0.1,275,0.1,372,0.1,527,0.1
2,5,1,7,0,油脂・調味料,3669,1.2,-4.9,2619,2.5,3255,1.9,3629,1.7,3334,1.3,4186,1.3,4205,1.1,4439,0.6
2,6,1,7,1,油脂,403,0.1,-3.4,257,0.2,298,0.2,336,0.2,353,0.1,522,0.2,484,0.1,573,0.1
2,6,1,7,2,調味料,3265,1,-5.1,2363,2.2,2957,1.7,3294,1.5,2981,1.1,3664,1.2,3720,0.9,3866,0.5
2,5,1,8,0,菓子類,5524,1.8,-4,3118,3,4467,2.6,5015,2.3,5814,2.2,6182,2,6124,1.6,7933,1.1
2,5,1,9,0,調理食品,10062,3.2,-2.7,8077,7.7,8576,5,9526,4.4,9575,3.7,10195,3.2,11275,2.9,13186,1.8
2,6,1,9,1,主食的調理食品,4363,1.4,2.4,3805,3.6,3864,2.3,3757,1.7,4229,1.6,4254,1.4,4912,1.3,5713,0.8
2,6,1,9,2,他の調理食品,5699,1.8,-6.4,4272,4.1,4712,2.8,5769,2.7,5346,2,5941,1.9,6362,1.6,7473,1
2,5,1,10,0,飲料,4003,1.3,-3.2,2077,2,2745,1.6,3460,1.6,3302,1.3,4331,1.4,5594,1.4,6486,0.9
2,6,1,10,1,茶類,949,0.3,-16.1,420,0.4,613,0.4,760,0.4,794,0.3,1212,0.4,1313,0.3,1526,0.2
