項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,692,603,956,903,977,774,998,4096,1810
0,0,0,0,0,0,0,調査世帯数,742,-,49,45,74,72,66,58,73,305,136
0,0,0,0,0,0,0,世帯人員,2.96,-,3.27,3.61,3.65,3.37,3.58,3.26,3,2.35,2.19
0,0,0,0,0,0,0,有業人員,1.28,-,1.62,1.28,1.34,1.53,1.74,1.92,1.75,0.82,0.65
0,0,0,0,0,0,0,世帯主平均年齢,58.7,-,31.3,36.8,42,46.8,51.6,56.9,62.1,74.2,80.5
2,2,0,0,0,0,0,生計支出,315864,3.2,296533,262020,318235,341264,387557,375805,405297,270664,241121
2,3,0,0,0,102-981,0,消費支出,314946,2.9,283261,262020,318235,341264,387557,375805,405297,270664,241121
2,4,1,0,0,"102-399,　39A,　39B,　39X,　39Y",0,食料,86912,-2.7,66115,67507,88103,98543,90498,98195,109248,82007,74815
2,5,1,1,0,102-160,0,穀類,6432,-4.4,4920,4844,7462,6898,7092,7652,7428,5948,5207
2,6,1,1,1,102,0,米類,1682,-12.2,921,397,1724,1877,1637,2159,2003,1789,1668
2,7,1,1,1,102,102,米,1682,-12.2,921,397,1724,1877,1637,2159,2003,1789,1668
2,6,1,1,2,"120,　129",0,パン,2830,-3.3,2294,2750,3674,3035,3240,3482,3212,2375,2115
2,7,1,1,2,"120,　129",120,食パン,825,2.2,585,649,1055,891,900,904,745,810,769
2,7,1,1,2,"120,　129",129,他のパン,2004,-5.4,1709,2101,2619,2144,2339,2578,2467,1565,1345
2,6,1,1,3,130-139,0,麺類,1450,5.1,1360,1135,1512,1560,1782,1437,1702,1334,1098
2,7,1,1,3,130-139,130,生うどん・そば,311,2.3,246,236,295,364,300,389,257,325,302
2,7,1,1,3,130-139,131,乾うどん・そば,127,-11.2,36,62,24,38,138,106,143,192,120
2,7,1,1,3,130-139,134,スパゲッティ,136,9.7,144,130,180,236,199,152,140,84,47
2,7,1,1,3,130-139,133,中華麺,347,11.9,320,298,410,350,452,268,407,320,272
2,7,1,1,3,130-139,135,カップ麺,284,9.7,350,199,323,275,352,308,465,212,190
2,7,1,1,3,130-139,132,即席麺,147,2.8,154,138,142,147,240,121,158,128,117
2,7,1,1,3,130-139,139,他の麺類,99,3.1,108,72,138,150,101,93,132,73,49
2,6,1,1,4,140-160,0,他の穀類,471,-7.1,345,562,552,425,434,573,511,451,327
2,7,1,1,4,140-160,140,小麦粉,53,-14.5,58,105,37,53,24,27,75,53,50
2,7,1,1,4,140-160,150,もち,182,-13.3,133,109,249,127,112,263,159,205,158
2,7,1,1,4,140-160,160,他の穀類のその他,237,0.4,153,349,266,245,298,283,277,192,119
