項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1095,-,1099,-,1523,-,1475,-,1589,-,1132,-,1202,-,885,-
0,0,0,0,0,調査世帯数,376,-,39,-,43,-,58,-,61,-,56,-,42,-,44,-,33,-
0,0,0,0,0,世帯人員,3.25,-,3.39,-,3.66,-,3.49,-,3.39,-,3.47,-,3.17,-,2.82,-,2.24,-
0,0,0,0,0,有業人員,1.6,-,1.53,-,1.29,-,1.32,-,1.48,-,1.8,-,1.89,-,2.02,-,1.42,-
0,0,0,0,0,世帯主平均年齢,48.9,-,30.9,-,36.9,-,41.9,-,46.6,-,51.7,-,56.6,-,62,-,69.5,-
1,0,0,0,0,受取,919689,-,749263,-,774028,-,994391,-,1131118,-,984772,-,1133423,-,827193,-,565746,-
1,1,0,0,0,実収入,450322,100,395029,100,412487,100,549313,100,515958,100,501732,100,539452,100,337973,100,232193,100
1,2,0,0,0,経常収入,447339,99.3,391201,99,409537,99.3,545878,99.4,513968,99.6,500573,99.8,534162,99,333124,98.6,231554,99.7
1,3,0,0,0,勤め先収入,443790,98.5,386948,98,409537,99.3,542735,98.8,511433,99.1,498752,99.4,533031,98.8,323375,95.7,224306,96.6
1,4,0,0,0,世帯主収入,397992,88.4,333231,84.4,386905,93.8,498291,90.7,472591,91.6,441497,88,460400,85.3,275787,81.6,202935,87.4
1,6,0,0,0,うち男,386875,85.9,323795,82,377728,91.6,483176,88,458760,88.9,424631,84.6,450025,83.4,273853,81,195631,84.3
1,5,0,0,0,定期収入,392523,87.2,327113,82.8,383672,93,493075,89.8,467105,90.5,435644,86.8,457303,84.8,264265,78.2,200971,86.6
1,5,0,0,0,臨時収入,5447,1.2,6118,1.5,3233,0.8,5215,0.9,5486,1.1,5854,1.2,3097,0.6,11346,3.4,1964,0.8
1,5,0,0,0,賞与,21,0,-,-,-,-,-,-,-,-,-,-,-,-,177,0.1,-,-
1,4,0,0,0,世帯主の配偶者の収入,43143,9.6,53717,13.6,22632,5.5,44444,8.1,38843,7.5,55270,11,60212,11.2,43056,12.7,16965,7.3
1,6,0,0,0,うち女,40240,8.9,48687,12.3,22632,5.5,28998,5.3,38843,7.5,55270,11,60212,11.2,43056,12.7,16965,7.3
1,4,0,0,0,他の世帯員収入,2656,0.6,-,-,-,-,-,-,-,-,1985,0.4,12419,2.3,4532,1.3,4406,1.9
1,3,0,0,0,事業・内職収入,2250,0.5,4253,1.1,-,-,-,-,2469,0.5,398,0.1,-,-,5952,1.8,7248,3.1
1,4,0,0,0,家賃収入,1136,0.3,-,-,-,-,-,-,-,-,-,-,-,-,5952,1.8,4754,2
1,4,0,0,0,他の事業収入,879,0.2,4253,1.1,-,-,-,-,1307,0.3,-,-,-,-,-,-,2494,1.1
1,4,0,0,0,内職収入,235,0.1,-,-,-,-,-,-,1163,0.2,398,0.1,-,-,-,-,-,-
1,3,0,0,0,他の経常収入,1299,0.3,-,-,-,-,3143,0.6,65,0,1423,0.3,1131,0.2,3797,1.1,-,-
1,4,0,0,0,財産収入,433,0.1,-,-,-,-,-,-,65,0,1060,0.2,1131,0.2,1059,0.3,-,-
1,4,0,0,0,社会保障給付,848,0.2,-,-,-,-,3143,0.6,-,-,364,0.1,-,-,2587,0.8,-,-
1,5,0,0,0,公的年金給付,172,0,-,-,-,-,-,-,-,-,-,-,-,-,1433,0.4,-,-
1,5,0,0,0,他の社会保障給付,675,0.1,-,-,-,-,3143,0.6,-,-,364,0.1,-,-,1154,0.3,-,-
1,4,0,0,0,仕送り金,18,0,-,-,-,-,-,-,-,-,-,-,-,-,150,0,-,-
1,2,0,0,0,特別収入,2983,0.7,3828,1,2950,0.7,3435,0.6,1990,0.4,1159,0.2,5290,1,4849,1.4,639,0.3
1,3,0,0,0,受贈金,1155,0.3,3446,0.9,747,0.2,1131,0.2,151,0,932,0.2,1781,0.3,1203,0.4,79,0
1,3,0,0,0,他の特別収入,1828,0.4,383,0.1,2202,0.5,2304,0.4,1840,0.4,227,0,3509,0.7,3646,1.1,560,0.2
1,1,0,0,0,実収入以外の受取(繰入金を除く),399954,-,279173,-,314717,-,385057,-,552595,-,413720,-,500243,-,390519,-,286229,-
1,2,0,0,0,預貯金引出,337367,-,240305,-,260452,-,313528,-,477961,-,345187,-,427481,-,326990,-,244407,-
1,2,0,0,0,保険金,2509,-,-,-,3826,-,-,-,9503,-,-,-,-,-,5714,-,-,-
1,3,0,0,0,個人・企業年金保険金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3,0,0,0,他の保険金,2509,-,-,-,3826,-,-,-,9503,-,-,-,-,-,5714,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,1905,-,878,-,-,-,8472,-,-,-,1358,-,1683,-,933,-,-,-
1,2,0,0,0,一括払購入借入金,57903,-,37351,-,50439,-,62838,-,64485,-,66839,-,71079,-,56736,-,41822,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,270,-,640,-,-,-,219,-,646,-,336,-,-,-,146,-,-,-
1,1,0,0,0,繰入金,69413,-,75060,-,46824,-,60021,-,62565,-,69320,-,93729,-,98701,-,47323,-
2,0,0,0,0,支払,919689,-,749263,-,774028,-,994391,-,1131118,-,984772,-,1133423,-,827193,-,565746,-
2,1,0,0,0,実支出,411989,-,333469,-,320830,-,404939,-,521858,-,440154,-,518484,-,401682,-,278510,-
2,2,0,0,0,生計支出,324185,-,275172,-,252947,-,287994,-,417914,-,336635,-,415259,-,323898,-,240857,-
2,3,0,0,0,消費支出,324185,100,275172,100,252947,100,287994,100,417914,100,336635,100,415259,100,323898,100,240857,100
2,4,1,0,0,食料,82508,25.5,62119,22.6,64017,25.3,85221,29.6,90364,21.6,81800,24.3,91110,21.9,100674,31.1,78528,32.6
2,5,1,1,0,穀類,6119,1.9,4521,1.6,4908,1.9,6843,2.4,7079,1.7,6286,1.9,6827,1.6,6785,2.1,4640,1.9
2,6,1,1,1,米類,1618,0.5,609,0.2,1104,0.4,1903,0.7,1932,0.5,1568,0.5,2214,0.5,2060,0.6,1216,0.5
2,6,1,1,2,パン,2629,0.8,2257,0.8,2323,0.9,3034,1.1,2971,0.7,2584,0.8,2946,0.7,2420,0.7,2162,0.9
2,6,1,1,3,麺類,1463,0.5,1232,0.4,1066,0.4,1376,0.5,1755,0.4,1767,0.5,1392,0.3,1711,0.5,1117,0.5
2,6,1,1,4,他の穀類,409,0.1,423,0.2,416,0.2,530,0.2,421,0.1,368,0.1,274,0.1,594,0.2,145,0.1
2,5,1,2,0,魚介類,5508,1.7,2748,1,3078,1.2,4376,1.5,5333,1.3,5652,1.7,6893,1.7,8245,2.5,8428,3.5
2,6,1,2,1,生鮮魚介,3314,1,1728,0.6,1501,0.6,2782,1,3417,0.8,3497,1,3890,0.9,4757,1.5,5249,2.2
2,6,1,2,2,塩干魚介,1015,0.3,544,0.2,690,0.3,707,0.2,838,0.2,944,0.3,1196,0.3,1838,0.6,1606,0.7
2,6,1,2,3,魚肉練製品,455,0.1,214,0.1,457,0.2,297,0.1,451,0.1,511,0.2,657,0.2,652,0.2,401,0.2
2,6,1,2,4,他の魚介加工品,723,0.2,262,0.1,430,0.2,591,0.2,627,0.2,700,0.2,1149,0.3,998,0.3,1172,0.5
2,5,1,3,0,肉類,7327,2.3,5046,1.8,5438,2.1,7340,2.5,8869,2.1,8501,2.5,8162,2,7447,2.3,6563,2.7
2,6,1,3,1,生鮮肉,5853,1.8,4083,1.5,4201,1.7,5717,2,6983,1.7,6910,2.1,6737,1.6,5928,1.8,5317,2.2
2,6,1,3,2,加工肉,1474,0.5,964,0.4,1237,0.5,1624,0.6,1886,0.5,1591,0.5,1426,0.3,1520,0.5,1246,0.5
2,5,1,4,0,乳卵類,4063,1.3,3128,1.1,3897,1.5,4803,1.7,4732,1.1,3669,1.1,4072,1,4116,1.3,3658,1.5
2,6,1,4,1,牛乳,1407,0.4,1175,0.4,1417,0.6,1684,0.6,1677,0.4,1016,0.3,1517,0.4,1257,0.4,1522,0.6
2,6,1,4,2,乳製品,1905,0.6,1428,0.5,1893,0.7,2276,0.8,2205,0.5,1837,0.5,1761,0.4,2018,0.6,1527,0.6
2,6,1,4,3,卵,750,0.2,525,0.2,587,0.2,843,0.3,850,0.2,816,0.2,794,0.2,841,0.3,610,0.3
2,5,1,5,0,野菜・海藻,9972,3.1,6281,2.3,6961,2.8,8625,3,10577,2.5,9769,2.9,11941,2.9,13648,4.2,12436,5.2
2,6,1,5,1,生鮮野菜,7316,2.3,4681,1.7,4892,1.9,6261,2.2,7899,1.9,7144,2.1,8963,2.2,9530,2.9,9622,4
