"性別","～19歳[人]","20～29歳[人]","30～39歳[人]","40～49歳[人]","50～59歳[人]","60～65歳[人]"
"男","2","194","244","225","345","80"
"女","3","282","247","284","279","48"

"平成30年度港区行政資料集　男女別年齢層別職員数（再任用短時間勤務職員を含む）","Ver201804",,,,,
