行,EPSGコード,経度,緯度,施設名,郵便番号　,所在地,電話番号,FAX番号,窓口受付時間,開館時間,休館日,URL
1,EPSG:6677,-39414.35695,-44863.04431,上小山田コミュニティセンター,194-0201,東京都町田市上小山田町2616-2,042-791-2802（忠生市民センター）,-,08:30-17:00,09:00-22:00,第3月曜日、年末年始,https://www.city.machida.tokyo.jp/community/shimin/com/com09.html
2,EPSG:6677,-32682.71326,-50572.68269,成瀬コミュニティセンター,194-0046,東京都町田市西成瀬2-49-1,042-723-6763,042-723-6763,08:30-17:00,09:00-22:00,第2火曜日、年末年始,https://www.city.machida.tokyo.jp/community/shimin/com/com10.html
3,EPSG:6677,-31619.76091,-52409.52602,つくし野コミュニティセンター,194-0001,東京都町田市つくし野2-26-5,042-796-1955,042-796-1955,08:30-17:00,09:00-22:00,第3水曜日、年末年始,https://www.city.machida.tokyo.jp/community/shimin/com/com11.html
4,EPSG:6677,-36634.58478,-49228.19055,木曽森野コミュニティセンター,194-0036,東京都町田市木曽東1-2,042-725-4939,042-725-4939,08:30-17:00,09:00-22:00,第2水曜日、年末年始,https://www.city.machida.tokyo.jp/community/shimin/com/com12.html
5,EPSG:6677,-30834.13724,-46858.07958,三輪コミュニティーセンター,195-0055,東京都町田市三輪緑山4-14-1,044-987-1951,044-987-1951,08:30-17:00,09:00-22:00,第3水曜日、年末年始,https://www.city.machida.tokyo.jp/community/shimin/com/com13.html
6,EPSG:6677,-34763.28743,-50769.86894,町田市民フォーラム,194-0013,東京都町田市原町田4-9-8,042-723-2888,042-723-2946,08:30-17:00,09:00-22:00,第3水曜日、年末年始,https://www.city.machida.tokyo.jp/community/shimin/com/com14.html
