ID,寄附種別,寄附タイトル,都道府県コード又は市町村コード,都道府県,市区町村,行政区,寄附金額,寄附年月日,寄附年度
1,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,022021,青森県,弘前市,,7000,2020/4/1,2020
2,図書資料充実寄付金,図書館の資料を充実させたい！,131091,東京都,品川区,,15000,2020/4/1,2020
3,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,261009,京都府,京都市,左京区,16000,2020/4/1,2020
4,一般寄付,目黒区におまかせ！,231002,愛知県,名古屋市,昭和区,12000,2020/4/1,2020
5,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131032,東京都,港区,,16000,2020/4/1,2020
6,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131172,東京都,北区,,7000,2020/4/1,2020
7,一般寄付,目黒区におまかせ！,131113,東京都,大田区,,12000,2020/4/1,2020
8,障害福祉推進寄付金,子どもたちの療育用教材の充実に！,131059,東京都,文京区,,12000,2020/4/1,2020
9,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131105,東京都,目黒区,,280000,2020/4/1,2020
10,一般寄付,目黒区におまかせ！,121002,千葉県,千葉市,緑区,16000,2020/4/1,2020
11,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,12000,2020/4/1,2020
12,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,12000,2020/4/1,2020
13,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,12000,2020/4/1,2020
14,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131059,東京都,文京区,,12000,2020/4/1,2020
15,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,141003,神奈川県,横浜市,都筑区,19000,2020/4/1,2020
16,一般寄付,目黒区におまかせ！,131032,東京都,港区,,24000,2020/4/1,2020
17,一般寄付,目黒区におまかせ！,072010,福島県,福島市,,32000,2020/4/1,2020
18,一般寄付,目黒区におまかせ！,141003,神奈川県,横浜市,旭区,16000,2020/4/1,2020
19,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131032,東京都,港区,,12000,2020/4/1,2020
20,スポーツ振興寄付金,スポーツを通じたまちづくりを応援したい！（スポーツ振興基金）,141305,神奈川県,川崎市,中原区,28000,2020/4/1,2020
21,一般寄付,目黒区におまかせ！,141305,神奈川県,川崎市,,7000,2020/4/1,2020
22,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,112186,埼玉県,深谷市,,25000,2020/4/1,2020
23,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141003,神奈川県,横浜市,泉区,16000,2020/4/1,2020
24,一般寄付,目黒区におまかせ！,142077,神奈川県,茅ヶ崎市,,12000,2020/4/1,2020
25,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131202,東京都,練馬区,,16000,2020/4/1,2020
26,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,011002,北海道,札幌市,中央区,18000,2020/4/1,2020
27,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,131121,東京都,世田谷区,,16000,2020/4/1,2020
28,地域防災対策推進寄付金,地震に強いまちづくりを推進するために！,131016,東京都,千代田区,,24000,2020/4/1,2020
29,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131032,東京都,港区,,40000,2020/4/1,2020
30,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141003,神奈川県,横浜市,港北区,35000,2020/4/1,2020
31,一般寄付,目黒区におまかせ！,131121,東京都,世田谷区,,12000,2020/4/1,2020
32,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,202011,長野県,長野市,,12000,2020/4/1,2020
33,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,122386,千葉県,いすみ市,,12000,2020/4/1,2020
34,一般寄付,目黒区におまかせ！,342076,広島県,福山市,,25000,2020/4/1,2020
35,一般寄付,目黒区におまかせ！,112461,埼玉県,白岡市,,25000,2020/4/1,2020
36,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,16000,2020/4/1,2020
37,学校施設整備寄付金,学校の環境整備のために！（学校施設整備基金）,131032,東京都,港区,,32000,2020/4/1,2020
38,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141003,神奈川県,横浜市,港北区,16000,2020/4/1,2020
39,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,131164,東京都,豊島区,,24000,2020/4/1,2020
40,産業振興・地域経済活性化寄付金,目黒区の産業振興と地域の活性化を応援したい！,131121,東京都,世田谷区,,12000,2020/4/1,2020
41,一般寄付,目黒区におまかせ！,131091,東京都,品川区,,18000,2020/4/1,2020
42,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131083,東京都,江東区,,12000,2020/4/1,2020
43,障害福祉推進寄付金,子どもたちの療育用教材の充実に！,131229,東京都,葛飾区,,25000,2020/4/1,2020
44,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131121,東京都,世田谷区,,10000,2020/4/1,2020
45,一般寄付,目黒区におまかせ！,121002,千葉県,千葉市,美浜区,7000,2020/4/1,2020
46,一般寄付,目黒区におまかせ！,011002,北海道,札幌市,中央区,18000,2020/4/1,2020
47,一般寄付,目黒区におまかせ！,131164,東京都,豊島区,,12000,2020/4/1,2020
48,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,271004,大阪府,大阪市,北区,35000,2020/4/1,2020
49,産業振興・地域経済活性化寄付金,目黒区の産業振興と地域の活性化を応援したい！,272132,大阪府,泉佐野市,,16000,2020/4/1,2020
50,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,122041,千葉県,船橋市,,12000,2020/4/1,2020
51,一般寄付,目黒区におまかせ！,131130,東京都,渋谷区,,20000,2020/4/1,2020
52,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131199,東京都,板橋区,,7000,2020/4/1,2020
53,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,131032,東京都,港区,,35000,2020/4/1,2020
54,スポーツ振興寄付金,スポーツを通じたまちづくりを応援したい！（スポーツ振興基金）,131113,東京都,大田区,,10000,2020/4/1,2020
55,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,131202,東京都,練馬区,,15000,2020/4/1,2020
56,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,122271,千葉県,浦安市,,12000,2020/4/1,2020
57,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,022021,青森県,弘前市,,16000,2020/4/1,2020
58,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131059,東京都,文京区,,12000,2020/4/1,2020
59,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,282065,兵庫県,芦屋市,,12000,2020/4/1,2020
60,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,341002,広島県,広島市,南区,12000,2020/4/1,2020
61,コミュニティ活動支援寄付金,めぐろのまちづくり活動を応援したい！,131121,東京都,世田谷区,,53000,2020/4/1,2020
62,一般寄付,目黒区におまかせ！,132047,東京都,三鷹市,,7000,2020/4/1,2020
63,一般寄付,目黒区におまかせ！,141003,神奈川県,横浜市,磯子区,7000,2020/4/1,2020
64,一般寄付,目黒区におまかせ！,132128,東京都,日野市,,16000,2020/4/1,2020
65,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131059,東京都,文京区,,25000,2020/4/1,2020
66,一般寄付,目黒区におまかせ！,282073,兵庫県,伊丹市,,10000,2020/4/1,2020
67,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,131032,東京都,港区,,12000,2020/4/1,2020
68,社会福祉施設整備寄付金,福祉を充実させたい！（社会福祉施設整備基金）,112089,埼玉県,所沢市,,7000,2020/4/1,2020
69,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,282014,兵庫県,姫路市,,25000,2020/4/1,2020
70,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,282014,兵庫県,姫路市,,15000,2020/4/1,2020
71,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,132012,東京都,八王子市,,12000,2020/4/1,2020
72,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,331007,岡山県,岡山市,北区,12000,2020/4/1,2020
73,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,372013,香川県,高松市,,25000,2020/4/1,2020
74,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141305,神奈川県,川崎市,中原区,16000,2020/4/1,2020
75,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131059,東京都,文京区,,49000,2020/4/1,2020
76,芸術文化振興寄付金,「文化の香り高いまち」を応援したい！,131016,東京都,千代田区,,16000,2020/4/1,2020
77,サクラ寄付金,目黒のサクラを守りたい！（サクラ基金）,131121,東京都,世田谷区,,15000,2020/4/1,2020
78,子ども・子育て応援寄付金,目黒の子どもたちや子育てを応援したい！（子ども・子育て応援基金）,141305,神奈川県,川崎市,川崎区,12000,2020/4/1,2020
79,障害福祉推進寄付金,子どもたちの療育用教材の充実に！,141305,神奈川県,川崎市,麻生区,12000,2020/5/1,2020
