全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_-地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,入園案内ホームページ,所在地
132292,132292KSLT000012,西東京市,ほうやちょう保育園,,,認可保育所,,東京都,西東京市,保谷町,3丁目13-1,,35.72961248,139.5531327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市保谷町3-13-1
132292,132292KSLT000013,西東京市,すみよし保育園,,,認可保育所,,東京都,西東京市,住吉町,3丁目14-14,,35.74969462,139.549354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市住吉町3-14-14
132292,132292KSLT000014,西東京市,なかまち保育園,,,認可保育所,,東京都,西東京市,中町,4丁目4-16,,35.73721987,139.5644188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市中町4-4-16
132292,132292KSLT000015,西東京市,ひがし保育園,,,認可保育所,,東京都,西東京市,東町,2丁目4-13,,35.74636778,139.5605987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市東町2-4-13
132292,132292KSLT000016,西東京市,やぎさわ保育園,,,認可保育所,,東京都,西東京市,柳沢,5丁目8-2,,35.72209122,139.5511051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市柳沢5-8-2
132292,132292KSLT000017,西東京市,サムエル保育園,,,認可保育所,,東京都,西東京市,向台町,2丁目7-21,,35.71920969,139.5421415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市向台町2-7-21
132292,132292KSLT000018,西東京市,田無北原保育園,,,認可保育所,,東京都,西東京市,北原町,2丁目1-14,,35.73486581,139.543599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市北原町2-1-14
132292,132292KSLT000019,西東京市,きたしば保育園,,,認可保育所,,東京都,西東京市,芝久保町,2丁目14-14,,35.72628085,139.5267952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市芝久保町2-14-14
132292,132292KSLT000020,西東京市,柳橋保育園,,,認可保育所,,東京都,西東京市,新町,1丁目11-25,,35.7171113,139.5439731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市新町1-11-25
132292,132292KSLT000021,西東京市,和泉保育園,,,認可保育所,,東京都,西東京市,泉町,2丁目6-10,,35.73948767,139.5499102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京都西東京市泉町2-6-10
