,「ある」と回答した商店街の割合,「ない」と回答した商店街の割合,回答なしの商店街の割合
1998年(n=2394),66.8,28.5,4.7
2001年(n=2292),61.8,28.1,10.1
2004年(n=2404),62.5,32,5.4
2007年(n=1879),61.1,32.6,6.3
2010年(n=1734),60.8,30.2,9.1
