,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),20.4,24.0,26.2,32.6,37.6,39.2,40.6,42.8,44.5,45.9
出生率上昇シナリオ(%),20.4,23.6,24.8,29.9,33.0,32.5,31.4,30.8,30.6,30.8
