,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
総人口,86565,82960,78980,74402,69699,64906,63316,61765,60103,58259,56372,54520,52704,50912,49106,47277,45439,43597,41757
世帯数,34549,33404,32391,30901,29172,27285,25666,25010,24274,23443,22644,21922,21227,20528,19785,19011,18234,17466,16697
