,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年
自治研推計,13159388,13311646,13346611,13260489,13068489,12784631,12473743,12140353,11747722
地方創生シナリオ(1),13159388,13350478,13134383,12803322,12389182,11899041,11343927,10742171,10090820
地方創生シナリオ(2),13159388,13427854,13359431,13267939,13173139,12989279,12741117,12461321,12150089
地方創生シナリオ(3),13159388,13427854,13546444,13666619,13804689,13891865,13962311,14051275,14147997
