番号,項目,回答数（人）,回答数（％）
1,参加店舗数が少ない,340,27.2
2,実施期間が短い,182,14.6
3,当選者数が少ない,92,7.4
4,還元率が低い,88,7.0
5,還元上限額が低い,83,6.6
6,アプリが利用しにくい,82,6.6
7,広告・周知がされていない,78,6.2
8,手続きが面倒である,46,3.7
9,高齢者・スマホがない人に配慮するべき,30,2.4
10,デジタルを使える店が少ない,27,2.2
11,参加店舗が分かりづらい,26,2.1
12,自治体によって不公平,22,1.8
13,紙の商品券が使いにくい,18,1.4
14,その他,135,10.8
全体,,1249,100
