町村・島,揺れによる木造全壊棟数,揺れによる非木造全壊棟数,揺れによる全壊棟数合計,揺れによる木造大規模半壊棟数,揺れによる非木造大規模半壊棟数,揺れによる大規模半壊棟数合計,揺れによる木造半壊棟数,揺れによる非木造半壊棟数,揺れによる半壊棟数合計,急傾斜地崩壊による木造全壊棟数,急傾斜地崩壊による非木造全壊棟数,急傾斜地崩壊による全壊棟数合計,急傾斜地崩壊による木造大規模半壊棟数,急傾斜地崩壊による非木造大規模半壊棟数,急傾斜地崩壊による大規模半壊棟数合計,急傾斜地崩壊による木造半壊棟数,急傾斜地崩壊による非木造半壊棟数,急傾斜地崩壊による半壊棟数合計,津波による木造全壊棟数,津波による非木造全壊棟数,津波による全壊棟数合計,津波による木造大規模半壊棟数,津波による非木造大規模半壊棟数,津波による大規模半壊棟数合計,津波による木造半壊棟数,津波による非木造半壊棟数,津波による半壊棟数合計
大島町,0,0,0,5.951276117,0.233525231,6.184801348,55.06245924,4.197289422,59.25974867,5.436,0,5.436,5.951276117,0.233525231,6.184801348,12.54471141,0,12.54471141,0,1,1,2,1,3,1,0,1
利島村,0,0,0,0.062378616,0.003361333,0.065739949,0.677334361,0.064736916,0.742071277,3.72,0,3.72,0.062378616,0.003361333,0.065739949,8.652087461,0,8.652087461,0,0,0,0,0,0,0,0,0
新島村新島,0,0,0,0.82102029,0.291892739,1.112913029,7.122250698,5.167384349,12.28963505,5.268,0,5.268,0.82102029,0.291892739,1.112913029,12.20998919,0,12.20998919,0,1,1,0,0,0,0,0,0
新島村式根島,0,0,0,0.19951996,0.013778428,0.213298388,2.079972403,0.272617368,2.352589771,0,0,0,0.19951996,0.013778428,0.213298388,0,0,0,0,1,1,0,1,1,0,1,1
神津島村,0,0,0,0.702540491,0.131349181,0.833889672,6.829438863,2.388150754,9.217589617,8.364,0,8.364,0.702540491,0.131349181,0.833889672,19.29539828,0,19.29539828,2,6,8,1,5,6,1,2,3
三宅村,0,0,0,0.000408553,0.000141615,0.000550167,0.005876795,0.003269694,0.009146489,0,0,0,0.000408553,0.000141615,0.000550167,0,0,0,0,1,1,0,1,1,0,1,1
御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,9,13,1,2,3
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小笠原村父島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,73,90,21,60,81,11,25,36
小笠原村母島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,6,1,1,2
