番号,項目,回答数（人）,回答数（％）
1,200万未満,112,3.8
2,200～400万未満,442,14.8
3,400～600万未満,474,15.9
4,600～800万未満,438,14.7
5,800～1000万未満,353,11.8
6,1000～1200万未満,258,8.7
7,1200～1500万未満,213,7.1
8,1500～2000万未満,124,4.2
9,2000万円以上,79,2.7
10,わからない,300,10.1
11,無回答,187,6.3
全体,,2980,100
