区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13101,千代田区,754,754,754,754,754,754,721,721,721,721,721,721,648,648,648,648,648,648,53,53,53,53,53,53
13102,中央区,1096,1094,1093,1096,1094,1093,813,813,812,813,812,812,739,739,739,739,739,739,54,54,54,54,54,54
13103,港区,1357,1356,1356,1357,1356,1355,960,960,959,960,960,959,913,913,913,913,913,913,112,112,112,112,112,112
13104,新宿区,924,923,922,924,922,922,927,927,924,927,925,924,774,773,773,774,773,773,74,74,74,74,74,74
13105,文京区,534,532,531,533,531,531,528,528,525,527,526,525,456,455,455,456,455,455,40,40,40,40,40,40
13106,台東区,1419,1415,1413,1419,1415,1413,1307,1307,1303,1307,1304,1303,986,985,984,986,985,984,127,127,127,127,127,127
13107,墨田区,1318,1261,1258,1318,1260,1258,1069,1071,1040,1069,1043,1040,756,753,750,756,753,750,116,116,116,116,116,116
13108,江東区,1304,1282,1273,1303,1282,1273,832,832,830,832,830,830,763,762,762,763,762,762,89,89,89,89,89,89
13109,品川区,887,801,794,870,797,791,655,655,636,650,639,634,593,582,576,589,580,575,91,90,90,91,90,90
13110,目黒区,551,502,499,546,501,498,419,420,404,417,407,404,381,375,372,381,374,372,139,139,139,139,139,139
13111,大田区,1508,1316,1307,1479,1310,1303,963,964,941,958,944,938,1173,1153,1146,1167,1150,1144,196,195,195,196,195,195
13112,世田谷区,1267,1112,1105,1253,1109,1103,1173,1177,1026,1160,1030,1023,839,823,817,836,822,817,400,397,396,399,397,396
13113,渋谷区,1084,1072,1070,1082,1071,1070,919,919,914,919,915,914,720,719,718,720,719,718,227,227,227,227,227,227
13114,中野区,375,368,365,374,367,365,397,397,385,395,387,384,329,324,323,328,324,322,103,102,102,103,102,102
13115,杉並区,711,667,654,709,666,654,791,792,718,789,730,717,572,547,537,571,547,537,314,301,295,314,301,295
13116,豊島区,647,638,635,645,637,633,634,634,619,631,622,618,479,475,472,478,474,472,46,46,46,46,46,46
13117,北区,546,543,542,546,543,542,498,498,495,498,496,495,303,302,302,303,302,302,96,96,96,96,96,96
13118,荒川区,660,640,639,659,640,639,588,588,580,588,581,580,359,358,357,359,358,357,107,107,107,107,107,107
13119,板橋区,573,568,567,573,568,566,581,581,572,580,573,571,372,370,369,372,370,369,121,121,121,121,121,121
13120,練馬区,478,466,461,478,465,460,586,587,533,584,538,532,390,382,379,389,382,379,201,199,198,201,199,198
13121,足立区,885,840,829,881,839,829,813,816,770,810,771,769,480,476,475,480,476,475,178,177,177,178,177,177
13122,葛飾区,557,527,523,551,525,522,493,493,474,490,475,473,365,362,361,364,362,361,63,63,63,63,63,63
13123,江戸川区,976,912,888,951,899,879,582,582,572,579,573,571,651,645,643,649,643,642,108,107,107,107,107,107
13201,八王子市,351,349,348,350,349,348,510,510,500,509,502,500,385,382,381,384,382,381,466,460,458,465,459,457
13202,立川市,152,151,150,151,151,150,185,185,182,185,183,182,133,133,133,133,133,133,323,304,296,322,304,296
13203,武蔵野市,181,175,173,181,175,173,237,238,217,237,219,217,164,161,159,164,161,159,156,154,153,156,154,153
13204,三鷹市,131,128,127,130,128,127,158,158,153,157,153,152,110,109,109,110,109,109,93,92,92,93,92,92
13205,青梅市,12,12,12,12,12,12,24,24,24,24,24,24,13,13,13,13,13,13,33,32,32,33,32,32
13206,府中市,214,212,211,213,212,211,233,233,229,232,229,229,197,196,196,197,196,195,245,239,238,244,238,237
13207,昭島市,13,13,13,13,13,13,22,22,21,22,21,21,14,13,13,14,13,13,36,33,32,36,33,32
13208,調布市,176,171,170,174,170,169,185,185,178,183,179,178,141,140,140,141,140,139,88,88,87,88,88,87
13209,町田市,279,277,277,278,277,276,327,327,319,326,319,319,304,302,301,304,302,301,165,165,164,165,164,164
13210,小金井市,18,17,17,18,17,17,23,23,22,23,22,22,16,16,16,16,16,16,18,17,17,18,17,17
13211,小平市,25,25,25,25,25,25,36,36,34,35,34,34,22,22,22,22,22,22,32,31,31,32,31,31
13212,日野市,116,116,116,116,116,116,142,142,140,142,140,139,112,111,111,111,111,111,173,168,167,172,168,167
13213,東村山市,15,15,15,15,15,15,21,21,21,21,21,21,11,11,11,11,11,11,18,18,18,18,18,18
13214,国分寺市,84,82,82,84,82,82,105,105,100,105,100,100,81,80,80,81,80,79,126,113,111,123,112,111
13215,国立市,13,13,13,13,13,12,14,14,14,14,14,14,12,12,12,12,12,12,22,20,19,22,20,19
13218,福生市,5,5,5,5,5,5,10,10,10,10,10,10,5,5,5,5,5,5,15,14,14,15,14,14
13219,狛江市,12,11,11,12,11,11,15,15,13,15,14,13,11,10,10,11,10,10,5,5,5,5,5,5
