番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,423,27.6
2,11-20%程度増加した,314,20.5
3,21-30%程度増加した,224,14.6
4,31-40%程度増加した,97,6.3
5,41-50%程度増加した,63,4.1
6,51%以上増加した,134,8.7
7,変わらない,275,17.9
8,減少した,3,0.2
全体,,1533,100
