,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計,8980996,8643231,8305335,7250074,6308406,5640819,4999842,4349648,3801894,3313927
定着外国人増加シナリオ,8980996,8962337,9029209,8367518,7786605,7421065,7050168,6658651,6347767,6071046
