番号,項目,回答数（人）,回答数（％）,
1,小売業(最寄り品),349 ,22.6 ,
2,小売業(買回り品),230 ,14.9 ,
3,宿泊業,7 ,0.5 ,
4,飲食業(居酒屋・BAR),177 ,11.5 ,
5,飲食業(居酒屋・BAR以外),261 ,16.9 ,
6,娯楽サービス業,53 ,3.4 ,
7,生活関連サービス業,364 ,23.6 ,
8,その他,104 ,6.7 ,
全体,,1545 ,100.0 ,
