,共同処理事務,組合名,管理者名,設立年月日,構成区市町村名　（　）内団体数
特別区,人事委員会、互助組合、研修所、人事企画、更生施設等,特別区人事・厚生事務組合,(荒川区長）,S26.8.10,全特別区(23)
特別区,特別区の競馬の実施,特別区競馬組合,(品川区長）,S25.10.6,全特別区(23)
特別区,可燃、不燃、粗大ごみの中間処理施設、し尿の下水道投入施設の整備及び管理運営,東京二十三区清掃一部事務組合,（荒川区長）,H12.4.1,全特別区(23)
特別区,火葬場の設置管理,臨海部広域斎場組合,（大田区長）,H11.10.20,港区・品川区・目黒区・大田区・世田谷区（５）
市町村,し尿処理場の設置管理,湖南衛生組合,（武蔵村山市長）,S36.6.1,武蔵野市・小金井市・小平市・東大和市・武蔵村山市（5）
市町村,し尿処理場の設置管理,秋川衛生組合,（あきる野市長）,S42.4.1,あきる野市・日の出町・檜原村・奥多摩町（4）
市町村,ごみ処理場の設置管理,ふじみ衛生組合,（三鷹市長）,S35.1.19,三鷹市・調布市（2）
市町村,し尿処理施設・ごみ処理施設の設置管理,柳泉園組合,（東久留米市長）,S35.9.30,清瀬市・東久留米市・西東京市（3）
市町村,し尿処理施設・ごみ処理施設の設置管理,多摩川衛生組合,（稲城市長）,S39.9.1,府中市・国立市・狛江市・稲城市（４）
市町村,ごみ焼却施設の設置管理,西多摩衛生組合,（羽村市長）,S37.6.4,青梅市・福生市・羽村市・瑞穂町（4）
市町村,ごみ焼却施設の設置管理,小平･村山･大和衛生組合,（小平市長）,S40.2.1,小平市･東大和市･武蔵村山市(3)
市町村,ごみ焼却施設の設置管理,西秋川衛生組合,（あきる野市長）,S48.7.2,あきる野市、日の出町、檜原村、奥多摩町（4）
市町村,ごみ焼却施設の設置管理,多摩ニュータウン環境組合,（多摩市長）,H5.4.1,八王子市・町田市・多摩市（３）
市町村,病院の設置管理,阿伎留病院組合,（あきる野市長）,T12.6.9,あきる野市・日の出町・檜原村（３）
市町村,病院の設置管理,昭和病院組合,（小平市長）,S3.7.3,小金井市・小平市・東村山市・清瀬市・東久留米市・東大和市・武蔵村山市・西東京市（８）
市町村,病院の設置管理,福生病院組合,（福生市長）,H12.4.1,福生市・羽村市・瑞穂町（3)
市町村,工業用水道施設の設置管理,青梅、羽村地区工業用水道企業団,（羽村市長）,S40.2.9,青梅市・羽村市（2）
市町村,組織団体議会議員の公務災害補償等,東京都市町村議会議員公務災害補償等組合,,S43.2.29,福生市・狛江市・東大和市・清瀬市・東久留米市・武蔵村山市・多摩市・稲城市・羽村市・あきる野市・全町村・阿伎留病院組合他１３一部事務組合（３７）
市町村,市町村職員の退職手当の支給,東京都市町村職員退職手当組合,（羽村市長）,S40.4.1,福生市・狛江市・東大和市・清瀬市・東久留米市・武蔵村山市・多摩市・稲城市・羽村市・あきる野市・全町村・阿伎留病院組合他１４一部事務組合（３８）
市町村,島嶼町村の振興・会館の設置管理・一般廃棄物最終処分場の設置管理,東京都島嶼町村一部事務組合,（神津島村長）,S26.9.26,島しょ全町村（9）
市町村,火葬場の設置管理,瑞穂斎場組合,（瑞穂町長）,S27.11.10,福生市・武蔵村山市・羽村市・瑞穂町・埼玉県入間市（5）
市町村,火葬場の設置管理,南多摩斎場組合,（町田市長）,S50.10.1,八王子市・町田市・日野市・多摩市・稲城市（５）
市町村,火葬場の設置管理,立川・昭島・国立聖苑組合,（立川市長）,S60.4.1,立川市・昭島市・国立市（３）
市町村,火葬場の設置管理,秋川流域斎場組合,（日の出町長）,H7.5.1,あきる野市・日の出町・檜原村（３）
市町村,学校給食,羽村・瑞穂地区学校給食組合,（羽村市長）,S46.4.22,羽村市・瑞穂町（2）
市町村,消防団員等の公務災害補償等、住民の交通災害共済、東京自治会館の設置・管理運営、職員研修,東京市町村総合事務組合,（日野市長）,S63.4.1,全市町村（39）
市町村,収益事業　自転車競走事業,東京都十一市競輪事業組合,（調布市長）,S41.4.7,八王子市・武蔵野市・青梅市・昭島市・調布市･町田市・小金井市・小平市・日野市・東村山市・国分寺市(11)
市町村,収益事業　モーターボート　競走事業,東京都六市競艇事業組合,（武蔵野市長）,S42.4.6,八王子市・武蔵野市・昭島市・調布市・町田市・小金井市（6）
市町村,収益事業　モーターボート　競走事業,東京都四市競艇事業組合,（日野市長）,S42.4.7,小平市・日野市・東村山市・国分寺市（4）
市町村,収益事業　モーターボート　競走事業,東京都三市収益事業組合（※1）,（稲城市長）,S48.2.22,多摩市・稲城市・あきる野市（3）
市町村,一般廃棄物最終処分場の設置・管理及び焼却残さ等の処理事業,東京たま広域資源循環組合,（八王子市長）,S55.11.1,25市（あきる野市を除く各市）・瑞穂町（26）
市町村,科学館の設置・管理及び運営,多摩六都科学館組合,（西東京市長）,H2.6.1,小平市・東村山市・清瀬市・東久留米市・西東京市（5）
広域連合,後期高齢者医療の事務,東京都後期高齢者医療広域連合,（荒川区長）,H19.3.1,東京都の区域内のすべての特別区、市、町及び村（62）
