番号,項目,参加者_回答数（人）,参加者_回答数（%）,不参加者_回答数（人）,不参加者_回答数（%）
1,電話,2446,82.1,30310,73.3
2,メール,2575,86.4,32535,78.7
3,インターネット検索,2589,86.9,32246,78
4,写真・動画撮影,2358,79.1,26924,65.1
5,メッセンジャーアプリ※１,2335,78.4,26856,65
6,生活関連アプリ※２,2312,77.6,24245,58.7
7,趣味・娯楽アプリ※５,1727,58,20204,48.9
8,ショッピングアプリ※４,1870,62.8,20416,49.4
9,スマホ決済※３,2169,72.8,20657,50
10,その他,53,1.8,153,0.4
11,スマートフォンを保有していない,31,1,2387,5.8
全体,,2980,,41330,
